component	sharp_word_de	c5_present	c6_present	status	functional_reading
AIIN	SOLLMASS	YES	YES	SHARED	shared stock handling
AIN	PORTION	YES	YES	SHARED	shared stock handling
AL	ZIELSTELLE	YES	YES	SHARED	shared stock handling
AR	VORRAT	YES	NO	C5_ONLY	C5 preparation/transfer
CH	ABNEHMEN	YES	NO	C5_ONLY	C5 preparation/transfer
CHD	UMSETZEN	YES	NO	C5_ONLY	C5 preparation/transfer
CKH	DURCHLASSKANAL	YES	NO	C5_ONLY	C5 preparation/transfer
DA	ZWEITMARKER	YES	NO	C5_ONLY	C5 preparation/transfer
DY	SCHLUSS	YES	NO	C5_ONLY	C5 preparation/transfer
E	KURZ	YES	YES	SHARED	shared stock handling
EE	LANG	YES	YES	SHARED	shared stock handling
HO	ZUTAT	YES	NO	C5_ONLY	C5 preparation/transfer
IIN	ARBEITSSTUFE	YES	NO	C5_ONLY	C5 preparation/transfer
K	ZUDOSIEREN	YES	YES	SHARED	shared stock handling
L	WEITERLEITEN	YES	YES	SHARED	shared stock handling
O	ARBEITSGANG	YES	NO	C5_ONLY	C5 preparation/transfer
OK	ANSETZEN	YES	NO	C5_ONLY	C5 preparation/transfer
OL	FORTSETZEN	YES	YES	SHARED	shared stock handling
OR	ANSATZ	YES	YES	SHARED	shared stock handling
OT	DANACH	YES	NO	C5_ONLY	C5 preparation/transfer
R	KUEHLEN	NO	YES	C6_ONLY	C6 cooling/collection
RESUME_CARD	WIEDERAUFNEHMEN	YES	NO	C5_ONLY	C5 preparation/transfer
SH	HALTEN	YES	NO	C5_ONLY	C5 preparation/transfer
SHED	ABSETZEN	YES	NO	C5_ONLY	C5 preparation/transfer
SOLK	AUFFANGEN	NO	YES	C6_ONLY	C6 cooling/collection
Y	ARBEITSPOSTEN	YES	YES	SHARED	shared stock handling
