card_no	surfaces	semantic_component_parse	standard_command_de	c5_occurrences	c6_occurrences	status
PROC008	choky|oky|qoky	OK+Y	ANSETZEN · ARBEITSPOSTEN	2	0	C5_ONLY
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	SOLLMASS	3	1	SHARED
PROC011	chokchy|okchy|qokchy	OK+Y	ANSETZEN · ARBEITSPOSTEN	2	0	C5_ONLY
PROC013	cheol|chol|ol|qol|sol|tol	OL	FORTSETZEN	2	2	SHARED
PROC019	chey|chy|dy|shy|sy|y	Y	ARBEITSPOSTEN	0	1	C6_ONLY
PROC020	otchor|qotchor	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	1	0	C5_ONLY
PROC034	dchol|schol	RESUME_CARD	WIEDERAUFNEHMEN	1	0	C5_ONLY
PROC042	chdy|chedy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	1	0	C5_ONLY
PROC051	chochor	HO+CH+OR	ZUTAT · ABNEHMEN · ANSATZ	1	0	C5_ONLY
PROC052	cho|sho	HO	ZUTAT	4	0	C5_ONLY
PROC053	chodaly	HO+AL+Y	ZUTAT · ZIELSTELLE · ARBEITSPOSTEN	1	0	C5_ONLY
PROC054	kchol	K+OL	ZUDOSIEREN · FORTSETZEN	1	0	C5_ONLY
PROC055	al|chal|cheal|dal|sal|tal	AL	ZIELSTELLE	2	0	C5_ONLY
PROC056	choy	HO+Y	ZUTAT · ARBEITSPOSTEN	1	0	C5_ONLY
PROC057	cheeckhody	CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASSKANAL · ARBEITSGANG; SCHLUSS	1	0	C5_ONLY
PROC058	sh	SH	HALTEN	1	0	C5_ONLY
PROC059	kchey	K+E+Y	ZUDOSIEREN · KURZ · ARBEITSPOSTEN	1	0	C5_ONLY
PROC060	qokokchy	OK+OK+Y	ANSETZEN · ANSETZEN · ARBEITSPOSTEN	1	0	C5_ONLY
PROC061	chokcheo	OK+CH+E+O	ANSETZEN · ABNEHMEN · KURZ · ARBEITSGANG	1	0	C5_ONLY
PROC062	kchal	K+AL	ZUDOSIEREN · ZIELSTELLE	1	0	C5_ONLY
PROC063	kchoar	K+HO+AR	ZUDOSIEREN · ZUTAT · VORRAT	1	0	C5_ONLY
PROC064	sotodan	OT+O+AIN	DANACH · ARBEITSGANG · PORTION	1	0	C5_ONLY
PROC065	otchey	OT+Y	DANACH · ARBEITSPOSTEN	1	0	C5_ONLY
PROC066	keol	K+E+OL	ZUDOSIEREN · KURZ · FORTSETZEN	1	0	C5_ONLY
PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	1	0	C5_ONLY
PROC142	shedal	SHED+AL	ABSETZEN · ZIELSTELLE	1	0	C5_ONLY
PROC156	dain	AIN	PORTION	0	1	C6_ONLY
PROC166	otchdy	OT+CHD+DY	DANACH · UMSETZEN; SCHLUSS	1	0	C5_ONLY
PROC167	lol	L+OL	WEITERLEITEN · FORTSETZEN	1	0	C5_ONLY
PROC168	chdal	CHD+AL	UMSETZEN · ZIELSTELLE	1	0	C5_ONLY
PROC169	daiiin	DA+IIN	ZWEITMARKER · ARBEITSSTUFE	1	0	C5_ONLY
PROC170	solkeey	SOLK+EE+Y	AUFFANGEN · LANG · ARBEITSPOSTEN	0	1	C6_ONLY
PROC171	qekey	E+K+E+Y	KURZ · ZUDOSIEREN · KURZ · ARBEITSPOSTEN	0	1	C6_ONLY
PROC172	raly	R+AL+Y	KUEHLEN · ZIELSTELLE · ARBEITSPOSTEN	0	1	C6_ONLY
PROC173	ldalor	L+AL+OR	WEITERLEITEN · ZIELSTELLE · ANSATZ	0	1	C6_ONLY
