body	entry_occurrences	internal_occurrences	entry_mean_normalized_position	internal_mean_normalized_position	internal_minus_entry	direction
a	3	1	0.388889	0.909091	0.520202	ENTRY_EARLIER
aiiin	2	3	0.583333	0.548485	-0.034848	INTERNAL_EARLIER
aiir	3	1	0.128205	0.636364	0.508159	ENTRY_EARLIER
ain	60	26	0.272861	0.632945	0.360084	ENTRY_EARLIER
alchey	1	1	0.416667	1.000000	0.583333	ENTRY_EARLIER
alol	1	1	0.875000	0.000000	-0.875000	INTERNAL_EARLIER
aly	3	3	0.571429	0.805556	0.234127	ENTRY_EARLIER
araiin	3	4	0.333333	0.719406	0.386072	ENTRY_EARLIER
aral	3	1	0.222222	0.000000	-0.222222	INTERNAL_EARLIER
aram	1	4	1.000000	1.000000	0.000000	TIE
ary	7	3	0.753968	0.629630	-0.124339	INTERNAL_EARLIER
chal	3	6	0.566667	0.574411	0.007744	ENTRY_EARLIER
char	5	3	0.433333	0.606061	0.172727	ENTRY_EARLIER
chdaiin	3	2	0.000000	0.668831	0.668831	ENTRY_EARLIER
chdal	1	2	0.800000	0.363636	-0.436364	INTERNAL_EARLIER
chdol	2	1	0.375000	0.700000	0.325000	ENTRY_EARLIER
cheam	1	3	0.000000	1.000000	1.000000	ENTRY_EARLIER
chear	2	1	0.500000	0.200000	-0.300000	INTERNAL_EARLIER
ched	1	7	0.000000	0.861111	0.861111	ENTRY_EARLIER
chedal	5	1	0.000000	0.750000	0.750000	ENTRY_EARLIER
chedar	10	3	0.066667	0.582143	0.515476	ENTRY_EARLIER
cheedy	1	9	0.000000	0.524950	0.524950	ENTRY_EARLIER
chees	1	1	0.500000	0.700000	0.200000	ENTRY_EARLIER
cheody	5	1	0.256566	0.636364	0.379798	ENTRY_EARLIER
cheol	10	8	0.180556	0.303220	0.122664	ENTRY_EARLIER
cheor	4	2	0.000000	0.361111	0.361111	ENTRY_EARLIER
cheos	3	1	0.216931	0.000000	-0.216931	INTERNAL_EARLIER
ches	2	2	0.227272	0.804545	0.577273	ENTRY_EARLIER
cho	5	6	0.205714	0.369589	0.163874	ENTRY_EARLIER
chody	5	3	0.258333	0.579365	0.321032	ENTRY_EARLIER
chor	15	4	0.212566	0.263889	0.051323	ENTRY_EARLIER
chos	1	1	1.000000	0.750000	-0.250000	INTERNAL_EARLIER
daiin	3	4	0.200000	0.765873	0.565873	ENTRY_EARLIER
dar	2	5	0.000000	0.672222	0.672222	ENTRY_EARLIER
dol	1	2	0.000000	0.900000	0.900000	ENTRY_EARLIER
kaiin	3	48	0.466667	0.535097	0.068430	ENTRY_EARLIER
kain	1	33	0.750000	0.593901	-0.156099	INTERNAL_EARLIER
kal	1	6	0.416667	0.534848	0.118181	ENTRY_EARLIER
kar	1	32	0.000000	0.649844	0.649844	ENTRY_EARLIER
kchdy	1	5	1.000000	0.434286	-0.565714	INTERNAL_EARLIER
keeal	1	1	0.000000	0.153846	0.153846	ENTRY_EARLIER
keeody	1	5	0.166667	0.504445	0.337778	ENTRY_EARLIER
key	1	7	0.333333	0.614863	0.281530	ENTRY_EARLIER
ky	1	20	0.714286	0.580445	-0.133841	INTERNAL_EARLIER
l	2	2	0.500000	0.590909	0.090909	ENTRY_EARLIER
o	7	27	0.584581	0.719463	0.134883	ENTRY_EARLIER
oar	2	1	0.000000	0.666667	0.666667	ENTRY_EARLIER
ochedy	2	1	0.000000	1.000000	1.000000	ENTRY_EARLIER
ochey	1	1	0.000000	0.333333	0.333333	ENTRY_EARLIER
odar	4	1	0.031250	0.666667	0.635417	ENTRY_EARLIER
oiiin	3	2	0.111111	0.750000	0.638889	ENTRY_EARLIER
oiir	1	1	0.222222	0.400000	0.177778	ENTRY_EARLIER
oiry	1	1	0.000000	0.666667	0.666667	ENTRY_EARLIER
okaiin	1	1	0.000000	0.250000	0.250000	ENTRY_EARLIER
okain	1	1	0.000000	0.750000	0.750000	ENTRY_EARLIER
okar	2	1	0.000000	0.000000	0.000000	TIE
okedy	1	1	0.090909	1.000000	0.909091	ENTRY_EARLIER
okeedy	2	3	0.000000	0.775253	0.775253	ENTRY_EARLIER
okeey	2	2	0.459091	0.211111	-0.247980	INTERNAL_EARLIER
olain	1	1	0.000000	1.000000	1.000000	ENTRY_EARLIER
olchey	3	1	0.000000	0.857143	0.857143	ENTRY_EARLIER
olchor	1	1	0.000000	0.583333	0.583333	ENTRY_EARLIER
olchy	1	1	0.000000	0.700000	0.700000	ENTRY_EARLIER
oldaiin	1	1	0.000000	1.000000	1.000000	ENTRY_EARLIER
oldy	2	2	0.833333	0.722727	-0.110606	INTERNAL_EARLIER
olkaiin	4	1	0.372222	0.000000	-0.372222	INTERNAL_EARLIER
olkeedy	4	1	0.000000	0.000000	0.000000	TIE
olkeey	5	1	0.000000	0.333333	0.333333	ENTRY_EARLIER
olky	2	1	0.000000	1.000000	1.000000	ENTRY_EARLIER
olol	1	1	0.000000	0.714286	0.714286	ENTRY_EARLIER
ols	3	1	0.452381	1.000000	0.547619	ENTRY_EARLIER
olshedy	4	1	0.152778	0.272727	0.119949	ENTRY_EARLIER
oly	2	6	0.333334	0.976190	0.642857	ENTRY_EARLIER
om	2	5	0.589286	1.000000	0.410714	ENTRY_EARLIER
orain	3	1	0.333333	0.500000	0.166667	ENTRY_EARLIER
oror	1	1	0.000000	1.000000	1.000000	ENTRY_EARLIER
ory	1	2	0.000000	1.000000	1.000000	ENTRY_EARLIER
os	3	5	0.666667	0.357071	-0.309596	INTERNAL_EARLIER
osaiin	1	1	0.000000	0.666667	0.666667	ENTRY_EARLIER
otaiin	1	1	0.125000	1.000000	0.875000	ENTRY_EARLIER
oty	1	4	1.000000	0.968750	-0.031250	INTERNAL_EARLIER
paiin	1	1	1.000000	0.777778	-0.222222	INTERNAL_EARLIER
shar	1	1	0.300000	0.000000	-0.300000	INTERNAL_EARLIER
shdaiin	1	1	0.000000	0.111111	0.111111	ENTRY_EARLIER
shdy	1	4	0.000000	0.452967	0.452967	ENTRY_EARLIER
sheckhy	1	2	0.000000	0.340278	0.340278	ENTRY_EARLIER
sheedy	1	10	0.250000	0.395455	0.145455	ENTRY_EARLIER
sheey	3	6	0.000000	0.369231	0.369231	ENTRY_EARLIER
sheo	1	1	0.000000	0.142857	0.142857	ENTRY_EARLIER
sheodar	1	1	0.000000	0.000000	0.000000	TIE
sheody	4	3	0.000000	0.208333	0.208333	ENTRY_EARLIER
sheol	1	2	0.428571	0.527778	0.099207	ENTRY_EARLIER
shod	1	1	0.555556	0.142857	-0.412699	INTERNAL_EARLIER
shol	3	1	0.000000	0.750000	0.750000	ENTRY_EARLIER
shy	1	3	0.000000	0.511905	0.511905	ENTRY_EARLIER
