page	entry_occurrences	internal_occurrences	entry_mean_normalized_position	internal_mean_normalized_position	internal_minus_entry	direction
f102r1	1	1	0.000000	0.500000	0.500000	ENTRY_EARLIER
f103r	7	18	0.012987	0.628488	0.615501	ENTRY_EARLIER
f103v	7	12	0.190476	0.643043	0.452567	ENTRY_EARLIER
f104r	4	12	0.305555	0.519487	0.213931	ENTRY_EARLIER
f104v	2	11	0.000000	0.448697	0.448697	ENTRY_EARLIER
f105r	5	7	0.240559	0.533117	0.292558	ENTRY_EARLIER
f105v	3	4	0.000000	0.132576	0.132576	ENTRY_EARLIER
f106r	1	15	0.000000	0.463232	0.463232	ENTRY_EARLIER
f106v	6	5	0.473064	0.542857	0.069793	ENTRY_EARLIER
f107r	1	21	0.100000	0.619865	0.519865	ENTRY_EARLIER
f107v	5	23	0.000000	0.655253	0.655253	ENTRY_EARLIER
f108r	4	6	0.000000	0.360580	0.360580	ENTRY_EARLIER
f108v	7	19	0.000000	0.555075	0.555075	ENTRY_EARLIER
f111r	6	22	0.272727	0.727553	0.454826	ENTRY_EARLIER
f111v	7	27	0.100000	0.647099	0.547099	ENTRY_EARLIER
f112r	6	3	0.000000	0.702381	0.702381	ENTRY_EARLIER
f112v	10	3	0.010000	0.680135	0.670135	ENTRY_EARLIER
f113r	8	14	0.282828	0.605519	0.322691	ENTRY_EARLIER
f113v	8	21	0.125000	0.580135	0.455135	ENTRY_EARLIER
f114r	5	1	0.497778	0.000000	-0.497778	INTERNAL_EARLIER
f114v	3	2	0.500000	0.954546	0.454546	ENTRY_EARLIER
f115r	3	9	0.555556	0.683586	0.128030	ENTRY_EARLIER
f115v	4	26	0.222222	0.667591	0.445368	ENTRY_EARLIER
f116r	4	24	0.250000	0.535703	0.285703	ENTRY_EARLIER
f20r	1	1	0.000000	0.142857	0.142857	ENTRY_EARLIER
f2v	1	1	0.285714	0.285714	0.000000	TIE
f30r	1	2	0.625000	0.750000	0.125000	ENTRY_EARLIER
f34v	2	3	0.500000	0.492593	-0.007407	INTERNAL_EARLIER
f35r	1	2	0.000000	0.527778	0.527778	ENTRY_EARLIER
f41v	1	1	0.000000	0.555556	0.555556	ENTRY_EARLIER
f44r	1	1	0.000000	0.666667	0.666667	ENTRY_EARLIER
f45r	1	1	0.222222	0.000000	-0.222222	INTERNAL_EARLIER
f48v	2	3	0.500000	0.265152	-0.234848	INTERNAL_EARLIER
f50v	1	1	0.000000	0.222222	0.222222	ENTRY_EARLIER
f66r	4	6	0.000000	0.451786	0.451786	ENTRY_EARLIER
f75r	11	5	0.119953	0.452273	0.332320	ENTRY_EARLIER
f75v	5	6	0.272727	0.710774	0.438047	ENTRY_EARLIER
f76r	10	13	0.437374	0.657033	0.219659	ENTRY_EARLIER
f76v	3	6	0.601852	0.629630	0.027778	ENTRY_EARLIER
f77r	5	8	0.195238	0.684226	0.488988	ENTRY_EARLIER
f77v	2	8	0.590278	0.596230	0.005952	ENTRY_EARLIER
f78r	4	4	0.025000	0.781250	0.756250	ENTRY_EARLIER
f78v	2	4	0.611111	0.433333	-0.177778	INTERNAL_EARLIER
f79r	11	6	0.170455	0.287500	0.117045	ENTRY_EARLIER
f79v	3	4	0.541667	0.676091	0.134425	ENTRY_EARLIER
f80r	7	7	0.031746	0.634214	0.602468	ENTRY_EARLIER
f80v	4	5	0.241071	0.765000	0.523929	ENTRY_EARLIER
f81r	1	3	0.000000	0.944444	0.944444	ENTRY_EARLIER
f81v	1	4	0.000000	0.626389	0.626389	ENTRY_EARLIER
f82r	4	16	0.306250	0.706496	0.400246	ENTRY_EARLIER
f82v	3	4	0.000000	0.949495	0.949495	ENTRY_EARLIER
f83r	13	11	0.260256	0.591162	0.330905	ENTRY_EARLIER
f83v	1	4	0.000000	0.562500	0.562500	ENTRY_EARLIER
f85r1	4	1	0.225000	0.000000	-0.225000	INTERNAL_EARLIER
f85r2	4	2	0.500000	0.125000	-0.375000	INTERNAL_EARLIER
f86v3	2	2	0.083334	0.437500	0.354166	ENTRY_EARLIER
f86v5	3	3	0.000000	0.657143	0.657143	ENTRY_EARLIER
f86v6	1	10	0.000000	0.614394	0.614394	ENTRY_EARLIER
f87r	4	1	0.750000	1.000000	0.250000	ENTRY_EARLIER
f8v	2	1	0.000000	0.250000	0.250000	ENTRY_EARLIER
f93r	1	1	1.000000	0.666667	-0.333333	INTERNAL_EARLIER
f99r	3	1	0.000000	0.000000	0.000000	TIE
