held_form_id	source_shared_id	body	head_occupancy	opaque_head_id	eva_transcription_label	form	atlas_occurrences	atlas_reader_exact	atlas_pages	atlas_loci	gdt736_training_record_role	held_position_rule	default_precedence	current_default_render_de	exploratory_body_candidate_de	exploratory_candidate_confidence	exploratory_renderer_de	inherited_whole_status	body_candidate_renderer_license	semantic_cluster_export	literal_head_lexeme	literal_body_lexeme	component_export_credit
G737-F001	G635-R083	a	2	H2	s	sa	3	2	3	3	LINE_ITEM_OR_SUBENTRY_MARKER	line-first=>item/subentry; otherwise whole/internal field	POSITION_AND_REGISTER_ROLE__NO_BODY_EXPORT	CONTEXT_REQUIRED__SEMANTIC_CONTENT_UNRESOLVED	Gleichanteilsfeld	LOW	Posten: Gleichanteilsfeld	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	0	0	UNRESOLVED	UNRESOLVED	0
G737-F002	G635-R083	a	2	H3	r	ra	1	0	1	1	LATE_REFERENCE_OR_ITEM_CLOSE	middle=>internal reference; final=>close/reference; first=>whole/exception	POSITION_AND_REGISTER_ROLE__NO_BODY_EXPORT	CONTEXT_REQUIRED__SEMANTIC_CONTENT_UNRESOLVED	Gleichanteilsfeld	LOW	Gleichanteilsfeld; interner/später Bezug	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	0	0	UNRESOLVED	UNRESOLVED	0
G737-F003	G635-R093	ag	2	H3	r	rag	2	0	2	2	LATE_REFERENCE_OR_ITEM_CLOSE	middle=>internal reference; final=>close/reference; first=>whole/exception	POSITION_AND_REGISTER_ROLE__NO_BODY_EXPORT	CONTEXT_REQUIRED__SEMANTIC_CONTENT_UNRESOLVED	opaker Eintragsabschluss G	STRUCTURE_ONLY	opaker Eintragsabschluss G; interner/später Bezug	NO_V99R7_WHOLE_CARD	0	0	UNRESOLVED	UNRESOLVED	0
G737-F004	G635-R093	ag	2	H4	l	lag	1	0	1	1	INTERNAL_BOUND_FIELD_OPERATOR	non-first=>internal field; first=>whole/exception	POSITION_AND_REGISTER_ROLE__NO_BODY_EXPORT	CONTEXT_REQUIRED__SEMANTIC_CONTENT_UNRESOLVED	opaker Eintragsabschluss G	STRUCTURE_ONLY	internes Feld: opaker Eintragsabschluss G	NO_V99R7_WHOLE_CARD	0	0	UNRESOLVED	UNRESOLVED	0
G737-F005	G635-R041	aiiin	3	H2	s	saiiin	2	1	2	2	LINE_ITEM_OR_SUBENTRY_MARKER	line-first=>item/subentry; otherwise whole/internal field	POSITION_AND_REGISTER_ROLE__NO_BODY_EXPORT	CONTEXT_REQUIRED__SEMANTIC_CONTENT_UNRESOLVED	Ordinal-/Wertstufe IV	HIGH	Posten: Ordinal-/Wertstufe IV	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	0	0	UNRESOLVED	UNRESOLVED	0
G737-F006	G635-R041	aiiin	3	H3	r	raiiin	1	0	1	1	LATE_REFERENCE_OR_ITEM_CLOSE	middle=>internal reference; final=>close/reference; first=>whole/exception	POSITION_AND_REGISTER_ROLE__NO_BODY_EXPORT	CONTEXT_REQUIRED__SEMANTIC_CONTENT_UNRESOLVED	Ordinal-/Wertstufe IV	HIGH	Ordinal-/Wertstufe IV; interner/später Bezug	NO_V99R7_WHOLE_CARD	0	0	UNRESOLVED	UNRESOLVED	0
G737-F007	G635-R041	aiiin	3	H4	l	laiiin	2	2	2	2	INTERNAL_BOUND_FIELD_OPERATOR	non-first=>internal field; first=>whole/exception	POSITION_AND_REGISTER_ROLE__NO_BODY_EXPORT	CONTEXT_REQUIRED__SEMANTIC_CONTENT_UNRESOLVED	Ordinal-/Wertstufe IV	HIGH	internes Feld: Ordinal-/Wertstufe IV	NO_V99R7_WHOLE_CARD	0	0	UNRESOLVED	UNRESOLVED	0
G737-F008	G635-R048	aiir	3	H1	p	paiir	2	2	2	2	PARAGRAPH_OR_RECORD_OPENER	paragraph-first=>record opener; line-first=>line/record opener; otherwise whole/exception	POSITION_AND_REGISTER_ROLE__NO_BODY_EXPORT	CONTEXT_REQUIRED__SEMANTIC_CONTENT_UNRESOLVED	Teil-/Anteilswert III	MEDIUM	Eintrag: Teil-/Anteilswert III	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	0	0	UNRESOLVED	UNRESOLVED	0
G737-F009	G635-R048	aiir	3	H2	s	saiir	1	0	1	1	LINE_ITEM_OR_SUBENTRY_MARKER	line-first=>item/subentry; otherwise whole/internal field	POSITION_AND_REGISTER_ROLE__NO_BODY_EXPORT	CONTEXT_REQUIRED__SEMANTIC_CONTENT_UNRESOLVED	Teil-/Anteilswert III	MEDIUM	Posten: Teil-/Anteilswert III	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	0	0	UNRESOLVED	UNRESOLVED	0
G737-F010	G635-R048	aiir	3	H3	r	raiir	1	0	1	1	LATE_REFERENCE_OR_ITEM_CLOSE	middle=>internal reference; final=>close/reference; first=>whole/exception	POSITION_AND_REGISTER_ROLE__NO_BODY_EXPORT	CONTEXT_REQUIRED__SEMANTIC_CONTENT_UNRESOLVED	Teil-/Anteilswert III	MEDIUM	Teil-/Anteilswert III; interner/später Bezug	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	0	0	UNRESOLVED	UNRESOLVED	0
