body	occurrence_total	concrete_body_role_de	family	confidence	positive_evidence	counterevidence	scope	head_occupancy	opaque_heads	bare_body_occurrences	literal_lexeme_confidence	renderer_license	component_export_credit	export_rule
ain	86	Ordinal-/Wertstufe II	VALUE_LADDER	HIGH	GDT626_LADDER+V99_WHOLE+86_MULTIHEAD	DIMENSION_OPEN	HELD_WHOLES_ONLY	3	H2|H3|H4	106	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
kaiin	51	erhitzte Form: Index III	HEAT_VALUE	HIGH	STATE_LATTICE+V99_WHOLE+51_MULTIHEAD	STATE_VS_PROCESS+DIMENSION_OPEN	HELD_WHOLES_ONLY	2	H2|H4	74	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
keey	39	erhitzte Form II	HEAT_STATE	HIGH	STATE_LATTICE+V99_WHOLE+39_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY	2	H3|H4	43	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
kain	34	erhitzte Form: Index II	HEAT_VALUE	HIGH	STATE_LATTICE+V99_WHOLE+34_MULTIHEAD	STATE_VS_PROCESS+DIMENSION_OPEN	HELD_WHOLES_ONLY	2	H2|H4	43	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
o	34	Ansatz-/Zubereitungsrahmen	PREPARATION_CARRIER	LOW	146_BARE+34_MULTIHEAD+V99_W0_WHOLE	WATER_IDENTITY_REJECTED+SEMANTICALLY_BROAD	HELD_WHOLES_ONLY	3	H2|H3|H4	146	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
kar	33	erhitzte Teil-/Fraktionsstufe I	HEATED_PART	HIGH	PART_LATTICE+V99_WHOLE+33_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY	3	H2|H3|H4	57	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
ky	21	erhitzte Grundform	HEAT_STATE	HIGH	STATE_LATTICE+V99_WHOLE+21_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY	3	H2|H3|H4	29	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
chor	19	trockener Teil-/Portionsträger	DRY_PART	MEDIUM	DRY_PLUS_PART_FAMILY+190_BARE+19_MULTIHEAD	PLANT_PART_RIVAL+COMPOSITION_NOT_EXPORTABLE	HELD_WHOLES_ONLY	3	H1|H2|H4	190	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
cheol	18	Trockenmaterial	DRY_MATERIAL	MEDIUM_HIGH	DRY_PLUS_MATERIAL_FAMILY+V99_WHOLE+18_MULTIHEAD	PATIENT_OPEN	HELD_WHOLES_ONLY	2	H1|H4	142	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
chedar	13	abgemessene Trockenfraktion I, Form I	DRY_DOSED_PART	MEDIUM_HIGH	V99_WHOLE+DRY_PART_VALUE_FAMILY+13_MULTIHEAD	MEASURE_VS_STATE+COMPOSITION_NOT_EXPORTABLE	HELD_WHOLES_ONLY	3	H1|H3|H4	31	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
cho	11	trockener Ansatz oder Zubereitung	DRY_PREPARATION	HIGH	V99_WHOLE+GDT736_CHEO_NEIGHBOR+11_MULTIHEAD	ANSATZ_VS_STATE	HELD_WHOLES_ONLY	3	H1|H2|H4	75	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
r	11	verschachtelter H3-Kopf oder Bezugsslot	NESTED_HEAD	STRUCTURE_ONLY	SINGLE_OPAQUE_HEAD_AS_BODY+11_MULTIHEAD	SEGMENTATION_OPEN+NO_BODY_SEMANTICS	STRUCTURE_ONLY	2	H3|H4	129	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
sheedy	11	angefeuchtetes oder eingeweichtes Ergebnis, Form II	MOIST_RESULT	HIGH	STATE_LATTICE+V99_WHOLE+11_MULTIHEAD	MOIST_VS_SOAKED	HELD_WHOLES_ONLY	3	H1|H3|H4	77	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
ary	10	Teil-/Fraktionsstufe I, abgeschlossen	PART_CLOSE	HIGH	V99_WHOLE+EXACT_BOS_EOS_FRAME+10_MULTIHEAD	CLOSURE_VS_BASE_FORM	HELD_WHOLES_ONLY	2	H2|H3	15	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
cheedy	10	getrocknetes Ergebnis, Form II	DRY_RESULT	HIGH	STATE_LATTICE+V99_WHOLE+10_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY	2	H1|H4	56	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
chal	9	trockenes Material, Stufe I	DRY_MATERIAL	HIGH	DRY_PLUS_MATERIAL_LATTICE+V99_WHOLE+9_MULTIHEAD	DIMENSION_OPEN	HELD_WHOLES_ONLY	2	H1|H4	42	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
olaiin	9	Materialträger: Wert III	MATERIAL_VALUE	HIGH	VALUE_LADDER+V99_WHOLE+9_MULTIHEAD	AMOUNT_VS_CLASS+OLD_ABSOLUTE_NUMBER_UNSUPPORTED	HELD_WHOLES_ONLY	2	H1|H2	39	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
sheey	9	feuchte oder angeweichte Form II	MOIST_STATE	HIGH	STATE_LATTICE+V99_WHOLE+9_MULTIHEAD	MOIST_VS_SOAKED	HELD_WHOLES_ONLY	3	H1|H2|H4	127	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
char	8	trockene Teil-/Fraktionsstufe I	DRY_PART	MEDIUM_HIGH	DRY_PLUS_PART_LATTICE+V99_WHOLE+8_MULTIHEAD	CHAR_VS_CHEAR_DISTINCTION_OPEN	HELD_WHOLES_ONLY	3	H1|H2|H4	75	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
ched	8	getrocknetes Ergebnis, Mittel-/Schlussform	DRY_RESULT	MEDIUM_HIGH	V99_WHOLE+DRY_RESULT_FAMILY+8_MULTIHEAD	NO_TERMINAL_Y+EXACT_TIER_OPEN	HELD_WHOLES_ONLY	3	H1|H3|H4	17	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
chody	8	trocken aufbereitetes Ergebnis, Grundform	DRY_PREP_RESULT	MEDIUM_HIGH	GDT736_ODY_FAMILY+V99_WHOLE+8_MULTIHEAD	LIGHT_DRY_RIVAL+COMPOSITION_NOT_EXPORTABLE	HELD_WHOLES_ONLY	3	H1|H3|H4	78	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
key	8	erhitzte Form I	HEAT_STATE	HIGH	STATE_LATTICE+V99_WHOLE+8_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY	2	H2|H4	13	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
oly	8	Abseih- oder Trennschritt	PROCESS_WHOLE	MEDIUM_HIGH	V99_W3_EXACT_WHOLE+HEADED_PATIENTS_SHARE_PROCESS+8_MULTIHEAD	MATERIAL_CLOSE_RIVAL	WHOLE_ONLY	3	H1|H3|H4	53	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
os	8	Zubereitungsposten	PREPARATION_ITEM	LOW	V99_W0_WHOLE+8_MULTIHEAD+ITEM_NEIGHBORS	SEMANTICALLY_BROAD+PATIENT_OPEN	HELD_WHOLES_ONLY	2	H2|H4	23	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
