occurrence_id	held_form_id	form	opaque_head_id	eva_transcription_label	body	head_occupancy	page	locus	section	language	hand	token_index	token_ordinal	line_length	line_position	normalized_position	paragraph_start_line	paragraph_first_token	single_token_line	previous_surface	next_surface	surface_line	all_readers_exact	split_normalized_all_readers	reader_status	pair_axis	selected_occurrence_role	structural_render_de	exploratory_body_candidate_de	exploratory_candidate_render_de	body_candidate_renderer_license	literal_head_lexeme	literal_body_lexeme	component_export_credit
G737-O0001	G737-F064	pcheol	H1	p	cheol	2	f100r	f100r.12	P	A	1	1	1	10	FIRST	0.000000	1	1	0	NONE	sheod	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	1	1	EXACT	ENTRY_PAIR	PARAGRAPH_OR_RECORD_OPENER	Absatz-/Recordöffner: [pcheol]	Trockenmaterial	Absatz-/Recordöffner: [pcheol] — Kandidat: Trockenmaterial	0	UNRESOLVED	UNRESOLVED	0
G737-O0002	G737-F127	so	H2	s	o	3	f100r	f100r.14	P	A	1	7	7	10	MIDDLE	0.666667	0	0	0	qokeol	raiin	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykeeeo	1	1	EXACT	ENTRY_PAIR	H2_WHOLE_OR_INTERNAL_FIELD	H2-Ganzform oder internes Feld: [so]	Ansatz-/Zubereitungsrahmen	H2-Ganzform oder internes Feld: [so] — Kandidat: Ansatz-/Zubereitungsrahmen	0	UNRESOLVED	UNRESOLVED	0
G737-O0003	G737-F011	sain	H2	s	ain	3	f100v	f100v.19	P	A	1	1	1	8	FIRST	0.000000	0	0	0	NONE	cheokeos	sain cheokeos chockhy chocthey keody choor chckhey du	1	1	EXACT	ENTRY_PAIR	LINE_ITEM_OR_SUBENTRY	Posten-/Untereintragsform: [sain]	Ordinal-/Wertstufe II	Posten-/Untereintragsform: [sain] — Kandidat: Ordinal-/Wertstufe II	0	UNRESOLVED	UNRESOLVED	0
G737-O0004	G737-F169	polaiin	H1	p	olaiin	2	f102r1	f102r1.3	P	A	1	1	1	7	FIRST	0.000000	1	1	0	NONE	shocthy	polaiin shocthy qoteol loiiin oteeor cpheodar sholdaiin	1	1	EXACT	ENTRY_PAIR	PARAGRAPH_OR_RECORD_OPENER	Absatz-/Recordöffner: [polaiin]	Materialträger: Wert III	Absatz-/Recordöffner: [polaiin] — Kandidat: Materialträger: Wert III	0	UNRESOLVED	UNRESOLVED	0
G737-O0005	G737-F147	loiiin	H4	l	oiiin	3	f102r1	f102r1.3	P	A	1	4	4	7	MIDDLE	0.500000	1	0	0	qoteol	oteeor	polaiin shocthy qoteol loiiin oteeor cpheodar sholdaiin	1	1	EXACT	INTERNAL_PAIR	INTERNAL_FIELD	internes Feld: [loiiin]	Zubereitungsform: Index IV	internes Feld: [loiiin] — Kandidat: Zubereitungsform: Index IV	0	UNRESOLVED	UNRESOLVED	0
G737-O0006	G737-F012	rain	H3	r	ain	3	f102v2	f102v2.38	P	A	1	10	10	10	LAST	1.000000	0	0	0	okeeo	NONE	dar cheey ckheey qokeor okey chos sho ykeey okeeo rain	0	0	OTHER_VARIANT_OR_OMISSION	INTERNAL_PAIR	LATE_REFERENCE_OR_ITEM_CLOSE	Abschlussbezug: [rain]	Ordinal-/Wertstufe II	Abschlussbezug: [rain] — Kandidat: Ordinal-/Wertstufe II	0	UNRESOLVED	UNRESOLVED	0
G737-O0007	G737-F053	pchedal	H1	p	chedal	2	f103r	f103r.1	S	B	3	1	1	12	FIRST	0.000000	1	1	0	NONE	shdy	pchedal shdy ytechypchy otey lshey qoteey qotal shedy yshdal dain okal daldy	1	1	EXACT	ENTRY_PAIR	PARAGRAPH_OR_RECORD_OPENER	Absatz-/Recordöffner: [pchedal]	abgemessenes Trockenmaterial, Stufe I/Form I	Absatz-/Recordöffner: [pchedal] — Kandidat: abgemessenes Trockenmaterial, Stufe I/Form I	0	UNRESOLVED	UNRESOLVED	0
G737-O0008	G737-F119	lkeey	H4	l	keey	2	f103r	f103r.2	S	B	3	11	11	15	MIDDLE	0.714286	0	0	0	sal	sar	dain shek chdy daloky opchedy peshol chep ar otchy sal lkeey sar ain ok chedy	1	1	EXACT	INTERNAL_PAIR	INTERNAL_FIELD	internes Feld: [lkeey]	erhitzte Form II	internes Feld: [lkeey] — Kandidat: erhitzte Form II	0	UNRESOLVED	UNRESOLVED	0
G737-O0009	G737-F231	loty	H4	l	oty	2	f103r	f103r.4	S	B	3	8	8	9	MIDDLE	0.875000	0	0	0	ol	chedaraly	ychedy qokedy okedy qokeey okey chdar ol loty chedaraly	1	1	EXACT	INTERNAL_PAIR	INTERNAL_FIELD	internes Feld: [loty]	kalte oder abgekühlte Zubereitung, Grundform	internes Feld: [loty] — Kandidat: kalte oder abgekühlte Zubereitung, Grundform	0	UNRESOLVED	UNRESOLVED	0
G737-O0010	G737-F111	lkar	H4	l	kar	3	f103r	f103r.5	S	B	3	6	6	13	MIDDLE	0.416667	1	0	0	qokey	sheeky	pocharal okedar shedy oteey qokey lkar sheeky okalor shedy yt rkar ota okdy	1	1	EXACT	INTERNAL_PAIR	INTERNAL_FIELD	internes Feld: [lkar]	erhitzte Teil-/Fraktionsstufe I	internes Feld: [lkar] — Kandidat: erhitzte Teil-/Fraktionsstufe I	0	UNRESOLVED	UNRESOLVED	0
G737-O0011	G737-F110	rkar	H3	r	kar	3	f103r	f103r.5	S	B	3	11	11	13	MIDDLE	0.833333	1	0	0	yt	ota	pocharal okedar shedy oteey qokey lkar sheeky okalor shedy yt rkar ota okdy	1	1	EXACT	INTERNAL_PAIR	INTERNAL_REFERENCE_FIELD	interner Bezug: [rkar]	erhitzte Teil-/Fraktionsstufe I	interner Bezug: [rkar] — Kandidat: erhitzte Teil-/Fraktionsstufe I	0	UNRESOLVED	UNRESOLVED	0
G737-O0012	G737-F012	rain	H3	r	ain	3	f103r	f103r.8	S	B	3	5	5	13	MIDDLE	0.333333	1	0	0	okey	okechy	daroal okey chedy okey rain okechy qoisal qotar adchey ofeeo ltdy olkechdy lo	1	1	EXACT	INTERNAL_PAIR	INTERNAL_REFERENCE_FIELD	interner Bezug: [rain]	Ordinal-/Wertstufe II	interner Bezug: [rain] — Kandidat: Ordinal-/Wertstufe II	0	UNRESOLVED	UNRESOLVED	0
