herbal_record	preparation_output	bio_unit	bio_page	bio_owner	station_role	bio_atomic_chain	matched_handoff_terms	matched_term_count	selection	connection_kind
H1	BEMESSENER_WURZEL_AUSZUG_MIT_REST	B1-S002-M03	f81v	B1_SHARED_TWO_ROW_POOL	GEMEINSAMES_BEHANDLUNGSBECKEN	weiter → Anschluss → Zusatz → Gleichansatz → weiter → Zielkurzpassage	Zusatz|Gleichansatz	2	PRIMARY	THEMATIC_WORKSHOP_HANDOFF_NOT_DRAWN_POINTER
H1	BEMESSENER_WURZEL_AUSZUG_MIT_REST	B1-S002-M04	f81v	B1_SHARED_TWO_ROW_POOL	GEMEINSAMES_BEHANDLUNGSBECKEN	Sollmaß → Ziellanghalt → Sollmaß	Sollmaß|Ziellanghalt	2	SECONDARY	THEMATIC_WORKSHOP_HANDOFF_NOT_DRAWN_POINTER
H1	BEMESSENER_WURZEL_AUSZUG_MIT_REST	B1-S006	f81v	B1_SHARED_TWO_ROW_POOL	GEMEINSAMES_BEHANDLUNGSBECKEN	Zugabe → durchleiten → Zusatz → Zielmarke	Zusatz	1	SECONDARY	THEMATIC_WORKSHOP_HANDOFF_NOT_DRAWN_POINTER
H2	FORTGESETZTER_AUSZUGSANSATZ_AUF_SOLLSTUFE	B1-S002-M04	f81v	B1_SHARED_TWO_ROW_POOL	GEMEINSAMES_BEHANDLUNGSBECKEN	Sollmaß → Ziellanghalt → Sollmaß	Sollmaß|Ziellanghalt	2	PRIMARY	THEMATIC_WORKSHOP_HANDOFF_NOT_DRAWN_POINTER
H2	FORTGESETZTER_AUSZUGSANSATZ_AUF_SOLLSTUFE	B2-S005-M01	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	PAARBECKEN_MIT_MITTELZYLINDER	Zieleinsatz → Sollsammlung → durchleiten	Zieleinsatz|Sollsammlung	2	SECONDARY	THEMATIC_WORKSHOP_HANDOFF_NOT_DRAWN_POINTER
H2	FORTGESETZTER_AUSZUGSANSATZ_AUF_SOLLSTUFE	B2-S012-M03	f82r	B2_LOWER_GREEN_MULTI_FIGURE_POOL	MEHRPLATZ_BADBECKEN	Sollmaß → dies → Volleinsatz	Sollmaß	1	SECONDARY	THEMATIC_WORKSHOP_HANDOFF_NOT_DRAWN_POINTER
H3	GEKLAERTER_KALTER_SUD	B2-S012-M02	f82r	B2_LOWER_GREEN_MULTI_FIGURE_POOL	MEHRPLATZ_BADBECKEN	Klarlauf → Kurzvorbereitung → Langkontakt → Klarabzug	Klarlauf|Klarabzug|Langkontakt	3	PRIMARY	THEMATIC_WORKSHOP_HANDOFF_NOT_DRAWN_POINTER
H3	GEKLAERTER_KALTER_SUD	B2-S010	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	ZWISCHENGERAET_MIT_KNOTEN	Langkontakt → einsetzen → Auslass → Klarlauf	Klarlauf|Langkontakt|Auslass	3	SECONDARY	THEMATIC_WORKSHOP_HANDOFF_NOT_DRAWN_POINTER
H3	GEKLAERTER_KALTER_SUD	B2-S015	f82r	B2_LOWER_POOL_EDGE_STATIONS	RAND_ZUFUEHR_ABFUEHRSTATIONEN	Folgeklarlauf → Langkontakt	Klarlauf|Langkontakt	2	SECONDARY	THEMATIC_WORKSHOP_HANDOFF_NOT_DRAWN_POINTER
H4	BEMESSENER_GEKEUHLTER_BLATTAUSZUG	B4-S008	f83r	B4_MAIN_ARCH_LINKED_PAIR	ANWENDUNGS_UND_DURCHLASS_PAAR	Sollmaß → Langbearbeitung → Langhalt → Kurzkontakt	Sollmaß|Langbearbeitung|Langhalt|Kurzkontakt	4	PRIMARY	THEMATIC_WORKSHOP_HANDOFF_NOT_DRAWN_POINTER
H4	BEMESSENER_GEKEUHLTER_BLATTAUSZUG	B3-S013	f83r	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	KORB_SAMMELGEFAESS	bemessen → Portion → Kurzvorbereitung → Kurzkontakt	Kurzkontakt|Portion	2	SECONDARY	THEMATIC_WORKSHOP_HANDOFF_NOT_DRAWN_POINTER
H4	BEMESSENER_GEKEUHLTER_BLATTAUSZUG	B4-S015-M01	f83r	B4_MAIN_LEFT_OPEN_FRINGE_STATION	OFFENE_LINKSSTATION	Zugabe → Klarlauf → Portion → Zielpassage	Portion	1	SECONDARY	THEMATIC_WORKSHOP_HANDOFF_NOT_DRAWN_POINTER
H5	STAENGEL_ZUSATZ_AUSZUG_FUER_FOLGEANWENDUNGEN	B4-S003-M02	f83r	B4_MAIN_ARCH_LINKED_PAIR	ANWENDUNGS_UND_DURCHLASS_PAAR	Folgeposten → Langkontakt → einsetzen → weiter → Kurzabsetzung	Folgeposten|Langkontakt|einsetzen	3	PRIMARY	THEMATIC_WORKSHOP_HANDOFF_NOT_DRAWN_POINTER
H5	STAENGEL_ZUSATZ_AUSZUG_FUER_FOLGEANWENDUNGEN	B4-S015-M01	f83r	B4_MAIN_LEFT_OPEN_FRINGE_STATION	OFFENE_LINKSSTATION	Zugabe → Klarlauf → Portion → Zielpassage	Zugabe|Zielpassage	2	SECONDARY	THEMATIC_WORKSHOP_HANDOFF_NOT_DRAWN_POINTER
H5	STAENGEL_ZUSATZ_AUSZUG_FUER_FOLGEANWENDUNGEN	B1-S006	f81v	B1_SHARED_TWO_ROW_POOL	GEMEINSAMES_BEHANDLUNGSBECKEN	Zugabe → durchleiten → Zusatz → Zielmarke	Zugabe	1	SECONDARY	THEMATIC_WORKSHOP_HANDOFF_NOT_DRAWN_POINTER
