order	event_id	locus	phase	surface	joint_tuple_id	operation	card_value_de	working_reading_de	visible_owner
1	E270	f83r.14	PHASE_A	qokaiin	b5fcea1eaed06b2f2291	SET_MEASURE	auf Sollmaß einstellen	erste Portion auf Sollmaß bringen	UNRESOLVED_GAP_BETWEEN_MARGIN_AND_MAIN_PAIR
2	E271	f83r.14	PHASE_A	shcthy	e0b630cb1b5df5e7105b	CHECK_READY	bereit	Bereitschaft der ersten Portion prüfen	UNRESOLVED_GAP_BETWEEN_MARGIN_AND_MAIN_PAIR
3	E272	f83r.14	PHASE_A	dal	dd0ecaf5e27d81befffc	ASSIGN_TARGET	Stelle	erste Zielstelle wählen	UNRESOLVED_GAP_BETWEEN_MARGIN_AND_MAIN_PAIR
4	E273	f83r.14	PHASE_A	sy	b921a237be883a820352	HAND_OFF_ITEM	dieser Arbeitsposten	diesen Posten an Phase B übergeben	UNRESOLVED_GAP_BETWEEN_MARGIN_AND_MAIN_PAIR
5	E274	f83r.15	PHASE_B	saiin	2f1c5e56e8f0ff459065	SET_MEASURE	Sollmaß	übernommene Portion erneut bemessen	UNRESOLVED_GAP_BETWEEN_MARGIN_AND_MAIN_PAIR
6	E275	f83r.15	PHASE_B	shedal	abb23e5e6936b4147f76	SETTLE_AT_SITE	Absetzstelle	an der Absetzstelle halten	UNRESOLVED_GAP_BETWEEN_MARGIN_AND_MAIN_PAIR
7	E276	f83r.15	PHASE_B	shecthy	cb57b696b815fdef9cb7	TEMPER	temperiert	auf temperierten Zustand bringen	UNRESOLVED_GAP_BETWEEN_MARGIN_AND_MAIN_PAIR
8	E277	f83r.15	PHASE_B	chey	b921a237be883a820352	RESUME_ITEM	dieser Arbeitsposten	diesen temperierten Posten aufnehmen	UNRESOLVED_GAP_BETWEEN_MARGIN_AND_MAIN_PAIR
9	E278	f83r.15	PHASE_B	tal	dd0ecaf5e27d81befffc	ASSIGN_TARGET	Stelle	zweite Zielstelle wählen	UNRESOLVED_GAP_BETWEEN_MARGIN_AND_MAIN_PAIR
10	E279	f83r.15	PHASE_B	shcthy	e0b630cb1b5df5e7105b	CHECK_READY	bereit	Bereitschaft am Ziel prüfen	UNRESOLVED_GAP_BETWEEN_MARGIN_AND_MAIN_PAIR
11	E280	f83r.15	PHASE_B	dalchdy	2bc2ed2630dbdaaa6b59	LOCAL_TRANSFER_CLOSE	lokal umsetzen; Schluss	örtlich umsetzen und den Gang schließen	UNRESOLVED_GAP_BETWEEN_MARGIN_AND_MAIN_PAIR
