occurrence_id	page	locus	token_index	ordinal	line_length	surface	token_kind	position	section	language	hand	scope_mode	context_class	placement_class	attachment_class	left_surface	right_surface	left_fused_surface	left_fused_occurrences	right_fused_surface	right_fused_occurrences	working_gloss_de	working_render_de	strongest_rival_de	reader_exact	split_normalized	all_three_present	all_present_exact	zl3b_line	it2a_line	rf1b_line
G660-T001	f100r	f100r.12	10	10	10	s	P	EOS	P	A	1	CONTEXT_SCOPED	S_EOS	NONE	LEFT_OR_SPECIES_RIVAL	cho	<EOS>	chos	30	NONE	0	Samen-/Saatgutposten	Samen-/Saatgutposten.	links gebundene Species-/Drogenart	1	1	1	0	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	pcheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	pcheol sheod qocpheeckhy shodol da oto chqeos sheey cho s
G660-T002	f100v	f100v.15	11	11	11	s	P	EOS	P	A	1	CONTEXT_SCOPED	S_EOS	NONE	LEFT_OR_SPECIES_RIVAL	chotol	<EOS>	chotols	1	NONE	0	Samen-/Saatgutposten	Samen-/Saatgutposten.	links gebundene Species-/Drogenart	0	0	1	0	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotols	sor cheey dair al cheol qoolkeey chol cheey qokeol chotols
G660-T003	f100v	f100v.16	5	5	11	s	P	MEDIAL	P	A	1	CONTEXT_SCOPED	S_MEDIAL	NONE	UNRESOLVED_EXPLICIT_SEED_DEFAULT	eeoseeo	sheeo	eeoseeos	0	ssheeo	0	Samen-/Saatgutposten	Samen-/Saatgutposten	links gebundene Species-/Drogenart	0	0	1	0	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy	ykeeol chol chey eeoseeos sheeo okeol ches okeor okeol dy	ykeeol chol che eeoseeos sheeo okeol ches okeor okeol dy
G660-T004	f100v	f100v.16	11	11	11	dy	P	EOS	P	A	1	CONTEXT_SCOPED	DY_EOS	NONE	EOS	okeol	<EOS>	okeoldy	1	NONE	0	Qualitäts-/Wertfeld geschlossen	.	eigenständige Arzneiform statt Schlusszeichen	1	1	1	0	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy	ykeeol chol chey eeoseeos sheeo okeol ches okeor okeol dy	ykeeol chol che eeoseeos sheeo okeol ches okeor okeol dy
G660-T005	f100v	f100v.18	2	2	11	s	P	MEDIAL	P	A	1	CONTEXT_SCOPED	S_MEDIAL	NONE	RIGHT_HEAD	tachso	ol	tachsos	0	sol	57	Samen-/Saatgutposten	Samen-/Saatgutposten	links gebundene Species-/Drogenart	0	0	1	0	tachso s ol cheo cheeor odaidy ckhod sh chod qokeol sal	tocheo sol cheo cheeor odaidy ckhod sh chod qokeol sal	tochso s ol cheo cheeor odaidy ckho sh chod qokeol sal
G660-T006	f102r1	f102r1.14	9	9	11	s	P	MEDIAL	P	A	1	CONTEXT_SCOPED	S_MEDIAL	NONE	RIGHT_HEAD	chos	or	choss	0	sor	43	Samen-/Saatgutposten	Samen-/Saatgutposten	links gebundene Species-/Drogenart	0	0	1	0	doeey keeol qokeo daor shey qoteol okol chos s or oeeaiin	doeey keeol qokeo daor shey qoteol okol chos sor oeeaiin	doeey keeol qokeo d or shey qoteol okol chos s or oeeaiin
G660-T007	f102r1	f102r1.16	5	5	10	dy	P	MEDIAL	P	A	1	CONTEXT_SCOPED	DY_MEDIAL	NONE	MEDIAL	ykeey	okeol	ykeeydy	0	dyokeol	0	Qualitäts-/Wertfeld geschlossen	;	eigenständige Arzneiform statt Feldschluss	0	0	1	0	ddor chordam soraiin ykeey dy okeol doeoear s aral dor	ddor chordom soraiin ykeey dy okeol doeoeas saral dor	ddor chordam soraiin yeydy okeol oeoear s aral do
G660-T008	f102r1	f102r1.16	8	8	10	s	P	MEDIAL	P	A	1	CONTEXT_SCOPED	S_MEDIAL	NONE	RIGHT_HEAD	doeoear	aral	doeoears	0	saral	3	Samen-/Saatgutposten	Samen-/Saatgutposten	links gebundene Species-/Drogenart	0	0	1	0	ddor chordam soraiin ykeey dy okeol doeoear s aral dor	ddor chordom soraiin ykeey dy okeol doeoeas saral dor	ddor chordam soraiin yeydy okeol oeoear s aral do
G660-T009	f102v1	f102v1.10	10	10	10	dy	P	EOS	P	A	1	CONTEXT_SCOPED	DY_EOS	NONE	EOS	qokey	<EOS>	qokeydy	0	NONE	0	Qualitäts-/Wertfeld geschlossen	.	eigenständige Arzneiform statt Schlusszeichen	1	1	1	0	kochor ol ydaiin choraiin sheey ykeey kor shey qokey dy	kochor ol ydaiin choraiin cheey ykeey kor shey qokey dy	kochor ol ydaiin choraiin sheey ykeey korshey qokey dy
G660-T010	f102v1	f102v1.11	10	10	10	dy	P	EOS	P	A	1	CONTEXT_SCOPED	DY_EOS	NONE	EOS	cheody	<EOS>	cheodydy	0	NONE	0	Qualitäts-/Wertfeld geschlossen	.	eigenständige Arzneiform statt Schlusszeichen	1	1	1	0	sol chol qooiin qokol cheol chey kolcheey daiin cheody dy	sol chol qooiin qokal cheol chey kolcheey daiin cheody dy	s ol chol qooiin qokol cheol chey k lcheey daiin cheody dy
G660-T011	f102v1	f102v1.12	6	6	10	s	P	MEDIAL	P	A	1	CONTEXT_SCOPED	S_MEDIAL	NONE	RIGHT_HEAD	shekcheor	ar	shekcheors	0	sar	62	Samen-/Saatgutposten	Samen-/Saatgutposten	links gebundene Species-/Drogenart	0	0	1	0	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	ycheol cheol doiir shekcheor sar cheor ckhey pchodaiin	y cheol cheol doiir shekcheor s ar cheor ckhey pchodaiin
G660-T012	f102v2	f102v2.21	2	2	14	s	P	MEDIAL	P	A	1	CONTEXT_SCOPED	S_MEDIAL	NONE	UNRESOLVED_EXPLICIT_SEED_DEFAULT	ycheey	od	ycheeys	0	sod	0	Samen-/Saatgutposten	Samen-/Saatgutposten	links gebundene Species-/Drogenart	1	1	1	0	ycheey s od eey okeeor cheol os oiin oeees okear chey keey saiin oteo	ycheey s odeeeey okeeor cheol or oiin oeees okear chey keey saiin oteos	ycheey s odeey okeeor cheol os oiin oeees okear chey keey s aiin oteo
G660-T013	f102v2	f102v2.22	5	5	15	s	P	MEDIAL	P	A	1	CONTEXT_SCOPED	S_MEDIAL	NONE	BIDIRECTIONAL	cheol	oiir	cheols	2	soiir	1	Samen-/Saatgutposten	Samen-/Saatgutposten	links gebundene Species-/Drogenart	0	0	1	0	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho	doin or oiin cheol soiir chol sheey qockhy ol keor okeody okeor chos	d in or aiin cheol s oiir chol sheey qockhy ol keor okeody okeor cho
G660-T014	f102v2	f102v2.32	6	6	12	s	P	MEDIAL	P	A	1	CONTEXT_SCOPED	S_MEDIAL	NONE	RIGHT_HEAD	shoy	ar	shoys	0	sar	62	Samen-/Saatgutposten	Samen-/Saatgutposten	links gebundene Species-/Drogenart	1	1	1	0	dar cheor shoar okeol shoy s ar oky cheeor ol daiin sy	dar cheor sheor okeol shoy s ar oky cheeor ol daiin sy	dor cheos sho r okeol shoy s ar oky cheeor ol daiin sy
G660-T015	f102v2	f102v2.33	6	6	12	s	P	MEDIAL	P	A	1	CONTEXT_SCOPED	S_MEDIAL	NONE	BIDIRECTIONAL	o	al	os	23	sal	37	Samen-/Saatgutposten	Samen-/Saatgutposten	links gebundene Species-/Drogenart	0	0	1	0	qokeor sho keeeos cheor o s al chos aiiin o ky okaraiin	qokeor sho keeeos cheor os al chos aiiin oky okar aiin	qokeor sho keeeos cheor o s al chos aiiin oky okar aiin
G660-T016	f103r	f103r.14	8	8	13	s	P	MEDIAL	S	B	3	CONTEXT_SCOPED	S_MEDIAL	NONE	BIDIRECTIONAL	lol	aiin	lols	1	saiin	109	Samen-/Saatgutposten	Samen-/Saatgutposten	links gebundene Species-/Drogenart	1	1	1	0	okain shekain chedy qokeechy qoky shey lol s aiin chey eekain chcthy qoky	okain shekain chedy qokeechy qoky shey lol s aiin chey eekain chcthy qoky	okain shekain che y qokeechy qoky shey lol s aiin chey chkain chcthy qoky
G660-T018	f103r	f103r.41	9	9	13	s	P	MEDIAL	S	B	3	CONTEXT_SCOPED	S_MEDIAL	NONE	BIDIRECTIONAL	keeo	shey	keeos	1	sshey	5	Samen-/Saatgutposten	Samen-/Saatgutposten	links gebundene Species-/Drogenart	0	0	1	0	cheol sheeey qotey oteeal oteedy shet sho keeo s shey qokeedy qokal dal	cheol sheeey qotey oteeal oteedy shetsho keeos shey qokeedy qokal dal	cheol sheeey qotey oteeal oteedy etsho keeosshey qokee y qokal dal
