surface	working_meaning_de	composition	strongest_rival_de	occurrences	scope	status
cholkar	Trockengut: heiße Fraktion I	CHOL_DRY_MATERIAL+KAR_HOT_FRACTION_I	heiße Drogenfraktion I oder gelernte CHOLKAR-Ganzform	3	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V37_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
qodain	Qualitätsgrad II	QODA_QUALITY+MINIM_II	Ansatzdosis II	10	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V37_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
lcho	Trockenansatz aus Drogenholz	L_WOOD+CHO_DRY_PREPARATION	Drogenholzauszug oder gelernte LCHO-Ganzform	6	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V37_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
kchor	Drogenportion, heiß-trocken	K_HOT+CH_DRY+OR_PORTION	heiß-trockener Drogenteil	19	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V37_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
okchan	heiß-trockener Ansatz, Grad I	O_PREP+K_HOT+CH_DRY+A_MINIM_I	heiß-trockene Ansatzcharge I	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V37_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
opchar	trockene Pulverfraktion I im Ansatz	O_PREP+P_POWDER+CH_DRY+AR_FRACTION_I	Ansatz aus trockenem Drogenteil I	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V37_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
ydy	Wertfeldwechsel/-schluss	Y_PLACEMENT+DY_VALUE_FIELD_BOUNDARY	bloßer Trenner ohne Wertfeldfunktion	5	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V37_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
schokey	heiß-trockener Samenansatz in der Gradmitte	S_SEED+CHOKEY_HOT_DRY_PREP_MIDDLE	Salzansatz oder gelernte SCHOKEY-Ganzform	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V37_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
solkchy	Saatgut, heiß-trocken am Gradanfang	SOL_SEED_MATERIAL+KCHY_HOT_DRY_START	Salzmaterial, heiß-trocken am Gradanfang	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V37_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
yckhey	Eintrags-/Bezugsform: Arzneikompositum in der Gradmitte	Y_PLACEMENT+CKHEY_MEDIAL_COMPOSITE	lokaler Verweis auf ein Arzneikompositum	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V37_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
lshcthy	feuchtes CTH-Drogenholz	L_WOOD+SHCTHY_MOIST_CTH_FORM	feuchte Holzcharge oder gelernte LSHCTHY-Ganzform	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V37_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
ysheey	Eintrags-/Bezugsform: feucht am Gradende	Y_PLACEMENT+SHEEY_MOIST_GRADE_END	lokaler Verweis auf feuchtes Material	8	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V37_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
cheeytal	Rohstoffklasse I: trocken am Gradende, kalt am Gradanfang	CHEEY_DRY_END+TAL_COLD_RAW_I_START	zweigliedrige Qualitätsfolge ohne Rohstoffklasse	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V37_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
ochedar	trockener Ansatz in der Gradmitte, abgemessene Fraktion I	O_PREP+CHE_DRY_MIDDLE+DAR_MEASURED_FRACTION_I	Ansatz aus abgemessener Trockenfraktion I	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V37_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
cheoty	trocken angesetzte kalte Zubereitung am Gradanfang	CHEO_DRY_PREP+T_COLD+Y_START	kalter Trockenstoff am Gradanfang	4	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V37_PROVISIONAL_REPLACEABLE_NO_SUBSTRING_EXPORT
