family	role	surface	occurrences	lines	pages	reader_exact_occurrences	split_normalized_occurrences	v36_meaning_de	v36_source	gdt660_default_de	claim_scope
OKCHAN_HOT_DRY_GRADE_I	TARGET	okchan	1	1	1	1	1	OPEN	OPEN	heiß-trockener Ansatz, Grad I	exact observed surface; structural comparison only; no glyph identity or substring export
OKCHAN_HOT_DRY_GRADE_I	VISIBLE_ANCHOR	chan	12	12	11	10	11	trocken, Grad I	V13:QUALITY_DEGREE_SERIES	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
OKCHAN_HOT_DRY_GRADE_I	VISIBLE_ANCHOR	okchy	22	22	20	20	20	heiß-trockener Ansatz am Anfang des Grades	GDT647:FAMILY_MIGRATION	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
OKCHAN_HOT_DRY_GRADE_I	VISIBLE_ANCHOR	okchey	29	29	26	26	26	heiß-trockener Ansatz in der Mitte des Grades	GDT647:FAMILY_MIGRATION	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
SCHOKEY_SEED_DRY_PREP	TARGET	schokey	1	1	1	1	1	OPEN	OPEN	heiß-trockener Samenansatz in der Gradmitte	exact observed surface; structural comparison only; no glyph identity or substring export
SCHOKEY_SEED_DRY_PREP	VISIBLE_ANCHOR	chokey	4	4	4	4	4	heiß-trockener Ansatz in der Gradmitte	GDT652:STRONG_COMPONENT_GRID	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
SCHOKEY_SEED_DRY_PREP	VISIBLE_ANCHOR	schos	1	1	1	1	1	trockene Arzneimischung aus Samen	GDT658:EXACT_TWO_SLOTS_S_WHOLE	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
CHEEYTAL_DUAL_QUALITY	TARGET	cheeytal	1	1	1	0	0	OPEN	OPEN	Rohstoffklasse I: trocken am Gradende, kalt am Gradanfang	exact observed surface; structural comparison only; no glyph identity or substring export
CHEEYTAL_DUAL_QUALITY	VISIBLE_ANCHOR	cheey	158	149	64	137	137	trocken am Ende des Grades	GDT647:FAMILY_MIGRATION	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
CHEEYTAL_DUAL_QUALITY	VISIBLE_ANCHOR	tal	20	20	13	14	14	Rohstoffklasse I, kalt am Gradanfang	GDT656:NEW_EXACT_WHOLE	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
CHEEYTAL_DUAL_QUALITY	VISIBLE_ANCHOR	chekal	11	11	9	9	9	Rohstoffklasse I: trocken in der Gradmitte; heiß am Gradanfang	GDT657:EXACT_ORDERED_WHOLE	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
CHEOTY_COLD_DRY_START	TARGET	cheoty	4	4	4	4	4	OPEN	OPEN	trocken angesetzte kalte Zubereitung am Gradanfang	exact observed surface; structural comparison only; no glyph identity or substring export
CHEOTY_COLD_DRY_START	VISIBLE_ANCHOR	cheoky	6	6	6	6	6	trocken angesetzte heiße Zubereitung am Gradanfang	GDT652:STRONG_COMPONENT_GRID	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
CHEOTY_COLD_DRY_START	VISIBLE_ANCHOR	otcho	7	7	7	6	6	kalt-trockene Zubereitung	GDT650:STRONG_ATTESTED_FAMILY	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
