family	role	surface	occurrences	lines	pages	reader_exact_occurrences	split_normalized_occurrences	v36_meaning_de	v36_source	gdt660_default_de	claim_scope
CHOLKAR_DRY_HOT_FRACTION	TARGET	cholkar	3	3	3	2	3	OPEN	OPEN	Trockengut: heiße Fraktion I	exact observed surface; structural comparison only; no glyph identity or substring export
CHOLKAR_DRY_HOT_FRACTION	VISIBLE_ANCHOR	chol	343	297	125	303	303	trocken; nominal trockenes Gut/Material	V13:DRY_OL_FORM	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
CHOLKAR_DRY_HOT_FRACTION	VISIBLE_ANCHOR	kar	57	55	42	42	42	heiße Drogenfraktion I	GDT654:NEW_EXACT_WHOLE	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
CHOLKAR_DRY_HOT_FRACTION	VISIBLE_ANCHOR	cholkaiin	5	5	5	4	4	Trockengut, heiß im dritten Grad	GDT648:STRICT_WHOLE_COMPLETION	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
QODAIN_QUALITY_II	TARGET	qodain	10	9	6	9	9	OPEN	OPEN	Qualitätsgrad II	exact observed surface; structural comparison only; no glyph identity or substring export
QODAIN_QUALITY_II	VISIBLE_ANCHOR	dain	193	182	90	149	150	Grad-/Maßwert II	V13:CONTEXTUAL_VALUE_SERIES	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
QODAIN_QUALITY_II	VISIBLE_ANCHOR	qodal	7	7	6	6	6	abgemessene Rohstoffmenge I im Ansatz	GDT655:NEW_EXACT_WHOLE	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
QODAIN_QUALITY_II	VISIBLE_ANCHOR	qodaiin	41	40	25	34	36	OPEN	OPEN	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
LCHO_WOOD_DRY_PREP	TARGET	lcho	6	6	5	3	3	OPEN	OPEN	Trockenansatz aus Drogenholz	exact observed surface; structural comparison only; no glyph identity or substring export
LCHO_WOOD_DRY_PREP	VISIBLE_ANCHOR	cho	75	75	51	45	45	OPEN	OPEN	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
LCHO_WOOD_DRY_PREP	VISIBLE_ANCHOR	lcheo	3	3	3	3	3	trockene Drogenholzzubereitung/Trockenansatz	V13:SCOPED_RESIDUAL_HEAD_FORM	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
LCHO_WOOD_DRY_PREP	VISIBLE_ANCHOR	lchol	3	3	3	3	3	trockener Drogenholzstoff/Trockengut	V13:SCOPED_RESIDUAL_HEAD_FORM	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
KCHOR_HOT_DRY_PORTION	TARGET	kchor	19	19	19	18	18	OPEN	OPEN	Drogenportion, heiß-trocken	exact observed surface; structural comparison only; no glyph identity or substring export
