decision_id	surface	mode	working_default_de	composition	selection_rule	strongest_rival_de	occurrences	lines	pages	reader_exact_occurrences	split_normalized_occurrences	status
G660-D01	cholkar	EXACT_WHOLE	Trockengut: heiße Fraktion I	CHOL_DRY_MATERIAL+KAR_HOT_FRACTION_I	exact whitespace-delimited whole only; placement may change practical punctuation	heiße Drogenfraktion I oder gelernte CHOLKAR-Ganzform	3	3	3	2	3	ACCEPT_V37_EXACT_WHOLE_NO_SUBSTRING_EXPORT
G660-D02	qodain	EXACT_WHOLE	Qualitätsgrad II	QODA_QUALITY+MINIM_II	exact whitespace-delimited whole only; placement may change practical punctuation	Ansatzdosis II	10	9	6	9	9	ACCEPT_V37_EXACT_WHOLE_NO_SUBSTRING_EXPORT
G660-D03	lcho	EXACT_WHOLE	Trockenansatz aus Drogenholz	L_WOOD+CHO_DRY_PREPARATION	exact whitespace-delimited whole only; placement may change practical punctuation	Drogenholzauszug oder gelernte LCHO-Ganzform	6	6	5	3	3	ACCEPT_V37_EXACT_WHOLE_NO_SUBSTRING_EXPORT
G660-D04	kchor	EXACT_WHOLE	Drogenportion, heiß-trocken	K_HOT+CH_DRY+OR_PORTION	exact whitespace-delimited whole only; placement may change practical punctuation	heiß-trockener Drogenteil	19	19	19	18	18	ACCEPT_V37_EXACT_WHOLE_NO_SUBSTRING_EXPORT
G660-D05	okchan	EXACT_WHOLE	heiß-trockener Ansatz, Grad I	O_PREP+K_HOT+CH_DRY+A_MINIM_I	exact whitespace-delimited whole only; placement may change practical punctuation	heiß-trockene Ansatzcharge I	1	1	1	1	1	ACCEPT_V37_EXACT_WHOLE_NO_SUBSTRING_EXPORT
G660-D06	opchar	EXACT_WHOLE	trockene Pulverfraktion I im Ansatz	O_PREP+P_POWDER+CH_DRY+AR_FRACTION_I	exact whitespace-delimited whole only; placement may change practical punctuation	Ansatz aus trockenem Drogenteil I	2	2	2	2	2	ACCEPT_V37_EXACT_WHOLE_NO_SUBSTRING_EXPORT
G660-D07	ydy	EXACT_WHOLE_WITH_PLACEMENT_RENDER	Wertfeldwechsel/-schluss	Y_PLACEMENT+DY_VALUE_FIELD_BOUNDARY	exact whitespace-delimited whole only; placement may change practical punctuation	bloßer Trenner ohne Wertfeldfunktion	5	5	5	4	4	ACCEPT_V37_EXACT_WHOLE_NO_SUBSTRING_EXPORT
G660-D08	schokey	EXACT_WHOLE	heiß-trockener Samenansatz in der Gradmitte	S_SEED+CHOKEY_HOT_DRY_PREP_MIDDLE	exact whitespace-delimited whole only; placement may change practical punctuation	Salzansatz oder gelernte SCHOKEY-Ganzform	1	1	1	1	1	ACCEPT_V37_EXACT_WHOLE_NO_SUBSTRING_EXPORT
G660-D09	s	OCCURRENCE_SCOPED_CONTEXT_CARDS	Samen-/Saatgutposten; L-only Siglum	NAKED_S_POSITION_DISPATCH	dispatch by exact token equality, kind and physical-line position; never by substring	Species-/Drogenart oder Salz	272	261	125	154	154	ACCEPT_V37_CONTEXT_SCOPED_NOT_GLOBAL_LEXEME
G660-D10	dy	OCCURRENCE_SCOPED_CONTEXT_CARDS	Qualitäts-/Wertfeldschluss	NAKED_DY_POSITION_DISPATCH	dispatch by exact token equality, kind and physical-line position; never by substring	eigenständige Arzneiform	229	205	117	149	149	ACCEPT_V37_CONTEXT_SCOPED_NOT_GLOBAL_LEXEME
