page	locus	section	language	hand	target_occurrences	target_ordinals	target_surfaces	context_or_placement_classes	zl3b_line	v36_token_glosses_de	v37_token_glosses_de	v36_working_translation_de	v37_working_translation_de	v36_unknown_tokens	v37_unknown_tokens	v37_complete
f100r	f100r.12	P	A	1	1	10	s	S_EOS	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	[pcheol:?] | [sheod:?] | [qocpheeckhy:?] | [shodol:?] | [da:?] | [oto:?] | [choos:?] | feucht am Ende des Grades | [cho:?] | [s:?]	[pcheol:?] | [sheod:?] | [qocpheeckhy:?] | [shodol:?] | [da:?] | [oto:?] | [choos:?] | feucht am Ende des Grades | [cho:?] | Samen-/Saatgutposten	[pcheol:?]; [sheod:?]; [qocpheeckhy:?]; [shodol:?]; [da:?]; [oto:?]; [choos:?]; feucht am Ende des Grades; [cho:?]; [s:?]	[pcheol:?]; [sheod:?]; [qocpheeckhy:?]; [shodol:?]; [da:?]; [oto:?]; [choos:?]; feucht am Ende des Grades; [cho:?]; Samen-/Saatgutposten.	9	8	0
f100v	f100v.15	P	A	1	1	11	s	S_EOS	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	Samenportion | trocken am Ende des Grades | abgemessene Fraktion II | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockener Drogenstoff | [qoolkeey:?] | trocken; nominal trockenes Gut/Material | trocken am Ende des Grades | [qokeol:?] | [chotol:?] | [s:?]	Samenportion | trocken am Ende des Grades | abgemessene Fraktion II | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockener Drogenstoff | [qoolkeey:?] | trocken; nominal trockenes Gut/Material | trocken am Ende des Grades | [qokeol:?] | [chotol:?] | Samen-/Saatgutposten	Samenportion; trocken am Ende des Grades; abgemessene Fraktion II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trockener Drogenstoff; [qoolkeey:?]; trocken; nominal trockenes Gut/Material; trocken am Ende des Grades; [qokeol:?]; [chotol:?]; [s:?]	Samenportion; trocken am Ende des Grades; abgemessene Fraktion II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trockener Drogenstoff; [qoolkeey:?]; trocken; nominal trockenes Gut/Material; trocken am Ende des Grades; [qokeol:?]; [chotol:?]; Samen-/Saatgutposten.	4	3	0
f100v	f100v.16	P	A	1	2	5|11	s|dy	S_MEDIAL|DY_EOS	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy	[ykeeol:?] | trocken; nominal trockenes Gut/Material | trocken in der Mitte des Grades | [eeoseeo:?] | [s:?] | [sheeo:?] | [okeol:?] | [ches:?] | [okeor:?] | [okeol:?] | [dy:?]	[ykeeol:?] | trocken; nominal trockenes Gut/Material | trocken in der Mitte des Grades | [eeoseeo:?] | Samen-/Saatgutposten | [sheeo:?] | [okeol:?] | [ches:?] | [okeor:?] | [okeol:?] | Qualitäts-/Wertfeld geschlossen	[ykeeol:?]; trocken; nominal trockenes Gut/Material; trocken in der Mitte des Grades; [eeoseeo:?]; [s:?]; [sheeo:?]; [okeol:?]; [ches:?]; [okeor:?]; [okeol:?]; [dy:?]	[ykeeol:?]; trocken; nominal trockenes Gut/Material; trocken in der Mitte des Grades; [eeoseeo:?]; Samen-/Saatgutposten; [sheeo:?]; [okeol:?]; [ches:?]; [okeor:?]; [okeol:?].	9	7	0
f100v	f100v.18	P	A	1	1	2	s	S_MEDIAL	tachso s ol cheo cheeor odaidy ckhod sh chod qokeol sal	[tachso:?] | [s:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken angesetzte Zubereitung | [cheeor:?] | [odaidy:?] | [ckhod:?] | [sh:?] | [chod:?] | [qokeol:?] | Saat-Rohstoff I	[tachso:?] | Samen-/Saatgutposten | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken angesetzte Zubereitung | [cheeor:?] | [odaidy:?] | [ckhod:?] | [sh:?] | [chod:?] | [qokeol:?] | Saat-Rohstoff I	[tachso:?]; [s:?]; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trocken angesetzte Zubereitung; [cheeor:?]; [odaidy:?]; [ckhod:?]; [sh:?]; [chod:?]; [qokeol:?]; Saat-Rohstoff I	[tachso:?]; Samen-/Saatgutposten; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trocken angesetzte Zubereitung; [cheeor:?]; [odaidy:?]; [ckhod:?]; [sh:?]; [chod:?]; [qokeol:?]; Saat-Rohstoff I	8	7	0
f102r1	f102r1.14	P	A	1	1	9	s	S_MEDIAL	doeey keeol qokeo daor shey qoteol okol chos s or oeeaiin	[doeey:?] | [keeol:?] | [qokeo:?] | [daor:?] | feucht in der Mitte des Grades | [qoteol:?] | [okol:?] | [chos:?] | [s:?] | Drogenportion | [oeeaiin:?]	[doeey:?] | [keeol:?] | [qokeo:?] | [daor:?] | feucht in der Mitte des Grades | [qoteol:?] | [okol:?] | [chos:?] | Samen-/Saatgutposten | Drogenportion | [oeeaiin:?]	[doeey:?]; [keeol:?]; [qokeo:?]; [daor:?]; feucht in der Mitte des Grades; [qoteol:?]; [okol:?]; [chos:?]; [s:?]; Drogenportion; [oeeaiin:?]	[doeey:?]; [keeol:?]; [qokeo:?]; [daor:?]; feucht in der Mitte des Grades; [qoteol:?]; [okol:?]; [chos:?]; Samen-/Saatgutposten; Drogenportion; [oeeaiin:?]	9	8	0
f102r1	f102r1.16	P	A	1	2	5|8	dy|s	DY_MEDIAL|S_MEDIAL	ddor chordam soraiin ykeey dy okeol doeoear s aral dor	[ddor:?] | [chordam:?] | Samenportion III | [ykeey:?] | [dy:?] | [okeol:?] | [doeoear:?] | [s:?] | [aral:?] | [dor:?]	[ddor:?] | [chordam:?] | Samenportion III | [ykeey:?] | Qualitäts-/Wertfeld geschlossen | [okeol:?] | [doeoear:?] | Samen-/Saatgutposten | [aral:?] | [dor:?]	[ddor:?]; [chordam:?]; Samenportion III; [ykeey:?]; [dy:?]; [okeol:?]; [doeoear:?]; [s:?]; [aral:?]; [dor:?]	[ddor:?]; [chordam:?]; Samenportion III; [ykeey:?]; [okeol:?]; [doeoear:?]; Samen-/Saatgutposten; [aral:?]; [dor:?]	9	7	0
f102v1	f102v1.10	P	A	1	1	10	dy	DY_EOS	kochor ol ydaiin choraiin sheey ykeey kor shey qokey dy	[kochor:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [ydaiin:?] | Blüten-/Pflanzenteil, Menge/Klasse III | feucht am Ende des Grades | [ykeey:?] | heiße Drogenportion | feucht in der Mitte des Grades | heiß in der Mitte des Grades | [dy:?]	[kochor:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [ydaiin:?] | Blüten-/Pflanzenteil, Menge/Klasse III | feucht am Ende des Grades | [ykeey:?] | heiße Drogenportion | feucht in der Mitte des Grades | heiß in der Mitte des Grades | Qualitäts-/Wertfeld geschlossen	[kochor:?]; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; [ydaiin:?]; Blüten-/Pflanzenteil, Menge/Klasse III; feucht am Ende des Grades; [ykeey:?]; heiße Drogenportion; feucht in der Mitte des Grades; heiß in der Mitte des Grades; [dy:?]	[kochor:?]; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; [ydaiin:?]; Blüten-/Pflanzenteil, Menge/Klasse III; feucht am Ende des Grades; [ykeey:?]; heiße Drogenportion; feucht in der Mitte des Grades; heiß in der Mitte des Grades.	4	3	0
f102v1	f102v1.11	P	A	1	1	10	dy	DY_EOS	sol chol qooiin qokol cheol chey kolcheey daiin cheody dy	Samenmaterial/Saatgut | trocken; nominal trockenes Gut/Material | [qooiin:?] | [qokol:?] | trockener Drogenstoff | trocken in der Mitte des Grades | [kolcheey:?] | Grad-/Maßwert III | getrockneter Ansatz | [dy:?]	Samenmaterial/Saatgut | trocken; nominal trockenes Gut/Material | [qooiin:?] | [qokol:?] | trockener Drogenstoff | trocken in der Mitte des Grades | [kolcheey:?] | Grad-/Maßwert III | getrockneter Ansatz | Qualitäts-/Wertfeld geschlossen	Samenmaterial/Saatgut; trocken; nominal trockenes Gut/Material; [qooiin:?]; [qokol:?]; trockener Drogenstoff; trocken in der Mitte des Grades; [kolcheey:?]; Grad-/Maßwert III; getrockneter Ansatz; [dy:?]	Samenmaterial/Saatgut; trocken; nominal trockenes Gut/Material; [qooiin:?]; [qokol:?]; trockener Drogenstoff; trocken in der Mitte des Grades; [kolcheey:?]; Grad-/Maßwert III; getrockneter Ansatz.	4	3	0
f102v1	f102v1.12	P	A	1	1	6	s	S_MEDIAL	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	Eintrag: | trockener Drogenstoff | trockener Drogenstoff | [doiir:?] | [shekcheor:?] | [s:?] | Drogenfraktion I | trockener Drogenteil | [ey:?] | [pchodaiin:?]	Eintrag: | trockener Drogenstoff | trockener Drogenstoff | [doiir:?] | [shekcheor:?] | Samen-/Saatgutposten | Drogenfraktion I | trockener Drogenteil | [ey:?] | [pchodaiin:?]	Eintrag: trockener Drogenstoff; trockener Drogenstoff; [doiir:?]; [shekcheor:?]; [s:?]; Drogenfraktion I; trockener Drogenteil; [ey:?]; [pchodaiin:?]	Eintrag: trockener Drogenstoff; trockener Drogenstoff; [doiir:?]; [shekcheor:?]; Samen-/Saatgutposten; Drogenfraktion I; trockener Drogenteil; [ey:?]; [pchodaiin:?]	5	4	0
f102v2	f102v2.21	P	A	1	1	2	s	S_MEDIAL	ycheey s od eey okeeor cheol os oiin oeees okear chey keey saiin oteo	[ycheey:?] | [s:?] | [od:?] | [eey:?] | [okeeor:?] | trockener Drogenstoff | [os:?] | Zubereitungsform III | [oeees:?] | [okear:?] | trocken in der Mitte des Grades | heiß am Ende des Grades | Samen/Saatgut, Typ/Charge III | [oteo:?]	[ycheey:?] | Samen-/Saatgutposten | [od:?] | [eey:?] | [okeeor:?] | trockener Drogenstoff | [os:?] | Zubereitungsform III | [oeees:?] | [okear:?] | trocken in der Mitte des Grades | heiß am Ende des Grades | Samen/Saatgut, Typ/Charge III | [oteo:?]	[ycheey:?]; [s:?]; [od:?]; [eey:?]; [okeeor:?]; trockener Drogenstoff; [os:?]; Zubereitungsform III; [oeees:?]; [okear:?]; trocken in der Mitte des Grades; heiß am Ende des Grades; Samen/Saatgut, Typ/Charge III; [oteo:?]	[ycheey:?]; Samen-/Saatgutposten; [od:?]; [eey:?]; [okeeor:?]; trockener Drogenstoff; [os:?]; Zubereitungsform III; [oeees:?]; [okear:?]; trocken in der Mitte des Grades; heiß am Ende des Grades; Samen/Saatgut, Typ/Charge III; [oteo:?]	9	8	0
