occurrence_id	page	locus	ordinal	surface	position	reader_exact	split_normalized	all_present_exact	zl3b_line	it2a_line	rf1b_line	semantic_scope	claim_boundary
G660-T001	f100r	f100r.12	10	s	EOS	1	1	0	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	pcheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	pcheol sheod qocpheeckhy shodol da oto chqeos sheey cho s	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T002	f100v	f100v.15	11	s	EOS	0	0	0	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotols	sor cheey dair al cheol qoolkeey chol cheey qokeol chotols	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T003	f100v	f100v.16	5	s	MEDIAL	0	0	0	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy	ykeeol chol chey eeoseeos sheeo okeol ches okeor okeol dy	ykeeol chol che eeoseeos sheeo okeol ches okeor okeol dy	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T004	f100v	f100v.16	11	dy	EOS	1	1	0	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy	ykeeol chol chey eeoseeos sheeo okeol ches okeor okeol dy	ykeeol chol che eeoseeos sheeo okeol ches okeor okeol dy	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T005	f100v	f100v.18	2	s	MEDIAL	0	0	0	tachso s ol cheo cheeor odaidy ckhod sh chod qokeol sal	tocheo sol cheo cheeor odaidy ckhod sh chod qokeol sal	tochso s ol cheo cheeor odaidy ckho sh chod qokeol sal	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T006	f102r1	f102r1.14	9	s	MEDIAL	0	0	0	doeey keeol qokeo daor shey qoteol okol chos s or oeeaiin	doeey keeol qokeo daor shey qoteol okol chos sor oeeaiin	doeey keeol qokeo d or shey qoteol okol chos s or oeeaiin	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T007	f102r1	f102r1.16	5	dy	MEDIAL	0	0	0	ddor chordam soraiin ykeey dy okeol doeoear s aral dor	ddor chordom soraiin ykeey dy okeol doeoeas saral dor	ddor chordam soraiin yeydy okeol oeoear s aral do	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T008	f102r1	f102r1.16	8	s	MEDIAL	0	0	0	ddor chordam soraiin ykeey dy okeol doeoear s aral dor	ddor chordom soraiin ykeey dy okeol doeoeas saral dor	ddor chordam soraiin yeydy okeol oeoear s aral do	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T009	f102v1	f102v1.10	10	dy	EOS	1	1	0	kochor ol ydaiin choraiin sheey ykeey kor shey qokey dy	kochor ol ydaiin choraiin cheey ykeey kor shey qokey dy	kochor ol ydaiin choraiin sheey ykeey korshey qokey dy	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T010	f102v1	f102v1.11	10	dy	EOS	1	1	0	sol chol qooiin qokol cheol chey kolcheey daiin cheody dy	sol chol qooiin qokal cheol chey kolcheey daiin cheody dy	s ol chol qooiin qokol cheol chey k lcheey daiin cheody dy	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T011	f102v1	f102v1.12	6	s	MEDIAL	0	0	0	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	ycheol cheol doiir shekcheor sar cheor ckhey pchodaiin	y cheol cheol doiir shekcheor s ar cheor ckhey pchodaiin	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T012	f102v2	f102v2.21	2	s	MEDIAL	1	1	0	ycheey s od eey okeeor cheol os oiin oeees okear chey keey saiin oteo	ycheey s odeeeey okeeor cheol or oiin oeees okear chey keey saiin oteos	ycheey s odeey okeeor cheol os oiin oeees okear chey keey s aiin oteo	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T013	f102v2	f102v2.22	5	s	MEDIAL	0	0	0	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho	doin or oiin cheol soiir chol sheey qockhy ol keor okeody okeor chos	d in or aiin cheol s oiir chol sheey qockhy ol keor okeody okeor cho	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T014	f102v2	f102v2.32	6	s	MEDIAL	1	1	0	dar cheor shoar okeol shoy s ar oky cheeor ol daiin sy	dar cheor sheor okeol shoy s ar oky cheeor ol daiin sy	dor cheos sho r okeol shoy s ar oky cheeor ol daiin sy	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T015	f102v2	f102v2.33	6	s	MEDIAL	0	0	0	qokeor sho keeeos cheor o s al chos aiiin o ky okaraiin	qokeor sho keeeos cheor os al chos aiiin oky okar aiin	qokeor sho keeeos cheor o s al chos aiiin oky okar aiin	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
