at	material	M_producer	N_producer	M_only	row_status
f83r.4:3	f83r.3:8			false	recorded
f83r.7:8	f83r.6:5	f83r.7:4#2	f83r.6:7	false	recorded
f83r.9:3				false	recorded
f83r.11:6	f83r.11:3			false	recorded
f83r.12:8	f83r.11:3			false	recorded
f83r.13:7	f83r.13:3			false	recorded
f83r.20:4	f83r.19:9			false	recorded
f83r.20:7	f83r.19:9			false	recorded
f83r.21:2	f83r.19:9	f83r.20:8#2		true	recorded
f83r.21:8	f83r.19:9			false	recorded
f83r.23:5	f83r.23:4			false	recorded
f83r.25:4				false	recorded
f83r.28:4	f83r.26:5			false	recorded
