record	at	word	reading	expanded	row_status
F83_P1	f83r.1:1	tchedy	⟦tchedy⟧	⟦tchedy⟧	recorded
F83_P1	f83r.1:2	lpchedy	⟦lpchedy⟧	⟦lpchedy⟧	recorded
F83_P1	f83r.1:3	opedy	⟦opedy⟧	⟦opedy⟧	recorded
F83_P1	f83r.1:4	chepol	⟦chepol⟧	⟦chepol⟧	recorded
F83_P1	f83r.1:5	pchedar	⟦pchedar⟧	⟦pchedar⟧	recorded
F83_P1	f83r.1:6	shedy	Material B	Material B	recorded
F83_P1	f83r.1:7	qopchedy	⟦qopchedy⟧	⟦qopchedy⟧	recorded
F83_P1	f83r.2:1	sol	⟦sol⟧	⟦sol⟧	recorded
F83_P1	f83r.2:2	cheey	⟦cheey⟧	⟦cheey⟧	recorded
F83_P1	f83r.2:3	qokaiin	Material A	Material A	recorded
F83_P1	f83r.2:4	shol	⟦shol⟧	⟦shol⟧	recorded
F83_P1	f83r.2:5	lchs	⟦lchs⟧	⟦lchs⟧	recorded
F83_P1	f83r.2:6	shey	⟦shey⟧	⟦shey⟧	recorded
F83_P1	f83r.2:7	qoteedy	⟦qoteedy⟧	⟦qoteedy⟧	recorded
F83_P1	f83r.2:8	rches	⟦rches⟧	⟦rches⟧	recorded
F83_P1	f83r.2:9	ar	⟦ar⟧	⟦ar⟧	recorded
F83_P1	f83r.2:10	chedy	erhitze Material A [Materialbezug=f83r.2:3; Gefäßbezug=; offen=; Ergebnisbeleg=]	erhitze Material A [Materialbezug=f83r.2:3; Gefäßbezug=; offen=; Ergebnisbeleg=]	recorded
F83_P1	f83r.2:11	dor	⟦dor⟧	⟦dor⟧	recorded
F83_P1	f83r.3:1	olkeedy	⟦olkeedy⟧	⟦olkeedy⟧	recorded
F83_P1	f83r.3:2	qotal	⟦qotal⟧	⟦qotal⟧	recorded
F83_P1	f83r.3:3	chkeedy	⟦chkeedy⟧	⟦chkeedy⟧	recorded
F83_P1	f83r.3:4	chey	⟦chey⟧	⟦chey⟧	recorded
F83_P1	f83r.3:5	daiin	⟦daiin⟧	⟦daiin⟧	recorded
F83_P1	f83r.3:6	chey	⟦chey⟧	⟦chey⟧	recorded
F83_P1	f83r.3:7	lchedy	Gefäß	Gefäß	recorded
F83_P1	f83r.3:8	qokaiin	Material A	Material A	recorded
F83_P1	f83r.3:9	qotal	⟦qotal⟧	⟦qotal⟧	recorded
F83_P1	f83r.3:10	dar	⟦dar⟧	⟦dar⟧	recorded
F83_P1	f83r.4:1	qokshedy	⟦qokshedy⟧	⟦qokshedy⟧	recorded
F83_P1	f83r.4:2	chedy	erhitze Material A [Materialbezug=f83r.3:8; Gefäßbezug=; offen=; Ergebnisbeleg=]	erhitze Material A [Materialbezug=f83r.3:8; Gefäßbezug=; offen=; Ergebnisbeleg=]	recorded
F83_P1	f83r.4:3	qokedy	Material A ist vorbereitet [Materialbezug=f83r.3:8; Gefäßbezug=; offen=; Ergebnisbeleg=]	Material A ist vorbereitet [Materialbezug=f83r.3:8; Gefäßbezug=; offen=; Ergebnisbeleg=]	recorded
F83_P1	f83r.4:4	chkedy	⟦chkedy⟧	⟦chkedy⟧	recorded
F83_P1	f83r.4:5	daiin	⟦daiin⟧	⟦daiin⟧	recorded
F83_P1	f83r.4:6	shetar	⟦shetar⟧	⟦shetar⟧	recorded
F83_P1	f83r.4:7	shedy	Material B	Material B	recorded
F83_P1	f83r.4:8	qekaiin	⟦qekaiin⟧	⟦qekaiin⟧	recorded
F83_P1	f83r.4:9	chedy	erhitze Material B [Materialbezug=f83r.4:7; Gefäßbezug=; offen=; Ergebnisbeleg=]	erhitze Material B [Materialbezug=f83r.4:7; Gefäßbezug=; offen=; Ergebnisbeleg=]	recorded
F83_P1	f83r.5:1	deey	⟦deey⟧	⟦deey⟧	recorded
F83_P1	f83r.5:2	qotaiin	⟦qotaiin⟧	⟦qotaiin⟧	recorded
F83_P1	f83r.5:3	checkhy	⟦checkhy⟧	⟦checkhy⟧	recorded
F83_P1	f83r.5:4	qoty	⟦qoty⟧	⟦qoty⟧	recorded
F83_P1	f83r.5:5	cheg	⟦cheg⟧	⟦cheg⟧	recorded
F83_P1	f83r.5:6	shedy	Material B	Material B	recorded
F83_P1	f83r.5:7	qokeey	⟦qokeey⟧	⟦qokeey⟧	recorded
F83_P1	f83r.5:8	rchedy	⟦rchedy⟧	⟦rchedy⟧	recorded
F83_P1	f83r.5:9	qoteedy	⟦qoteedy⟧	⟦qoteedy⟧	recorded
F83_P1	f83r.5:10	lo	⟦lo⟧	⟦lo⟧	recorded
F83_P1	f83r.6:1	schedy	⟦schedy⟧	⟦schedy⟧	recorded
F83_P1	f83r.6:2	chedchy	⟦chedchy⟧	⟦chedchy⟧	recorded
F83_P1	f83r.6:3	qokal	⟦qokal⟧	⟦qokal⟧	recorded
F83_P1	f83r.6:4	olchedy	⟦olchedy⟧	⟦olchedy⟧	recorded
F83_P1	f83r.6:5	qokaiin	Material A	Material A	recorded
F83_P1	f83r.6:6	chedy	erhitze Material A [Materialbezug=f83r.6:5; Gefäßbezug=; offen=; Ergebnisbeleg=]	erhitze Material A [Materialbezug=f83r.6:5; Gefäßbezug=; offen=; Ergebnisbeleg=]	recorded
F83_P1	f83r.6:7	qokeedy	überführe Material A in Gefäß@f83r.6:8 [Materialbezug=f83r.6:5; Gefäßbezug=f83r.6:8; offen=; Ergebnisbeleg=]	überführe Material A in Gefäß@f83r.6:8 [Materialbezug=f83r.6:5; Gefäßbezug=f83r.6:8; offen=; Ergebnisbeleg=]	recorded
F83_P1	f83r.6:8	lchedy	Gefäß	Gefäß	recorded
F83_P1	f83r.6:9	qoky	Ansatz aus Material A in Gefäß@f83r.6:8 [Materialbezug=f83r.6:5; Gefäßbezug=f83r.6:8; offen=; Ergebnisbeleg=]	Ansatz aus Material A in Gefäß@f83r.6:8 [offen=]	recorded
F83_P1	f83r.7:1	solshed	⟦solshed⟧	⟦solshed⟧	recorded
F83_P1	f83r.7:2	lsheedy	⟦lsheedy⟧	⟦lsheedy⟧	recorded
F83_P1	f83r.7:3	qeeedy	⟦qeeedy⟧	⟦qeeedy⟧	recorded
F83_P1	f83r.7:4	qoky	Ansatz aus Material A in Gefäß@f83r.6:8 [Materialbezug=f83r.6:5; Gefäßbezug=f83r.6:8; offen=; Ergebnisbeleg=]	Ansatz aus Material A in Gefäß@f83r.6:8 [offen=]	recorded
F83_P1	f83r.7:5	o	⟦o⟧	⟦o⟧	recorded
F83_P1	f83r.7:6	qol	⟦qol⟧	⟦qol⟧	recorded
F83_P1	f83r.7:7	rsheedy	⟦rsheedy⟧	⟦rsheedy⟧	recorded
F83_P1	f83r.7:8	qokedy	Material A ist vorbereitet [Materialbezug=f83r.6:5; Gefäßbezug=; offen=; Ergebnisbeleg=f83r.6:7]	Material A ist vorbereitet [Materialbezug=f83r.6:5; Gefäßbezug=; offen=; Ergebnisbeleg=f83r.6:7]	recorded
F83_P1	f83r.7:9	qoteedy	⟦qoteedy⟧	⟦qoteedy⟧	recorded
F83_P1	f83r.7:10	qoteedy	⟦qoteedy⟧	⟦qoteedy⟧	recorded
F83_P1	f83r.8:1	pchedal	⟦pchedal⟧	⟦pchedal⟧	recorded
F83_P1	f83r.8:2	otedy	⟦otedy⟧	⟦otedy⟧	recorded
F83_P1	f83r.8:3	shecthedchy	⟦shecthedchy⟧	⟦shecthedchy⟧	recorded
F83_P1	f83r.8:4	qoky	Ansatz aus Material A in Gefäß@f83r.6:8 [Materialbezug=f83r.6:5; Gefäßbezug=f83r.6:8; offen=; Ergebnisbeleg=]	Ansatz aus Material A in Gefäß@f83r.6:8 [offen=]	recorded
F83_P1	f83r.8:5	chedy	erhitze Material A [Materialbezug=f83r.6:5; Gefäßbezug=; offen=; Ergebnisbeleg=]	erhitze Material A [Materialbezug=f83r.6:5; Gefäßbezug=; offen=; Ergebnisbeleg=]	recorded
F83_P1	f83r.8:6	chary	⟦chary⟧	⟦chary⟧	recorded
F83_P2	f83r.9:1	pchor	⟦pchor⟧	⟦pchor⟧	recorded
F83_P2	f83r.9:2	checphedy	⟦checphedy⟧	⟦checphedy⟧	recorded
