unified_serial	section	page	unit_id	local_statement_or_locus	local_event_id	surface_display_only	reader_layer	portable_or_local_value_de	silent_owner_or_namespace	complete_local_instruction_de	section_role	handoff_status	exact_source_binding
1	HERBAL	f10r	H1	H1-S001	E001	dchey	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	ziehe ab · kurz · dies	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
2	HERBAL	f10r	H1	H1-S001	E002	cthoor	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	bereit · Gang · Ansatz	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
3	HERBAL	f10r	H1	H1-S001	E003	char	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	davon	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
4	HERBAL	f10r	H1	H1-S001	E004	chty	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	trage ein · dies	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
5	HERBAL	f10r	H1	H1-S001	E005	os	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	Fach	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
6	HERBAL	f10r	H1	H1-S001	E006	chair	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	ziehe ab · Lauf	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
7	HERBAL	f10r	H1	H1-S001	E007	otytchol	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	danach · dies · trage ein · ziehe ab · fort	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
8	HERBAL	f10r	H1	H1-S001	E008	oky	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	setze an · dies	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
9	HERBAL	f10r	H1	H1-S001	E009	daiin	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	Maß	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
10	HERBAL	f10r	H1	H1-S001	E010	etyd	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	kurz · trage ein · dies	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
11	HERBAL	f10r	H1	H1-S002	E011	qokchy	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	setze an · dies	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: gib dies in den Ansatz → abnehmen. Angaben: fort | bereit · dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
12	HERBAL	f10r	H1	H1-S002	E012	qotchol	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	danach · ziehe ab · fort	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: gib dies in den Ansatz → abnehmen. Angaben: fort | bereit · dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
13	HERBAL	f10r	H1	H1-S002	E013	chol	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	fort	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: gib dies in den Ansatz → abnehmen. Angaben: fort | bereit · dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
14	HERBAL	f10r	H1	H1-S002	E014	cthy	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	bereit · dies	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: gib dies in den Ansatz → abnehmen. Angaben: fort | bereit · dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
15	HERBAL	f10r	H2	H2-S001	E015	ycheor	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	dies · ziehe ab · kurz · Ansatz	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
16	HERBAL	f10r	H2	H2-S001	E016	cthy	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	bereit · dies	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
17	HERBAL	f10r	H2	H2-S001	E017	chor	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	Ansatz	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
