unified_serial	job_id	phase	page	local_unit	source_group_id	visible_owner	visible_surface	current_value_de	reading_layer	orientation	crosspage_key
U001	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dchey	Grundteil	ATOMIC_LOCAL_NOMENCLATOR	PROSE_ORDER	NONE
U002	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cthoor	Vorbereitung	ATOMIC_LOCAL_NOMENCLATOR	PROSE_ORDER	NONE
U003	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	char	davon	SHARED_DECK	PROSE_ORDER	NONE
U004	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E004	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chty	Anteil	SHARED_DECK	PROSE_ORDER	NONE
U005	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E005	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	os	Aufnahmegefäß	ATOMIC_LOCAL_NOMENCLATOR	PROSE_ORDER	NONE
U006	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E006	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chair	Zuguss	ATOMIC_LOCAL_NOMENCLATOR	PROSE_ORDER	NONE
U007	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E007	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	otytchol	Folgeteil	ATOMIC_LOCAL_NOMENCLATOR	PROSE_ORDER	NONE
U008	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E008	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	oky	einsetzen	SHARED_DECK	PROSE_ORDER	NONE
U009	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E009	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	daiin	Sollmaß	SHARED_DECK	PROSE_ORDER	NONE
U010	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S001	E010	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	etyd	Kurzteil	ATOMIC_LOCAL_NOMENCLATOR	PROSE_ORDER	NONE
U011	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S002	E011	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qokchy	weiterbearbeiten	SHARED_DECK	PROSE_ORDER	NONE
U012	J1_ROOT_AND_LEAF_BASIN	WHAT_OR_HOW_PROSE	f10r	H1-S002	E012	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qotchol	Weitergang	ATOMIC_LOCAL_NOMENCLATOR	PROSE_ORDER	NONE
