visible_surface	master_card_id	master_form	card_value_de	teaching_layer	syntactic_type
chdal	MC001	chdal	Zieltransfer	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
okeey	MC002	okeey	lange einwirken	SHARED_DECK	DURATIVE_ACTION
qokeey	MC002	okeey	lange einwirken	SHARED_DECK	DURATIVE_ACTION
sheedy	MC003	sheedy	Langabsetzen; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
ldy	MC004	ldy	abziehen; Schluss	SHARED_DECK	TERMINAL_ACTION
okchedy	MC005	okchedy	einführen; Schluss	SHARED_DECK	TERMINAL_ACTION
qokchedy	MC005	okchedy	einführen; Schluss	SHARED_DECK	TERMINAL_ACTION
chokcheo	MC006	chokcheo	Auszug einsetzen	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_LOCAL_ACTION
okey	MC007	okey	kurz einwirken	SHARED_DECK	DURATIVE_ACTION
qokey	MC007	okey	kurz einwirken	SHARED_DECK	DURATIVE_ACTION
lchy	MC008	lchy	Abführgut	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
chary	MC009	chary	Quellposten	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
chodaly	MC010	chodaly	Zielzugabe	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_OBJECT
lchedar	MC011	lchedar	Quellabführung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
dl	MC012	dl	Zusatz	SHARED_DECK	OBJECT
otchor	MC013	otchor	Folgeansatz	SHARED_DECK	ORDERED_OBJECT
qotchor	MC013	otchor	Folgeansatz	SHARED_DECK	ORDERED_OBJECT
chair	MC014	chair	Zuguss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
qokokchy	MC015	qokokchy	erneut einsetzen	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_LOCAL_ACTION
rol	MC016	rol	Anschluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_ORDER_OR_LINK
okain	MC017	okain	Anteil zugeben	SHARED_DECK	QUANTITY_ACTION
qokain	MC017	okain	Anteil zugeben	SHARED_DECK	QUANTITY_ACTION
qotedaiin	MC018	qotedaiin	Kurzsoll	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
oldy	MC019	oldy	fertig	SHARED_DECK	TERMINAL_STATE
solkeey	MC020	solkeey	Langsammlung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
oltchy	MC021	oltchy	Folgebereitung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
chckhal	MC022	chckhal	Zielpassage	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_PATH
kair	MC023	kair	Beckenlauf	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
qokol	MC024	qokol	Weiter einsetzen	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_ORDER_OR_LINK
