statement_id	record_unit_id	page	owner_trace	atomic_card_chain_de	pressure_status	workshop_consequence_de
H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Grundteil | Vorbereitung | davon | Anteil | Aufnahmegefäß | Zuguss | Folgeteil | einsetzen | Sollmaß | Kurzteil	KEEP_PROCESS_COMPATIBLE	Kein klarer Widerspruch zum Auszug-Teilung-Halten-Transfer-Waschen-Ablauf-Modell.
H1-S002	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	weiterbearbeiten | Weitergang | weiter | bereit	KEEP_PROCESS_COMPATIBLE	Kein klarer Widerspruch zum Auszug-Teilung-Halten-Transfer-Waschen-Ablauf-Modell.
H2-S001	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Auszugsansatz | bereit | Ansatz | Sollvorbereitung | Folgeposten | dies | dies | Sollmaß | dies	KEEP_PROCESS_COMPATIBLE	Kein klarer Widerspruch zum Auszug-Teilung-Halten-Transfer-Waschen-Ablauf-Modell.
H2-S002	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Folgeansatz | Ansatz | Fortgang | weiter | derselbe Ansatz | weiter | Sollmaß | davon	KEEP_PROCESS_COMPATIBLE	Kein klarer Widerspruch zum Auszug-Teilung-Halten-Transfer-Waschen-Ablauf-Modell.
H2-S003	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Arbeitsansatz | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zugabemaß	KEEP_PROCESS_COMPATIBLE	Kein klarer Widerspruch zum Auszug-Teilung-Halten-Transfer-Waschen-Ablauf-Modell.
H4-S001	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	bemessen | Sollmaß | erste Portion | zweite Portion | Abkühlen	KEEP_PROCESS_COMPATIBLE	Kein klarer Widerspruch zum Auszug-Teilung-Halten-Transfer-Waschen-Ablauf-Modell.
H4-S002	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	Sollmaß | überführen | Verwahrort	KEEP_PROCESS_COMPATIBLE	Kein klarer Widerspruch zum Auszug-Teilung-Halten-Transfer-Waschen-Ablauf-Modell.
H4-S003	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	Sollportion | Quellauszug | länger bearbeiten | fertig	KEEP_PROCESS_COMPATIBLE	Kein klarer Widerspruch zum Auszug-Teilung-Halten-Transfer-Waschen-Ablauf-Modell.
H4-S004	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	Sollmaß | dorthin einsetzen | Folgebereitung | Ansatz | dies | Bereitungsanteil	KEEP_PROCESS_COMPATIBLE	Kein klarer Widerspruch zum Auszug-Teilung-Halten-Transfer-Waschen-Ablauf-Modell.
H5-S001	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	Zugabeansatz | weitere Zutat | Zielzugabe | Sollmaß | weitere Zutat | Weiterverarbeitung | Folgeansatz | einsetzen | dorthin	KEEP_PROCESS_COMPATIBLE	Kein klarer Widerspruch zum Auszug-Teilung-Halten-Transfer-Waschen-Ablauf-Modell.
H5-S002	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	vom vorigen | Zugabeposten | einsetzen | Langpassage; Schluss	KEEP_PROCESS_COMPATIBLE	Kein klarer Widerspruch zum Auszug-Teilung-Halten-Transfer-Waschen-Ablauf-Modell.
H5-S003	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	Halten | weitere Zutat | Kurzbearbeitung | erneut einsetzen	KEEP_PROCESS_COMPATIBLE	Kein klarer Widerspruch zum Auszug-Teilung-Halten-Transfer-Waschen-Ablauf-Modell.
H5-S004	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	weiterbearbeiten | Auszug einsetzen | Zielbearbeitung	KEEP_PROCESS_COMPATIBLE	Kein klarer Widerspruch zum Auszug-Teilung-Halten-Transfer-Waschen-Ablauf-Modell.
H5-S005	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	weitere Zutat | weiterbearbeiten | Quellauszug | Folgeanwendung	KEEP_PROCESS_COMPATIBLE	Kein klarer Widerspruch zum Auszug-Teilung-Halten-Transfer-Waschen-Ablauf-Modell.
H5-S006	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	das nächste | Kurzfortsetzung | Sollmaß	KEEP_PROCESS_COMPATIBLE	Kein klarer Widerspruch zum Auszug-Teilung-Halten-Transfer-Waschen-Ablauf-Modell.
B1-S001	B1	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	kurz einwirken; Schluss	KEEP_PROCESS_COMPATIBLE	Kein klarer Widerspruch zum Auszug-Teilung-Halten-Transfer-Waschen-Ablauf-Modell.
