event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	visible_owner	card_value_de	teaching_layer	terminal_status
1	H1-S001	H1	f10r	dchey	MC071	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Grundteil	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE
2	H1-S001	H1	f10r	cthoor	MC158	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Vorbereitung	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE
3	H1-S001	H1	f10r	char	MC055	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	davon	SHARED_DECK	NONCLOSE
4	H1-S001	H1	f10r	chty	MC086	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Anteil	SHARED_DECK	NONCLOSE
5	H1-S001	H1	f10r	os	MC159	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Aufnahmegefäß	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE
6	H1-S001	H1	f10r	chair	MC014	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Zuguss	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE
7	H1-S001	H1	f10r	otytchol	MC069	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Folgeteil	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE
8	H1-S001	H1	f10r	oky	MC026	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	einsetzen	SHARED_DECK	NONCLOSE
9	H1-S001	H1	f10r	daiin	MC039	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Sollmaß	SHARED_DECK	NONCLOSE
10	H1-S001	H1	f10r	etyd	MC108	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Kurzteil	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE
11	H1-S002	H1	f10r	qokchy	MC103	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	weiterbearbeiten	SHARED_DECK	NONCLOSE
12	H1-S002	H1	f10r	qotchol	MC163	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Weitergang	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE
13	H1-S002	H1	f10r	chol	MC153	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	weiter	SHARED_DECK	NONCLOSE
14	H1-S002	H1	f10r	cthy	MC161	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	bereit	SHARED_DECK	NONCLOSE
15	H2-S001	H2	f10r	ycheor	MC075	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Auszugsansatz	ATOMIC_LOCAL_NOMENCLATOR	NONCLOSE
