split_after_position	split_location	surface_mismatches	informative_mismatches	mismatch_events	perfect_profile_fit
0	BEFORE_PAGE	9	9	MP001|MP002|MP004|MP006|MP007|MP009|MP011|MP012|MP013	NO
1	AFTER_MP001	8	8	MP002|MP004|MP006|MP007|MP009|MP011|MP012|MP013	NO
2	AFTER_MP002	7	7	MP004|MP006|MP007|MP009|MP011|MP012|MP013	NO
3	AFTER_MP003	7	7	MP004|MP006|MP007|MP009|MP011|MP012|MP013	NO
4	AFTER_MP004	6	6	MP006|MP007|MP009|MP011|MP012|MP013	NO
5	AFTER_MP005	6	6	MP006|MP007|MP009|MP011|MP012|MP013	NO
6	AFTER_MP006	5	5	MP007|MP009|MP011|MP012|MP013	NO
7	AFTER_MP007	4	4	MP009|MP011|MP012|MP013	NO
8	AFTER_MP008	4	4	MP009|MP011|MP012|MP013	NO
9	AFTER_MP009	3	3	MP011|MP012|MP013	NO
10	AFTER_MP010	3	3	MP011|MP012|MP013	NO
11	AFTER_MP011	2	2	MP012|MP013	NO
12	AFTER_MP012	1	1	MP013	NO
13	AFTER_MP013	0	0	NONE	YES
14	AFTER_MP014	1	1	MP014	NO
15	AFTER_MP015	1	1	MP014	NO
16	AFTER_MP016	1	1	MP014	NO
17	AFTER_MP017	2	2	MP014|MP017	NO
18	AFTER_MP018	2	2	MP014|MP017	NO
19	AFTER_MP019	2	2	MP014|MP017	NO
20	AFTER_MP020	3	3	MP014|MP017|MP020	NO
21	AFTER_MP021	3	3	MP014|MP017|MP020	NO
22	AFTER_MP022	3	3	MP014|MP017|MP020	NO
23	AFTER_MP023	4	4	MP014|MP017|MP020|MP023	NO
24	AFTER_MP024	5	5	MP014|MP017|MP020|MP023|MP024	NO
25	AFTER_MP025	5	5	MP014|MP017|MP020|MP023|MP024	NO
26	AFTER_MP026	5	5	MP014|MP017|MP020|MP023|MP024	NO
27	AFTER_PAGE	5	5	MP014|MP017|MP020|MP023|MP024	NO
