position	master_event_id	docket_id	owner	line_no	line_column	exact_card	component_recipe	hand	mixed_surface	hand_a_surface	hand_b_surface	profile_informative	card_backread_unchanged	owner_unchanged	statement_unchanged
1	MP001	FD01	PLANT	1	1	PROC011	OK+Y	HAND_A_SHORT	okchy	okchy	chokchy	YES	YES	YES	YES
2	MP002	FD01	PLANT	1	2	PROC009	AIIN	HAND_A_SHORT	aiin	aiin	chaiin	YES	YES	YES	YES
3	MP003	FD02	PLANT	1	3	PROC052	HO	HAND_A_SHORT	cho	cho	cho	NO	YES	YES	YES
4	MP004	FD02	PLANT	1	4	PROC011	OK+Y	HAND_A_SHORT	okchy	okchy	chokchy	YES	YES	YES	YES
5	MP005	FD02	PLANT	2	1	PROC063	K+HO+AR	HAND_A_SHORT	kchoar	kchoar	kchoar	NO	YES	YES	YES
6	MP006	FD05	PLANT	2	2	PROC009	AIIN	HAND_A_SHORT	aiin	aiin	chaiin	YES	YES	YES	YES
7	MP007	FD05	PLANT	2	3	PROC042	CHD+Y	HAND_A_SHORT	chdy	chdy	chedy	YES	YES	YES	YES
8	MP008	FD05	PLANT	2	4	PROC043	TALAM	HAND_A_SHORT	talam	talam	talam	NO	YES	YES	YES
9	MP009	FD08	PLANT	2	5	PROC009	AIIN	HAND_A_SHORT	aiin	aiin	chaiin	YES	YES	YES	YES
10	MP010	FD08	PLANT	2	6	PROC094	CHD+DY	HAND_A_SHORT	dchdy	dchdy	dchdy	NO	YES	YES	YES
11	MP011	FD08	PLANT	3	1	PROC016	OR	HAND_A_SHORT	or	or	chor	YES	YES	YES	YES
12	MP012	FD03	BASIN	3	2	PROC009	AIIN	HAND_A_SHORT	aiin	aiin	chaiin	YES	YES	YES	YES
13	MP013	FD03	BASIN	3	3	PROC008	OK+Y	HAND_A_SHORT	oky	oky	choky	YES	YES	YES	YES
14	MP014	FD03	BASIN	3	4	PROC055	AL	HAND_B_LONG	cheal	al	cheal	YES	YES	YES	YES
15	MP015	FD04	BASIN	3	5	PROC076	CHD+DY	HAND_B_LONG	dchedy	dchedy	dchedy	NO	YES	YES	YES
16	MP016	FD04	BASIN	4	1	PROC133	CHD+Y	HAND_B_LONG	chedchy	chedchy	chedchy	NO	YES	YES	YES
17	MP017	FD04	BASIN	4	2	PROC048	OK+AL	HAND_B_LONG	qokal	okal	qokal	YES	YES	YES	YES
18	MP018	FD06	BASIN	4	3	PROC076	CHD+DY	HAND_B_LONG	dchedy	dchedy	dchedy	NO	YES	YES	YES
19	MP019	FD09	BASIN	4	4	PROC090	T+E+Y	HAND_B_LONG	ytey	ytey	ytey	NO	YES	YES	YES
20	MP020	FD09	BASIN	4	5	PROC091	OK+CHD+DY	HAND_B_LONG	qokchedy	okchedy	qokchedy	YES	YES	YES	YES
21	MP021	FD10	BASIN	4	6	PROC082	OK+CHD+DY	HAND_B_LONG	qokchdy	qokchdy	qokchdy	NO	YES	YES	YES
22	MP022	FD12	BASIN	4	7	PROC076	CHD+DY	HAND_B_LONG	dchedy	dchedy	dchedy	NO	YES	YES	YES
23	MP023	FD12	BASIN	5	1	PROC042	CHD+Y	HAND_B_LONG	chedy	chdy	chedy	YES	YES	YES	YES
24	MP024	FD12	BASIN	5	2	PROC009	AIIN	HAND_B_LONG	chaiin	aiin	chaiin	YES	YES	YES	YES
25	MP025	FD07	APPARATUS	5	3	PROC075	CKH+Y	HAND_B_LONG	chckhy	chckhy	chckhy	NO	YES	YES	YES
26	MP026	FD07	APPARATUS	5	4	PROC076	CHD+DY	HAND_B_LONG	dchedy	dchedy	dchedy	NO	YES	YES	YES
27	MP027	FD11	APPARATUS	5	5	PROC082	OK+CHD+DY	HAND_B_LONG	qokchdy	qokchdy	qokchdy	NO	YES	YES	YES
