final_recipe	master_card_id	canonical_form	canonical_value_de	event_support	choice_context	writer_rule
AIIN[SUBTYPE=GENERAL_MEASURE]	MC039	aiin	Sollmaß	20	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OL[SUBTYPE=PLAIN_CONTINUATION]	MC153	cheol	weiter	19	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
Y	MC123	chey	dies	18	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
E_GRADE+DY+SHED[GRADE=E_SHORT]	MC128	cheedy	kurz absetzen; Schluss	12	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
Y+CHED_TRANSFER[SUBTYPE=SHORT_TRANSFER_FORM]	MC074	chdy	überführen	11	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AL[SUBTYPE=TARGET_ADDRESS]	MC154	al	dorthin	10	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+E_GRADE+DY[GRADE=EE_LONG]	MC082	qokeedy	lange einwirken; Schluss	10	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+Y[SUBTYPE=SET_CURRENT_ITEM]	MC026	choky	einsetzen	10	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+AIIN	MC120	okaiin	bemessen	9	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
L+CHED_TRANSFER[LICENSED_CLOSE=YES]	MC155	lchedy	abführen; Schluss	8	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+E_GRADE+DY[GRADE=E_SHORT]	MC083	qokedy	kurz einwirken; Schluss	8	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+AIN	MC017	okain	Anteil zugeben	7	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+E_GRADE+Y[GRADE=EE_LONG]	MC002	okeey	LAENGER_SETZEN_ODER_HALTEN	7	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OR	MC080	chor	Ansatz	7	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
Y+CTH	MC161	checthy	bereit	7	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+AL	MC040	okal	dorthin einsetzen	6	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AR[SUBTYPE=SOURCE_ORIGIN]	MC055	char	davon	5	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
CHED_TRANSFER[LICENSED_CLOSE=YES]	MC025	dchedy	überführen; Schluss	4	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
CHO_INPUT	MC034	cho	EINGABE_ODER_BEDINGUNG	4	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
Y+CKH	MC035	chckhy	durchleiten	4	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AIN[SUBTYPE=GENERAL_PORTION]	MC105	chkain	Portion	3	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
CKHE[LICENSED_CLOSE=YES]	MC143	shckhedy	durchlassen; Schluss	3	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
E_GRADE+SOLK[LICENSED_CLOSE=YES]	MC045	olkeedy	lange sammeln; Schluss	3	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
E_GRADE+Y+CHK[GRADE=E_SHORT]	MC147	cheky	kurz wärmen	3	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+DY+CHED_TRANSFER[SUBTYPE=NEW_ITEM_TRANSFER]	MC088	qokchdy	neuen Posten einsetzen; Schluss	3	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+Y[SUBTYPE=SET_AND_CONTINUE_ITEM]	MC103	chokchy	den laufenden Posten einsetzen und weiterbearbeiten	3	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OL+DY+CHED_TRANSFER	MC028	olchedy	weiterführen; Schluss	3	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OT+AIIN	MC060	otaiin	Folgemaß	3	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OT+AL	MC093	otal	danach dorthin	3	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AL+SHED	MC113	shedal	am Ziel absetzen	2	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
DY+LSH	MC038	lshedy	Waschgang; Schluss	2	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
D_PREVIOUS	MC142	dchol	vom vorigen Arbeitsgang nehmen	2	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
E_GRADE+Y+CHK[GRADE=EE_LONG][SUBTYPE=GENERAL_LONG_ADJUSTMENT]	MC032	cheeky	länger bearbeiten	2	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
E_GRADE+Y+CTH[GRADE=E_SHORT][SUBTYPE=LOCAL_CTH_ALLOGRAPH][OWNER=VISIBLE_BOUNDED_STATION]	MC073	qcthey	kurz vorbereiten	2	OWNER=VISIBLE_BOUNDED_STATION	WRITE_SHORT_STATION_CARD
IIN[SUBTYPE=WORKING_STAGE]	MC033	oiiin	Arbeitsstufe	2	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
L+DY	MC004	ldy	abziehen; Schluss	2	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+DY+CHED_TRANSFER[SUBTYPE=PREVIOUS_ITEM_TRANSFER]	MC005	okchedy	vorigen Posten überführen; Schluss	2	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+E_GRADE+Y[GRADE=E_SHORT]	MC007	okey	KURZ_SETZEN	2	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OL+AIN	MC097	olkain	weiterer Anteil	2	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OL+DY	MC019	oldy	fertig	2	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OL+OR	MC157	cholor	derselbe Ansatz	2	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OT+DY+CHED_TRANSFER[SUBTYPE=LOCAL_OT_TRANSFER_ALLOGRAPH][DOCUMENT=MAIN_OPERATING_RECORD]	MC057	otchedy	Folgetransfer; Schluss	2	DOCUMENT=MAIN_OPERATING_RECORD	WRITE_EXPANDED_CHED_FORM
OT+E_GRADE+DY[GRADE=EE_LONG]	MC173	qoteedy	lange Folgestufe; Schluss	2	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OT+E_GRADE+DY[GRADE=E_SHORT]	MC135	otedy	Kurzfolge; Schluss	2	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OT+E_GRADE+Y[GRADE=EE_LONG]	MC063	oteey	Langfolge	2	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OT+OR	MC013	otchor	Folgeansatz	2	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OT+Y[SUBTYPE=NEXT_ITEM]	MC171	otchey	das nächste	2	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
TY	MC086	chety	Teil	2	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AIIN+CHO_INPUT	MC087	chodaiin	Zugabemaß	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AIIN+CTH	MC169	cthaiin	die Sollvorbereitung setzen	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AIIN+SHFY_DURATION	MC111	shfydaiin	eine vorgeschriebene Stehzeit einhalten	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AIIN+SOLK	MC036	solkaiin	Sollsammlung	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AIIN[SUBTYPE=EXTRACT_PORTION_MEASURE]	MC170	ykaiin	Sollportion	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AIIN[SUBTYPE=SETTLING_MEASURE]	MC144	chldaiin	Sollabsetzung	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AIN+CHED_TRANSFER	MC145	chedain	Anteilstransfer	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AIN[SUBTYPE=FIRST_PORTION]	MC047	ykain	erste Portion	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AIN[SUBTYPE=PREPARATION_SHARE]	MC072	orain	Bereitungsanteil	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AIR	MC116	schedair	Weiterlauf	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AIR+CH_POUR	MC014	chair	laufendes Medium zugießen	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AIR+K_BINDER	MC023	kair	Beckenlauf	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AL+CHED_TRANSFER	MC001	chdal	Zieltransfer	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AL+CKH	MC022	chckhal	Zielpassage	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AL+DY	MC079	daldy	Zielschluss	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AL+DY+CHED_TRANSFER	MC031	dalchdy	Zieltransfer; Schluss	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AL+E_GRADE+CKH[GRADE=E_SHORT]	MC058	sheckhal	Kurze Zielpassage	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AL+E_GRADE[GRADE=E_SHORT]	MC102	rsheal	Kurzhalt am Ziel	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AL+L	MC101	ldalor	Endziel	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AL+L+CHED_TRANSFER	MC051	lchedal	Zielabführung	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AL+OR	MC146	chealror	Zielbereitung	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AL+P+CHED_TRANSFER	MC126	pchedal	Zielzuführung	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AL+Y[SUBTYPE=END_TARGET]	MC046	raly	Endposten	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AL+Y[SUBTYPE=INTERMEDIATE_TARGET]	MC078	olsaly	Zwischenziel	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AL[SUBTYPE=TARGET_MARK]	MC056	ral	Zielmarke	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AN	MC148	ykan	zweite Portion	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AR+CHED_TRANSFER	MC042	cheedar	Quelltransfer	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AR+L	MC029	lar	Quellabzug	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AR+L+CHED_TRANSFER	MC011	lchedar	Quellabführung	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AR+Y	MC009	chary	Quellposten	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
AR[SUBTYPE=SOURCE_OUTFLOW]	MC089	skar	Quellausguss	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
CHEO	MC085	cheoar	Auszug aus der Quelle	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
DY+CHED_TRANSFER	MC139	dchdy	Transfer; Schluss	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
DY+O_WITHDRAW	MC100	ody	ZURUECKNEHMEN__SCHLUSS	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
E_GRADE+DY+CHK[GRADE=EE_LONG]	MC110	chkeedy	Langwärmen; Schluss	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
E_GRADE+DY+SHED[GRADE=EE_LONG]	MC003	sheedy	Langabsetzen; Schluss	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
E_GRADE+TY	MC094	cheeety	Vollteil	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
E_GRADE+Y	MC095	sheey	Langhalt	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
