residual_locus_mode	events	pages	records	loci	card_numbers	surface_choices	copy_rule_de
RR01	1	f10r	H1	f10r.2	PROC008	oky	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR02	1	f10r	H1	f10r.5	PROC011	qokchy	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR03	3	f10r	H2	f10r.6	PROC019 PROC009	dy taiin shy	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR04	2	f10r	H2	f10r.8	PROC020 PROC022	qotchor cholor	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR05	2	f10r	H2	f10r.9	PROC016 PROC019	shor dy	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR06	1	f11r	H3	f11r.4	PROC019	dy	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR07	1	f11r	H3	f11r.7	PROC019	dy	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR08	1	f55v	H4	f55v.5	PROC009	chaiin	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR09	3	f55v	H4	f55v.11	PROC009 PROC048 PROC019	aiin okal y	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR10	1	f56r	H5	f56r.8	PROC034	schol	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR11	1	f56r	H5	f56r.18	PROC011	chokchy	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR12	4	f81v	B1	f81v.2	PROC038 PROC048 PROC003 PROC055	okaiin okal sar al	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR13	1	f81v	B1	f81v.7	PROC013	qol	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR14	1	f81v	B1	f81v.17	PROC075	shckhy	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR15	2	f81v	B1	f81v.21	PROC085 PROC013	qokey qol	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR16	4	f81v	B1	f81v.24	PROC092 PROC013 PROC078 PROC055	okeey qol cheedy sal	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR17	2	f81v	B1	f81v.27	PROC078 PROC055	tedy chal	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR18	2	f82r	B2	f82r.2	PROC076 PROC019	dchedy dy	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR19	1	f82r	B2	f82r.7	PROC112	sotaiin	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR20	1	f82r	B2	f82r.19	PROC080	okain	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR21	2	f82r	B2	f82r.26	PROC055 PROC009	cheal aiin	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR22	1	f83r	B3	f83r.6	PROC079	olchedy	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR23	3	f83r	B3	f83r.11	PROC016 PROC069 PROC117	sor chkain shcthey	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR24	3	f83r	B3	f83r.14	PROC091 PROC014 PROC019	qokchedy shcthy sy	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR25	3	f83r	B3	f83r.15	PROC055 PROC014 PROC145	tal shcthy qotchedy	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR26	1	f83r	B3	f83r.16	PROC076	tchedy	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR27	2	f83r	B3	f83r.20	PROC098 PROC009	solkeedy saiin	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR28	2	f83r	B3	f83r.24	PROC097 PROC004	soiiin chety	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR29	1	f83r	B4	f83r.25	PROC131	otal	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR30	1	f83r	B4	f83r.26	PROC013	tol	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR31	1	f83r	B4	f83r.35	PROC042	chdy	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR32	1	f83r	B4	f83r.41	PROC070	qolkain	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR33	2	f83r	B5	f83r.48	PROC013 PROC009	cheol aiin	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
RR34	1	f83r	B6	f83r.54	PROC009	daiin	Diesen Modus einmal am Locusanfang aus dem Meisterexemplar laden und innerhalb des gebundenen Pakets beibehalten.
