record	page	locus_position	events	bare	q	s	ch	d	che	t	sh	c	y	observed_priority_de
H1	f10r	FIRST	2	0	1	0	0	1	0	0	0	0	0	d > q
H1	f10r	MIDDLE	10	5	1	0	3	1	0	0	0	0	0	BARE > ch > d > q
H1	f10r	LAST	2	2	0	0	0	0	0	0	0	0	0	BARE
H2	f10r	FIRST	3	2	1	0	0	0	0	0	0	0	0	BARE > q
H2	f10r	MIDDLE	18	4	1	0	8	3	0	1	1	0	0	ch > BARE > d > q > t > sh
H2	f10r	LAST	3	1	0	0	0	1	0	0	1	0	0	sh > d > BARE
H3	f11r	FIRST	3	1	1	0	0	1	0	0	0	0	0	BARE > d > q
H3	f11r	MIDDLE	11	8	0	0	1	1	0	0	0	1	0	BARE > c > ch > d
H3	f11r	LAST	3	1	0	0	0	2	0	0	0	0	0	d > BARE
H4	f55v	FIRST	2	1	1	0	0	0	0	0	0	0	0	q > BARE
H4	f55v	MIDDLE	14	12	0	0	1	1	0	0	0	0	0	BARE > ch > d
H4	f55v	LAST	2	2	0	0	0	0	0	0	0	0	0	BARE
H5	f56r	FIRST	7	3	0	3	0	0	0	0	0	1	0	s > BARE > c
H5	f56r	MIDDLE	13	5	0	0	4	0	0	0	0	4	0	BARE > c > ch
H5	f56r	LAST	7	2	1	1	0	3	0	0	0	0	0	d > BARE > q > s
B1	f81v	FIRST	7	2	2	1	0	1	0	0	0	0	1	q > BARE > s > y > d
B1	f81v	MIDDLE	52	30	10	3	2	4	1	1	1	0	0	BARE > q > d > s > ch > sh > che > t
B1	f81v	LAST	7	3	2	0	1	1	0	0	0	0	0	BARE > q > d > ch
B2	f82r	FIRST	8	3	2	0	0	2	0	1	0	0	0	BARE > d > q > t
B2	f82r	MIDDLE	46	18	18	3	2	3	2	0	0	0	0	q > BARE > d > s > ch > che
B2	f82r	LAST	8	6	2	0	0	0	0	0	0	0	0	BARE > q
B3	f83r	FIRST	10	2	1	6	0	0	0	1	0	0	0	s > BARE > q > t
B3	f83r	MIDDLE	66	25	22	1	4	4	6	1	3	0	0	BARE > q > che > d > ch > sh > t > s
B3	f83r	LAST	10	4	1	2	1	1	1	0	0	0	0	BARE > s > d > q > ch > che
B4	f83r	FIRST	10	2	2	5	0	1	0	0	0	0	0	s > q > BARE > d
B4	f83r	MIDDLE	27	15	10	0	0	0	1	1	0	0	0	BARE > q > t > che
B4	f83r	LAST	10	7	1	0	0	2	0	0	0	0	0	BARE > d > q
B5	f83r	FIRST	3	1	0	1	0	1	0	0	0	0	0	BARE > d > s
B5	f83r	MIDDLE	5	3	1	0	0	0	1	0	0	0	0	BARE > q > che
B5	f83r	LAST	3	3	0	0	0	0	0	0	0	0	0	BARE
B6	f83r	FIRST	2	0	0	1	0	1	0	0	0	0	0	s > d
B6	f83r	MIDDLE	5	2	1	0	0	1	1	0	0	0	0	BARE > q > d > che
B6	f83r	LAST	2	2	0	0	0	0	0	0	0	0	0	BARE
