stratum_id	view_id	offset	section	language	hand	post_mask_length_bin	eligible_paragraphs	rotation_step_mod_n	moved_membership_sets	identity_membership_sets	empty_membership_sets_before	empty_membership_sets_after	target_memberships_before	target_memberships_after	deterministic_sort	rotation_rule
RAW_PAIRED:O01:S001	RAW_PAIRED	1	B	B	2	3	3	1	3	0	1	1	5	5	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S002	RAW_PAIRED	1	B	B	2	4	19	1	17	2	0	0	34	34	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S003	RAW_PAIRED	1	B	B	2	5	27	1	25	2	1	1	53	53	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S004	RAW_PAIRED	1	B	B	2	6	17	1	15	2	1	1	37	37	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S005	RAW_PAIRED	1	B	B	2	7	1	0	0	1	0	0	1	1	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S006	RAW_PAIRED	1	C	B	2	4	5	1	4	1	3	3	2	2	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S007	RAW_PAIRED	1	C	B	2	5	4	1	0	4	4	4	0	0	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S008	RAW_PAIRED	1	C	B	2	6	1	0	0	1	1	1	0	0	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S009	RAW_PAIRED	1	H	A	1	3	4	1	4	0	1	1	4	4	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S010	RAW_PAIRED	1	H	A	1	4	60	1	43	17	28	28	40	40	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S011	RAW_PAIRED	1	H	A	1	5	84	1	42	42	57	57	41	41	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S012	RAW_PAIRED	1	H	A	1	6	18	1	14	4	9	9	16	16	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S013	RAW_PAIRED	1	H	B	2	4	7	1	6	1	2	2	9	9	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S014	RAW_PAIRED	1	H	B	2	5	26	1	20	6	9	9	29	29	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S015	RAW_PAIRED	1	H	B	2	6	6	1	5	1	3	3	7	7	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S016	RAW_PAIRED	1	H	B	3	4	7	1	5	2	2	2	6	6	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S017	RAW_PAIRED	1	H	B	3	5	3	1	3	0	0	0	4	4	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S018	RAW_PAIRED	1	H	B	5	4	2	1	2	0	0	0	3	3	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S019	RAW_PAIRED	1	H	B	5	5	6	1	5	1	1	1	9	9	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
RAW_PAIRED:O01:S020	RAW_PAIRED	1	H	B	5	6	1	0	0	1	0	0	2	2	page_lexicographic|paragraph_start_line_numeric|paragraph_id	dest_i<-source_(i-k_mod_n)
