pair_id	view_id	marker_surface	marker_class	source_line_initial_events	strict_paragraph_events	common_masked_line_events	common_surviving_line_events	eligible_exclusive_pair_events	positive_paragraphs_with_marker	negative_paragraphs_with_marker	eligible_paragraphs_with_marker	eligible_folios_with_marker	selection_credit	semantic_credit	german_renderer_credit
G807-P01	RAW_PAIRED	pchor	HIGH_LINE_INITIAL_PURITY_WHOLE	7	7	0	7	4	1	3	4	4	0	0	0
G807-P01	RAW_PAIRED	ychor	HIGH_LINE_INITIAL_PURITY_WHOLE	13	13	4	9	2	1	1	2	2	0	0	0
G807-P01	RAW_PAIRED	polaiin	HIGH_LINE_INITIAL_PURITY_WHOLE	7	7	2	5	2	1	1	2	1	0	0	0
G807-P01	RAW_PAIRED	pol	HIGH_LINE_INITIAL_PURITY_WHOLE	11	11	5	6	2	1	1	2	2	0	0	0
G807-P01	RAW_PAIRED	ycheol	HIGH_LINE_INITIAL_PURITY_WHOLE	8	8	3	5	2	1	1	2	2	0	0	0
G807-P01	RAW_PAIRED	ychol	HIGH_LINE_INITIAL_PURITY_WHOLE	8	8	2	6	2	1	1	2	2	0	0	0
G807-P01	RAW_PAIRED	dcheol	HIGH_LINE_INITIAL_PURITY_WHOLE	5	5	3	2	0	0	0	0	0	0	0	0
G807-P01	RAW_PAIRED	paiin	HIGH_LINE_INITIAL_PURITY_WHOLE	5	5	1	4	1	0	1	1	1	0	0	0
G807-P01	RAW_PAIRED	qokchor	HIGH_LINE_INITIAL_PURITY_WHOLE	5	5	1	4	0	0	0	0	0	0	0	0
G807-P01	RAW_PAIRED	tshol	HIGH_LINE_INITIAL_PURITY_WHOLE	5	5	0	5	1	0	1	1	1	0	0	0
G807-P01	RAW_PAIRED	ycheor	HIGH_LINE_INITIAL_PURITY_WHOLE	5	5	0	5	0	0	0	0	0	0	0	0
G807-P01	RAW_PAIRED	ykar	LOW_PURITY_POSITIONAL_CONTROL	5	5	2	3	1	0	1	1	1	0	0	0
G807-P01	RAW_PAIRED	yteedy	LOW_PURITY_POSITIONAL_CONTROL	5	5	1	4	0	0	0	0	0	0	0	0
G807-P01	RAW_PAIRED	qotor	LOW_PURITY_POSITIONAL_CONTROL	11	11	0	11	0	0	0	0	0	0	0	0
G807-P01	RAW_PAIRED	dchey	LOW_PURITY_POSITIONAL_CONTROL	9	9	1	8	2	1	1	2	2	0	0	0
G807-P01	STABLE_PAIRED	pchor	HIGH_LINE_INITIAL_PURITY_WHOLE	7	7	0	7	3	1	2	3	3	0	0	0
G807-P01	STABLE_PAIRED	ychor	HIGH_LINE_INITIAL_PURITY_WHOLE	13	13	4	9	2	1	1	2	2	0	0	0
G807-P01	STABLE_PAIRED	polaiin	HIGH_LINE_INITIAL_PURITY_WHOLE	7	7	2	5	0	0	0	0	0	0	0	0
G807-P01	STABLE_PAIRED	pol	HIGH_LINE_INITIAL_PURITY_WHOLE	11	11	5	6	2	1	1	2	2	0	0	0
G807-P01	STABLE_PAIRED	ycheol	HIGH_LINE_INITIAL_PURITY_WHOLE	8	8	3	5	2	1	1	2	2	0	0	0
G807-P01	STABLE_PAIRED	ychol	HIGH_LINE_INITIAL_PURITY_WHOLE	8	8	2	6	2	1	1	2	2	0	0	0
