occurrence_id	surface	page	physical_folio	locus	token_index	strict_paragraph_id	in_strict_paragraph	legacy_rank_stable_all_three	it2a_alignment_status	it2a_aligned_token_ordinal	it2a_lcs_length	rf1b_alignment_status	rf1b_aligned_token_ordinal	rf1b_lcs_length	all_three_unique_forced_exact_alignment	audit_only_membership	primary_membership_replacement	semantic_credit
GDT800-O0001	qokeol	f100r	f100r	f100r.14	6	G807-P0371	1	1	UNIQUE_FORCED_EXACT	6	9	UNIQUE_FORCED_EXACT	7	9	1	1	0	0
GDT800-O0002	otal	f100r	f100r	f100r.14	9	G807-P0371	1	1	UNIQUE_FORCED_EXACT	9	9	UNIQUE_FORCED_EXACT	10	9	1	1	0	0
GDT800-O0015	cheol	f100r	f100r	f100r.24	9	G807-P0372	1	1	UNIQUE_FORCED_EXACT	9	7	UNIQUE_FORCED_EXACT	8	7	1	1	0	0
GDT800-O0018	cheol	f100r	f100r	f100r.25	8	G807-P0372	1	1	UNIQUE_FORCED_EXACT	8	10	UNIQUE_FORCED_EXACT	8	10	1	1	0	0
GDT800-O0021	qokeol	f100r	f100r	f100r.26	7	G807-P0372	1	0	UNIQUE_FORCED_EXACT	7	10	NO_EXACT_ALIGNMENT	NA	8	0	1	0	0
GDT800-O0025	cheol	f100r	f100r	f100r.27	2	G807-P0372	1	1	UNIQUE_FORCED_EXACT	2	5	UNIQUE_FORCED_EXACT	2	5	1	1	0	0
GDT800-O0027	ol	f100v	f100v	f100v.15	4	G807-P0373	1	0	UNIQUE_FORCED_EXACT	4	9	NO_EXACT_ALIGNMENT	NA	8	0	1	0	0
GDT800-O0028	cheol	f100v	f100v	f100v.15	5	G807-P0373	1	1	UNIQUE_FORCED_EXACT	5	9	UNIQUE_FORCED_EXACT	5	8	1	1	0	0
GDT800-O0030	qokeol	f100v	f100v	f100v.15	9	G807-P0373	1	1	UNIQUE_FORCED_EXACT	9	9	UNIQUE_FORCED_EXACT	9	8	1	1	0	0
GDT800-O0035	qokeol	f100v	f100v	f100v.17	3	G807-P0373	1	1	UNIQUE_FORCED_EXACT	3	7	UNIQUE_FORCED_EXACT	3	7	1	1	0	0
GDT800-O0038	ol	f100v	f100v	f100v.18	3	G807-P0373	1	0	NO_EXACT_ALIGNMENT	NA	8	UNIQUE_FORCED_EXACT	3	9	0	1	0	0
GDT800-O0039	qokeol	f100v	f100v	f100v.18	10	G807-P0373	1	1	UNIQUE_FORCED_EXACT	9	8	UNIQUE_FORCED_EXACT	10	9	1	1	0	0
