fold_id	context	pair_id	view_id	held_physical_folio	train_paragraphs	train_positive_paragraphs	train_negative_paragraphs	test_paragraphs	test_positive_paragraphs	test_negative_paragraphs	training_vocabulary_types	training_positive_vocabulary_tokens	training_negative_vocabulary_tokens	both_training_classes_present	empty_vocabulary_neutral_tie_policy	fold_scoreable	fold_status
TARGET:G807-P01:RAW_PAIRED:f100r	TARGET	G807-P01	RAW_PAIRED	f100r	136	72	64	2	1	1	590	2471	1805	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f100v	TARGET	G807-P01	RAW_PAIRED	f100v	137	72	65	1	1	0	590	2465	1819	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f102v	TARGET	G807-P01	RAW_PAIRED	f102v	135	70	65	3	3	0	585	2431	1815	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f103r	TARGET	G807-P01	RAW_PAIRED	f103r	135	71	64	3	2	1	590	2462	1805	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f103v	TARGET	G807-P01	RAW_PAIRED	f103v	136	72	64	2	1	1	585	2472	1791	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f104r	TARGET	G807-P01	RAW_PAIRED	f104r	135	71	64	3	2	1	587	2445	1804	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f104v	TARGET	G807-P01	RAW_PAIRED	f104v	137	72	65	1	1	0	591	2470	1820	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f105v	TARGET	G807-P01	RAW_PAIRED	f105v	136	73	63	2	0	2	583	2483	1766	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f106r	TARGET	G807-P01	RAW_PAIRED	f106r	135	70	65	3	3	0	584	2437	1814	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f106v	TARGET	G807-P01	RAW_PAIRED	f106v	137	73	64	1	0	1	592	2487	1801	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f107r	TARGET	G807-P01	RAW_PAIRED	f107r	135	73	62	3	0	3	585	2482	1770	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f107v	TARGET	G807-P01	RAW_PAIRED	f107v	136	72	64	2	1	1	591	2474	1794	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f108r	TARGET	G807-P01	RAW_PAIRED	f108r	133	71	62	5	2	3	583	2452	1759	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f108v	TARGET	G807-P01	RAW_PAIRED	f108v	134	70	64	4	3	1	573	2257	1808	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f111r	TARGET	G807-P01	RAW_PAIRED	f111r	137	72	65	1	1	0	571	2242	1812	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f112r	TARGET	G807-P01	RAW_PAIRED	f112r	137	73	64	1	0	1	588	2485	1781	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f112v	TARGET	G807-P01	RAW_PAIRED	f112v	135	72	63	3	1	2	583	2475	1768	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f113r	TARGET	G807-P01	RAW_PAIRED	f113r	135	72	63	3	1	2	586	2460	1772	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f113v	TARGET	G807-P01	RAW_PAIRED	f113v	134	70	64	4	3	1	583	2419	1798	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f114r	TARGET	G807-P01	RAW_PAIRED	f114r	135	72	63	3	1	2	586	2463	1784	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f114v	TARGET	G807-P01	RAW_PAIRED	f114v	136	72	64	2	1	1	586	2470	1789	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f115r	TARGET	G807-P01	RAW_PAIRED	f115r	136	71	65	2	2	0	586	2439	1820	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f115v	TARGET	G807-P01	RAW_PAIRED	f115v	137	73	64	1	0	1	590	2487	1810	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f116r	TARGET	G807-P01	RAW_PAIRED	f116r	137	73	64	1	0	1	592	2487	1797	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f13v	TARGET	G807-P01	RAW_PAIRED	f13v	137	73	64	1	0	1	591	2486	1806	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f20v	TARGET	G807-P01	RAW_PAIRED	f20v	137	72	65	1	1	0	590	2467	1819	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f24v	TARGET	G807-P01	RAW_PAIRED	f24v	137	72	65	1	1	0	589	2463	1818	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f26r	TARGET	G807-P01	RAW_PAIRED	f26r	137	73	64	1	0	1	590	2487	1803	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f27r	TARGET	G807-P01	RAW_PAIRED	f27r	137	73	64	1	0	1	587	2483	1789	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f2v	TARGET	G807-P01	RAW_PAIRED	f2v	137	72	65	1	1	0	592	2466	1820	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f31r	TARGET	G807-P01	RAW_PAIRED	f31r	137	72	65	1	1	0	591	2471	1819	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f33r	TARGET	G807-P01	RAW_PAIRED	f33r	137	73	64	1	0	1	589	2485	1782	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f33v	TARGET	G807-P01	RAW_PAIRED	f33v	136	72	64	2	1	1	588	2446	1777	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f34v	TARGET	G807-P01	RAW_PAIRED	f34v	137	72	65	1	1	0	588	2445	1819	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f35v	TARGET	G807-P01	RAW_PAIRED	f35v	137	72	65	1	1	0	583	2424	1815	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f37r	TARGET	G807-P01	RAW_PAIRED	f37r	137	73	64	1	0	1	589	2485	1802	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f39v	TARGET	G807-P01	RAW_PAIRED	f39v	137	73	64	1	0	1	588	2485	1777	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f3r	TARGET	G807-P01	RAW_PAIRED	f3r	137	72	65	1	1	0	589	2478	1819	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f41r	TARGET	G807-P01	RAW_PAIRED	f41r	137	73	64	1	0	1	590	2486	1796	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f44r	TARGET	G807-P01	RAW_PAIRED	f44r	137	73	64	1	0	1	590	2485	1807	1	0	1	SCOREABLE
TARGET:G807-P01:RAW_PAIRED:f44v	TARGET	G807-P01	RAW_PAIRED	f44v	135	71	64	3	2	1	587	2450	1799	1	0	1	SCOREABLE
