surface	membership_mode	gdt805_external_occurrences	selected_occurrences	selected_strict_occurrences	selected_outside_occurrences	strict_paragraph_memberships	strict_folios	post_mask_eligible_paragraphs	post_mask_eligible_folios	paragraph_vote_per_surface	common_seven_target_line_mask	primary_membership	audit_only	semantic_credit
cheol	RAW	141	141	141	0	104	70	86	64	1	1	1	0	0
cheol	GDT805_RANK_STABLE	141	117	117	0	90	64	78	58	1	1	1	0	0
cheol	UNIQUE_FORCED_LCS_AUDIT	141	116	116	0	90	64	78	58	1	1	0	1	0
otal	RAW	117	117	115	2	94	54	78	51	1	1	1	0	0
otal	GDT805_RANK_STABLE	117	107	105	2	86	50	71	48	1	1	1	0	0
otal	UNIQUE_FORCED_LCS_AUDIT	117	106	104	2	85	49	70	47	1	1	0	1	0
okal	RAW	122	122	121	1	95	62	82	57	1	1	1	0	0
okal	GDT805_RANK_STABLE	122	101	100	1	83	57	73	52	1	1	1	0	0
okal	UNIQUE_FORCED_LCS_AUDIT	122	100	99	1	82	57	73	52	1	1	0	1	0
ol	RAW	462	462	461	1	253	104	218	104	1	1	1	0	0
ol	GDT805_RANK_STABLE	462	376	375	1	212	94	186	93	1	1	1	0	0
ol	UNIQUE_FORCED_LCS_AUDIT	462	365	364	1	212	94	186	93	1	1	0	1	0
qokeol	RAW	38	38	38	0	33	25	31	23	1	1	1	0	0
qokeol	GDT805_RANK_STABLE	38	33	33	0	28	22	27	21	1	1	1	0	0
qokeol	UNIQUE_FORCED_LCS_AUDIT	38	33	33	0	28	22	27	21	1	1	0	1	0
qokol	RAW	87	87	87	0	68	51	63	49	1	1	1	0	0
qokol	GDT805_RANK_STABLE	87	81	81	0	62	48	58	46	1	1	1	0	0
qokol	UNIQUE_FORCED_LCS_AUDIT	87	81	81	0	62	48	58	46	1	1	0	1	0
qotal	RAW	56	56	56	0	49	34	46	33	1	1	1	0	0
qotal	GDT805_RANK_STABLE	56	53	53	0	47	33	44	32	1	1	1	0	0
qotal	UNIQUE_FORCED_LCS_AUDIT	56	52	52	0	46	33	43	32	1	1	0	1	0
