pseudo_pair_id	target_pair_id	deck_half	positive_target_surface	negative_target_surface	positive_control_rank	negative_control_rank_requested	negative_control_rank_used	collision_advances	positive_control_surface	negative_control_surface	positive_individual_covariate_distance	negative_individual_covariate_distance	pool_variant	membership_universe	line_mask	added_feature_quarantine	view_id	semantic_credit	surface_pair_key	surface_pair_multiplicity	surface_pair_duplicate_ordinal	surface_pair_first_id	unique_surface_pair_first_occurrence	positive_gdt800_l_occurrences	negative_gdt800_l_occurrences	positive_guarded_all_token_occurrences	negative_guarded_all_token_occurrences	positive_guarded_parity	negative_guarded_parity
G807-P01-K01	G807-P01	ALIGNED_RANK	cheol	otal	1	1	1	0	shol	qokal	0.865104201592	0.981155263191	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|shol|qokal	shol|qokal	STABLE_PAIRED	0	shol::qokal	1	1	G807-P01-K01	1	163	180	163	180	1	1
G807-P01-K02	G807-P01	ALIGNED_RANK	cheol	otal	2	2	2	0	al	sheol	1.02924636852	1.02215214745	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|al|sheol	al|sheol	STABLE_PAIRED	0	al::sheol	1	1	G807-P01-K02	1	204	90	204	90	1	1
G807-P01-K03	G807-P01	ALIGNED_RANK	cheol	otal	3	3	3	0	sheol	al	1.05835932921	1.0429218946	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|sheol|al	sheol|al	STABLE_PAIRED	0	sheol::al	1	1	G807-P01-K03	1	90	204	90	204	1	1
G807-P01-K04	G807-P01	ALIGNED_RANK	cheol	otal	4	4	4	0	qokal	dol	1.11601819864	1.09019229174	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|qokal|dol	qokal|dol	STABLE_PAIRED	0	qokal::dol	1	1	G807-P01-K04	1	180	76	180	76	1	1
G807-P01-K05	G807-P01	ALIGNED_RANK	cheol	otal	5	5	6	1	dal	shol	1.11769441857	1.51610756652	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|dal|shol	dal|shol	STABLE_PAIRED	0	dal::shol	2	1	G807-P01-K05	1	191	163	191	163	1	1
G807-P01-K06	G807-P01	ALIGNED_RANK	cheol	otal	6	6	6	0	dol	shol	1.47888722421	1.51610756652	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|dol|shol	dol|shol	STABLE_PAIRED	0	dol::shol	1	1	G807-P01-K06	1	76	163	76	163	1	1
G807-P01-K07	G807-P01	ALIGNED_RANK	cheol	otal	7	7	7	0	chol	okol	2.02760704163	1.80385600524	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|chol|okol	chol|okol	STABLE_PAIRED	0	chol::okol	1	1	G807-P01-K07	1	343	53	343	53	1	1
G807-P01-K08	G807-P01	ALIGNED_RANK	cheol	otal	8	8	8	0	okol	sol	2.11955386891	2.12307379771	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|okol|sol	okol|sol	STABLE_PAIRED	0	okol::sol	1	1	G807-P01-K08	1	53	57	53	57	1	1
G807-P01-K09	G807-P01	ALIGNED_RANK	cheol	otal	9	9	9	0	sol	qotol	2.12771829756	2.22161679918	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|sol|qotol	sol|qotol	STABLE_PAIRED	0	sol::qotol	1	1	G807-P01-K09	1	57	43	57	43	1	1
G807-P01-K10	G807-P01	ALIGNED_RANK	cheol	otal	10	10	10	0	qotol	cthol	2.431118131	2.35814969595	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|qotol|cthol	qotol|cthol	STABLE_PAIRED	0	qotol::cthol	1	1	G807-P01-K10	1	43	51	43	51	1	1
