paragraph_id	paragraph_ordinal	page	physical_folio	paragraph_ordinal_on_page	start_locus	end_locus	start_line_number	end_line_number	section	language	hand	source_line_count	source_token_count	common_masked_line_count	common_masked_loci	surviving_line_count	surviving_loci	basis_retained_token_count	basis_nonempty_retained_lines	post_mask_length_bin	basis_eligible_12_tokens_2_lines	exact_feature_token_count	exact_feature_type_count	exact_feature_counts	ed1_feature_token_count	ed1_feature_type_count	ed1_feature_counts	raw_target_memberships	stable_target_memberships	lcs_audit_target_memberships	raw_target_membership_count	stable_target_membership_count	lcs_audit_target_membership_count	semantic_credit
G807-P0001	1	f2r	f2r	1	f2r.1	f2r.7	1	7	H	A	1	7	46	0	NONE	7	f2r.1|f2r.2|f2r.3|f2r.4|f2r.5|f2r.6|f2r.7	46	7	5	1	46	40	aiidy=1|al=1|chaiin=1|chkar=1|chokaiin=1|chol=2|chor=1|chtod=1|chy=1|ckholsy=1|ckhy=1|cphy=1|cthey=1|cthy=2|d=2|daiin=1|daiiny=1|dain=1|dals=1|dan=3|dchol=1|dchy=1|dkol=1|dorchory=1|dy=1|kydainy=1|otchal=1|otochor=1|qotaiin=1|s=1|saiin=1|shodaiin=1|shor=2|sor=1|y=1|ydy=1|ypchaiin=1|ypchol=1|ytchaiin=1|ytoldy=1	43	38	aiidy=1|chaiin=1|chkar=1|chokaiin=1|chor=1|chtod=1|chy=1|ckholsy=1|ckhy=1|cphy=1|cthey=1|cthy=2|d=2|daiin=1|daiiny=1|dain=1|dals=1|dan=3|dchol=1|dchy=1|dkol=1|dorchory=1|dy=1|kydainy=1|otchal=1|otochor=1|qotaiin=1|s=1|saiin=1|shodaiin=1|shor=2|sor=1|y=1|ydy=1|ypchaiin=1|ypchol=1|ytchaiin=1|ytoldy=1	NONE	NONE	NONE	0	0	0	0
G807-P0002	2	f2r	f2r	2	f2r.8	f2r.13	8	13	H	A	1	6	54	0	NONE	6	f2r.8|f2r.9|f2r.10|f2r.11|f2r.12|f2r.13	54	6	5	1	54	48	an=1|chan=1|chcthy=1|chety=1|chey=1|chol=1|cholaiin=1|chor=1|chy=2|chyky=1|ckhor=1|cthey=1|cthor=1|daiildy=1|daiin=2|daiisol=1|dain=1|dal=1|dalor=1|dan=1|dls=1|eaiin=1|fodan=1|keol=1|kol=1|kydain=1|okol=1|olsaiin=1|olsheey=1|qokey=1|qoky=1|qoy=1|s=1|saiin=2|sal=1|shaiin=1|shan=1|sheey=2|sheky=1|sho=2|shol=2|so=1|ychain=1|ykeey=1|ykody=1|yksh=1|yky=1|yor=1	51	45	an=1|chan=1|chcthy=1|chety=1|chey=1|cholaiin=1|chor=1|chy=2|chyky=1|ckhor=1|cthey=1|cthor=1|daiildy=1|daiin=2|daiisol=1|dain=1|dal=1|dalor=1|dan=1|dls=1|eaiin=1|fodan=1|keol=1|kydain=1|olsaiin=1|olsheey=1|qokey=1|qoky=1|qoy=1|s=1|saiin=2|sal=1|shaiin=1|shan=1|sheey=2|sheky=1|sho=2|shol=2|so=1|ychain=1|ykeey=1|ykody=1|yksh=1|yky=1|yor=1	NONE	NONE	NONE	0	0	0	0
G807-P0003	3	f2v	f2v	1	f2v.1	f2v.4	1	4	H	A	1	4	29	0	NONE	4	f2v.1|f2v.2|f2v.3|f2v.4	29	4	4	1	29	25	chcthy=1|cheo=1|cheor=1|chodaiin=1|chodain=1|chody=1|chol=1|cholo=1|chor=3|daiin=2|dair=1|kcho=1|kchy=1|kooiin=1|loeees=1|lshy=1|odain=1|otaiin=1|otchy=1|pchor=1|qotcho=1|qoty=1|sho=2|shol=1|shty=1	26	22	chcthy=1|chodaiin=1|chodain=1|chody=1|cholo=1|chor=3|daiin=2|dair=1|kcho=1|kchy=1|kooiin=1|loeees=1|lshy=1|odain=1|otaiin=1|otchy=1|pchor=1|qotcho=1|qoty=1|sho=2|shol=1|shty=1	NONE	NONE	NONE	0	0	0	0
G807-P0004	4	f2v	f2v	2	f2v.5	f2v.8	5	8	H	A	1	4	32	1	f2v.8	3	f2v.5|f2v.6|f2v.7	27	3	4	1	27	22	chan=1|cheaiin=1|chees=1|chm=1|chokeos=1|chol=3|chor=1|chotchey=1|chr=1|chty=1|chy=1|daiiin=1|daiin=3|dor=2|kchor=1|keol=1|o=1|qoteeey=1|s=1|shey=1|shy=1|tchor=1	23	20	chan=1|cheaiin=1|chees=1|chm=1|chokeos=1|chor=1|chotchey=1|chr=1|chty=1|chy=1|daiiin=1|daiin=3|dor=2|kchor=1|keol=1|qoteeey=1|s=1|shey=1|shy=1|tchor=1	cheol	cheol	cheol	1	1	1	0
G807-P0005	5	f3r	f3r	1	f3r.1	f3r.10	1	10	H	A	1	10	47	2	f3r.5|f3r.9	8	f3r.1|f3r.2|f3r.3|f3r.4|f3r.6|f3r.7|f3r.8|f3r.10	37	8	5	1	34	29	chag=1|cho=1|chol=3|cholcthom=1|chom=1|chor=4|cthol=1|cthom=1|cthy=1|dago=1|daiin=1|daimg=1|dam=1|damo=1|ochor=1|oky=1|otaldam=1|otchol=1|qocheor=1|qodaiin=1|qopal=1|qotcham=1|schey=1|shom=1|tsheos=1|ycheor=1|ychtaiin=1|ydar=1|ysheor=1	30	27	chag=1|cho=1|cholcthom=1|chom=1|chor=4|cthol=1|cthom=1|cthy=1|dago=1|daiin=1|daimg=1|dam=1|damo=1|ochor=1|oky=1|otaldam=1|otchol=1|qocheor=1|qodaiin=1|qotcham=1|schey=1|shom=1|tsheos=1|ycheor=1|ychtaiin=1|ydar=1|ysheor=1	ol|qokol	ol|qokol	ol|qokol	2	2	2	0
G807-P0006	6	f3r	f3r	2	f3r.11	f3r.14	11	14	H	A	1	4	20	0	NONE	4	f3r.11|f3r.12|f3r.13|f3r.14	20	4	4	1	20	18	cheody=1|chor=1|octhy=1|okadaiin=1|okeey=1|pcheol=1|qo=1|qodair=1|qokchor=1|qokeey=2|qokody=1|qokshey=1|qot=1|schodam=1|sheol=1|shey=2|shol=1|sols=1	18	16	cheody=1|chor=1|octhy=1|okadaiin=1|okeey=1|qo=1|qodair=1|qokchor=1|qokeey=2|qokody=1|qokshey=1|qot=1|schodam=1|shey=2|shol=1|sols=1	NONE	NONE	NONE	0	0	0	0
G807-P0007	7	f3r	f3r	3	f3r.15	f3r.17	15	17	H	A	1	3	22	1	f3r.16	2	f3r.15|f3r.17	13	2	3	1	13	13	chom=1|chor=1|okeom=1|olchsy=1|oporar=1|or=1|otchom=1|qokeeodal=1|sam=1|shor=1|soeom=1|tsheoarom=1|yteody=1	12	12	chom=1|chor=1|okeom=1|olchsy=1|oporar=1|otchom=1|qokeeodal=1|sam=1|shor=1|soeom=1|tsheoarom=1|yteody=1	cheol|qokol	cheol	cheol	2	1	1	0
G807-P0008	8	f3r	f3r	4	f3r.18	f3r.20	18	20	H	A	1	3	25	1	f3r.19	2	f3r.18|f3r.20	16	2	4	1	16	15	aiin=1|am=1|chol=2|odaiin=1|okol=1|opchol=1|or=1|otolom=1|pcheoldom=1|qopchor=1|qopol=1|qoty=1|s=1|shodaiin=1|ycheor=1	11	11	aiin=1|am=1|odaiin=1|opchol=1|otolom=1|pcheoldom=1|qopchor=1|qoty=1|s=1|shodaiin=1|ycheor=1	ol	ol	ol	1	1	1	0
G807-P0009	9	f3v	f3v	1	f3v.1	f3v.6	1	6	H	A	1	6	42	1	f3v.4	5	f3v.1|f3v.2|f3v.3|f3v.5|f3v.6	33	5	5	1	33	32	char=1|cheeykam=1|cheor=1|cho=1|chodaly=1|chol=1|chom=2|ckha=1|ckhol=1|cphor=1|daiidy=1|dar=1|dol=1|koaiin=1|kor=1|okai=1|okeeor=1|okom=1|okor=1|oly=1|olytol=1|or=1|otchal=1|qoteeol=1|qotoy=1|r=1|s=1|seees=1|sha=1|shol=1|ychear=1|ykoaiin=1	27	26	char=1|cheeykam=1|cho=1|chodaly=1|chom=2|ckha=1|ckhol=1|cphor=1|daiidy=1|dar=1|koaiin=1|kor=1|okeeor=1|okom=1|okor=1|olytol=1|otchal=1|qoteeol=1|qotoy=1|r=1|s=1|seees=1|sha=1|shol=1|ychear=1|ykoaiin=1	okal	okal	okal	1	1	1	0
G807-P0010	10	f3v	f3v	2	f3v.7	f3v.14	7	14	H	A	1	8	43	0	NONE	8	f3v.7|f3v.8|f3v.9|f3v.10|f3v.11|f3v.12|f3v.13|f3v.14	43	8	5	1	43	38	cfham=1|chckhol=1|chky=1|chodaiin=1|chodair=1|chol=1|chom=1|chor=3|ckhy=1|cthal=1|cthodoaly=1|cthy=1|daiim=1|daiin=1|dain=1|kcham=1|kchom=1|keam=1|ochos=1|oka=1|okary=1|okeol=1|osh=1|otcham=1|qokchy=1|qokshol=1|s=2|shar=1|sheam=1|shkaiin=1|sho=1|shockho=1|tchor=3|y=1|ykchy=1|ytcheear=1|ytchy=1|yty=1	40	35	cfham=1|chckhol=1|chky=1|chodaiin=1|chodair=1|chom=1|chor=3|ckhy=1|cthal=1|cthodoaly=1|cthy=1|daiim=1|daiin=1|dain=1|kcham=1|kchom=1|keam=1|ochos=1|okary=1|osh=1|otcham=1|qokchy=1|qokshol=1|s=2|shar=1|sheam=1|shkaiin=1|sho=1|shockho=1|tchor=3|y=1|ykchy=1|ytcheear=1|ytchy=1|yty=1	NONE	NONE	NONE	0	0	0	0
