hypothesis_id	status	claim	independent_evidence	predeclared_falsifier	held_data	result
IL001	VALIDATION_FAILED_NO_HELD_SCORE	literal-root uncertainty may be reduced by fixed line slots, preceding-line context, or remote same-page context after confirmed-form controls	manual transcription order plus confirmed text-internal root/form decomposition	no registered model achieves the frozen material held gain, or the validation power/integrity gate fails	SHA256 page bucket 0 under salt IL001-2026-08-06	UNDERPOWERED_OR_IMPLEMENTATION_FAILURE: accumulating remote-page cache failed planted control; final holdout untouched
IL002	COMPLETE_QUALIFIED_PAGE_COHERENCE	form-matched exact-root overlap may distinguish immediate-line sequencing from remote same-page coherence	manual physical line/page order plus confirmed root/form decomposition; no accumulated cache	neither frozen matched contrast passes validation power or held materiality	untouched SHA256 page bucket 0 under salt IL001-2026-08-06	remote-page material (+0.00974 Jaccard, +13.4%, Holm p=0.00718, IT/RF same sign); adjacency nonmaterial (+0.00225, p=0.324); no gloss or page-topic proof
IL003	VALIDATION_FAILED_NO_DISCOVERY_NO_C_SCORE	independent root partitions may locate page coherence across paragraph, leaf, successive-opening, or quire boundaries	manual paragraph/quire/page metadata plus confirmed text-only roots/forms	no D scale passes gates/discovery or the one selected scale fails sealed C confirmation	SHA256-disjoint root partition C; only D may select one scale	Q cross-quire exact-stratum matching covered 55.2% below frozen 80%; stopped before selection and C similarities
IL004	COMPLETE_FINAL_NONCONFIRMATION	training-page D roots may predict disjoint C-root page signatures on held pages	manual page strata plus text-only cross-root co-occurrence; root-blind form/length decoys	validation power/control failure or held D-to-C margin below frozen materiality	fixed bucket-0 pages; new association invariant despite prior aggregate IL002 exposure	ZL +0.00693 bit/C-root, 51.2% positive, p=0.151, 41/44; below all material thresholds despite positive IT/RF signs
IL005	COMPLETE_ORDER_FREE_AT_RESOLUTION	exact-root page coherence may contain line-ordered recency beyond exact form, position, entry state, and paragraph inventory	manual token/line/paragraph order plus conditional root-label permutations that preserve root-free sequences	validation instrument failure or sealed C-root recurrence below frozen materiality	bucket-1 D roots validate; bucket-0 C roots decide once	neither held ZL scope material: PAGE +0.00208, 54.8%, Holm p=0.492; PARAGRAPH +0.00206, 47.2%, Holm p=0.492; IT-only excess is transcription-sensitive
IL006	COMPLETE_CONFIRMED_STRUCTURED_LINE_ASSEMBLY	adjacent D/C root identities may be non-exchangeable within lines after page vocabulary and exact form/position controls	manual physical adjacency plus a frozen orientation-aware count table and within-page conditional label permutations	validation power/integrity failure or held adjacency residual below frozen materiality	bucket 1 validates; fixed bucket 0 decides once	held ZL +0.03518 bit/edge, 69.4% positive, conservative p=0.000488, 36/44; IT +0.02820 and RF +0.03618 share direction
IL007	STOP_ARCHIVE_OVERLAP_NO_FINAL	one or more exact oriented root pairs may carry transferable conditional adjacency beyond the confirmed aggregate	12 training-only supported pairs plus IL006's page/form-conditioned joint max-z permutation family	validation power/support/family failure, selected pair fails held recurrence, or archive overlap invalidates discovery framing	bucket 1 selected P01; bucket 0 remains unscored	P01 s->aii duplicated prior text-only exact-transition and composition tests, so no novel-pair final was run
IL008	COMPLETE_POWERED_NONCONFIRMATION	adjacent roots may show transcription-shape attraction from copy/modify production or contrastive shape repulsion beyond IL006 controls	seven pair-identity-free shape views under IL006's exact page/form/position/entry conditional null	validation power/integrity failure or no held shape feature meets frozen magnitude, family, page, and alternate-reading gates	bucket 1 validated; fixed bucket 0 scored once	no feature confirmed; ZL edit similarity +0.00497, 63.9% pages, p=0.340 and RF opposite; broad adjacent shape coupling does not explain IL006 at this resolution
IL009	COMPLETE_CONFIRMED_CROSS_STRATUM_ASSEMBLY	IL006 aggregate adjacency affinities may transfer when the target Currier value, section, or hand is wholly excluded from model training	manual metadata boundaries plus three joint family-corrected leave-one-value-out IL006 tables under the same exact page null	validation power/source-exclusion/integrity failure or no held axis passes magnitude, family, page, and alternate-reading gates	bucket 1 validated; fixed bucket 0 scored once	all axes confirmed: held ZL Currier/section/hand +0.03023/+0.02819/+0.03391, family p=0.00196/0.00244/0.000488; IT/RF positive with 100%/94.4% page reuse
IL010	COMPLETE_CONFIRMED_CROSS_CURRIER_DIRECTION	IL009's cross-stratum assembly may contain direction-specific D-C partner information beyond unordered pair affinity and root-side propensity	orientation-aware minus orientation-collapsed source-excluded tables under the exact IL006 page null, joint across Currier/section/hand axes	validation power/source-exclusion/integrity failure or no held directional axis passes magnitude, family, page, and alternate-reading gates	bucket 1 validated; fixed bucket 0 scored once	Currier confirmed at held ZL +0.01725, 80.6%, family p=0.0171 with IT/RF positive; section and hand did not confirm
