locus_row	diagram_id	page	locus	local_namespace	groups	group_serials	common_action_reading_de	revised_groups	memorized_whole_names	orientation	cross_instrument_join
1	A1	f67r2	f67r2.1	A67_RIGHT_CELESTIAL_WHEEL	3	1|2|3	dies + zufuehren + dies; Sternbezug; von dort + Gegenfeld	0	0	UNSPECIFIED	NONE
2	A1	f67r2	f67r2.2	A67_RIGHT_CELESTIAL_WHEEL	3	4|5|6	dies + zufuehren + kurz + Gabe; Arbeitsgang + hinausfuehren; laenger + dies + Schluss	1	0	UNSPECIFIED	NONE
3	A1	f67r2	f67r2.3	A67_RIGHT_CELESTIAL_WHEEL	3	7|8|9	kurz + dies; halten + Sternbezug; ansetzen + von dort	0	0	UNSPECIFIED	NONE
4	A1	f67r2	f67r2.4	A67_RIGHT_CELESTIAL_WHEEL	2	10|11	halten + kurz + zufuehren + dies; dies + zufuehren + Arbeitsgang + Sternbezug	0	0	UNSPECIFIED	NONE
5	A1	f67r2	f67r2.5	A67_RIGHT_CELESTIAL_WHEEL	2	12|13	dies + zufuehren + kurz + Arbeitsgang + dies; dies ansetzen	0	0	UNSPECIFIED	NONE
6	A1	f67r2	f67r2.6	A67_RIGHT_CELESTIAL_WHEEL	1	14	Teiladresse + entnehmen + kurz + eintragen + Nebenadresse + dies	1	0	UNSPECIFIED	NONE
7	A1	f67r2	f67r2.7	A67_RIGHT_CELESTIAL_WHEEL	3	15|16|17	dies + zufuehren + dies; dies kurz zuführen; dies + zufuehren + dies + Sternbezug	0	0	UNSPECIFIED	NONE
8	A1	f67r2	f67r2.8	A67_RIGHT_CELESTIAL_WHEEL	1	18	anheben + umsetzen + von dort	1	0	UNSPECIFIED	NONE
9	A1	f67r2	f67r2.9	A67_RIGHT_CELESTIAL_WHEEL	2	19|20	dies + zufuehren + von dort; dies + zufuehren + Stelle + dies	0	0	UNSPECIFIED	NONE
10	A1	f67r2	f67r2.10	A67_RIGHT_CELESTIAL_WHEEL	3	21|22|23	fuehren + zufuehren + dies; dies zuführen; ansetzen + von dort	0	0	UNSPECIFIED	NONE
11	A1	f67r2	f67r2.11	A67_RIGHT_CELESTIAL_WHEEL	3	24|25|26	anheben + dies; dies + zufuehren + entnehmen + Sternbezug; dies	2	0	UNSPECIFIED	NONE
12	A1	f67r2	f67r2.12	A67_RIGHT_CELESTIAL_WHEEL	2	27|28	dies + zufuehren + laenger + Sternbezug; dies + zufuehren + Gabe + Sternbezug	0	0	UNSPECIFIED	NONE
13	A1	f67r2	f67r2.13	A67_RIGHT_CELESTIAL_WHEEL	4	29|30|31|32	Arbeitsgang + hinein + Arbeitsgang + fortsetzen; Sternbezug; Portion; Stelle + Schluss	0	0	UNSPECIFIED	NONE
14	A1	f67r2	f67r2.14	A67_RIGHT_CELESTIAL_WHEEL	3	33|34|35	Sternbezug + Arbeitsgang + laenger + dies; Teiladresse + Arbeitsgang + Sollstufe; fortsetzen; Schluss	0	0	UNSPECIFIED	NONE
15	A1	f67r2	f67r2.15	A67_LEFT_CELESTIAL_WHEEL	1	36	Teiladresse + fortsetzen + entnehmen + Sternbezug + Arbeitsgang + Schluss	1	0	UNSPECIFIED	NONE
16	A1	f67r2	f67r2.16	A67_LEFT_CELESTIAL_WHEEL	4	37|38|39|40	Arbeitsgang + Teiladresse + Nebenadresse + kurz + Sollstufe; ansetzen + Arbeitsgang + kurz + Sternbezug; Arbeitsgang + kurz + zufuehren + Portion; dies	0	0	UNSPECIFIED	NONE
17	A1	f67r2	f67r2.17	A67_LEFT_CELESTIAL_WHEEL	3	41|42|43	nächster Posten; Ansatz + Nebenadresse + Zaehlstrich + Zaehlstrich + senken; dies	1	0	UNSPECIFIED	NONE
18	A1	f67r2	f67r2.18	A67_LEFT_CELESTIAL_WHEEL	3	44|45|46	Arbeitsgang + hinein + dies; Mass; Stelle	0	0	UNSPECIFIED	NONE
19	A1	f67r2	f67r2.19	A67_LEFT_CELESTIAL_WHEEL	4	47|48|49|50	dies + Teiladresse + Gabe + Sternbezug; Portion; von dort; Gegenfeld + dies	0	0	UNSPECIFIED	NONE
20	A1	f67r2	f67r2.20	A67_LEFT_CELESTIAL_WHEEL	2	51|52	Gabe + Sternhaufen + dies; von dort + Stelle	0	0	UNSPECIFIED	NONE
21	A1	f67r2	f67r2.21	A67_LEFT_CELESTIAL_WHEEL	3	53|54|55	Sternbezug + Portion; Gegenfeld; von dort	0	0	UNSPECIFIED	NONE
22	A1	f67r2	f67r2.22	A67_LEFT_CELESTIAL_WHEEL	1	56	an die Stelle setzen	0	0	UNSPECIFIED	NONE
23	A1	f67r2	f67r2.23	A67_LEFT_CELESTIAL_WHEEL	2	57|58	Arbeitsgang + hinein + von dort + dies; Stelle + Sternbezug + Portion	0	0	UNSPECIFIED	NONE
24	A1	f67r2	f67r2.24	A67_LEFT_CELESTIAL_WHEEL	3	59|60|61	Sternbezug + Arbeitsgang + von dort; Arbeitsgang + Aussenbezug + von dort; von dort	0	0	UNSPECIFIED	NONE
25	A1	f67r2	f67r2.25	A67_LEFT_CELESTIAL_WHEEL	1	62	dies + Teiladresse + Gegenfeld	0	0	UNSPECIFIED	NONE
26	A1	f67r2	f67r2.26	A67_LEFT_CELESTIAL_WHEEL	3	63|64|65	dies + eintragen + kurz + Arbeitsgang + Ansatz; dies + eintragen + Arbeitsgang; dies + zufuehren + Ansatz	0	0	UNSPECIFIED	NONE
