unit_no	scope	unit_kind	surface_or_component	default_value_de	context_rule_de	support_groups_or_events	source	previous_default_value_de	common_action_revision
1	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	AIIN	Mass	Komponiere AIIN mit seinen Nachbarbausteinen.	10	PASS463_SHARED_COMPONENT	Mass	NO
2	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	AIN	Portion	Komponiere AIN mit seinen Nachbarbausteinen.	8	PASS463_SHARED_COMPONENT	Portion	NO
3	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	AIR	Lauf	Komponiere AIR mit seinen Nachbarbausteinen.	5	PASS463_SHARED_COMPONENT	Lauf	NO
4	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	AL	Stelle	Komponiere AL mit seinen Nachbarbausteinen.	22	PASS463_SHARED_COMPONENT	Stelle	NO
5	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	AR	von dort	Komponiere AR mit seinen Nachbarbausteinen.	9	PASS463_SHARED_COMPONENT	von dort	NO
6	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	CH	entnehmen	Komponiere CH mit seinen Nachbarbausteinen.	12	PASS463_SHARED_COMPONENT	abziehen	YES
7	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	CHD	umsetzen	Komponiere CHD mit seinen Nachbarbausteinen.	22	PASS463_SHARED_COMPONENT	umsetzen	NO
8	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	CHK	anheben	Komponiere CHK mit seinen Nachbarbausteinen.	4	PASS463_SHARED_COMPONENT	waermen	YES
9	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	CKH	Durchgang	Komponiere CKH mit seinen Nachbarbausteinen.	7	PASS463_SHARED_COMPONENT	Durchlass	YES
10	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	CKHE	trennen	Komponiere CKHE mit seinen Nachbarbausteinen.	2	PASS463_SHARED_COMPONENT	seihen	YES
11	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	CTH	bereit	Komponiere CTH mit seinen Nachbarbausteinen.	8	PASS463_SHARED_COMPONENT	bereit	NO
12	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	DY	Schluss	Komponiere DY mit seinen Nachbarbausteinen.	36	PASS463_SHARED_COMPONENT	Schluss	NO
13	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	E	kurz	Komponiere E mit seinen Nachbarbausteinen.	28	PASS463_SHARED_COMPONENT	kurz	NO
14	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	EE	laenger	Komponiere EE mit seinen Nachbarbausteinen.	16	PASS463_SHARED_COMPONENT	laenger	NO
15	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	EEE	vollstaendig	Komponiere EEE mit seinen Nachbarbausteinen.	2	PASS463_SHARED_COMPONENT	vollstaendig	NO
16	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	IIN	Sollstufe	Komponiere IIN mit seinen Nachbarbausteinen.	2	PASS463_SHARED_COMPONENT	Sollstufe	NO
17	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	K	zufuehren	Komponiere K mit seinen Nachbarbausteinen.	17	PASS463_SHARED_COMPONENT	zufuehren	NO
18	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	L	fuehren	Komponiere L mit seinen Nachbarbausteinen.	17	PASS463_SHARED_COMPONENT	fuehren	NO
19	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	LDDY	befestigen und schliessen	Komponiere LDDY mit seinen Nachbarbausteinen.	1	PASS463_SHARED_COMPONENT	befestigen und schliessen	NO
20	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	LS	hinausfuehren	Komponiere LS mit seinen Nachbarbausteinen.	1	PASS463_SHARED_COMPONENT	abfuehren	YES
21	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	LSH	Waschgang	Komponiere LSH mit seinen Nachbarbausteinen.	2	PASS463_SHARED_COMPONENT	Waschgang	NO
22	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	O	Arbeitsgang	Komponiere O mit seinen Nachbarbausteinen.	16	PASS463_SHARED_COMPONENT	Arbeitsgang	NO
23	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	OK	ansetzen	Komponiere OK mit seinen Nachbarbausteinen.	23	PASS463_SHARED_COMPONENT	ansetzen	NO
24	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	OL	fortsetzen	Komponiere OL mit seinen Nachbarbausteinen.	24	PASS463_SHARED_COMPONENT	fortsetzen	NO
25	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	OR	Ansatz	Komponiere OR mit seinen Nachbarbausteinen.	10	PASS463_SHARED_COMPONENT	Ansatz	NO
26	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	OT	danach	Komponiere OT mit seinen Nachbarbausteinen.	16	PASS463_SHARED_COMPONENT	danach	NO
27	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	P	hinein	Komponiere P mit seinen Nachbarbausteinen.	3	PASS463_SHARED_COMPONENT	hinein	NO
28	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	R	senken	Komponiere R mit seinen Nachbarbausteinen.	6	PASS463_SHARED_COMPONENT	abkuehlen	YES
29	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	SH	halten	Komponiere SH mit seinen Nachbarbausteinen.	19	PASS463_SHARED_COMPONENT	halten	NO
30	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	SHED	absetzen	Komponiere SHED mit seinen Nachbarbausteinen.	3	PASS463_SHARED_COMPONENT	absetzen	NO
31	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	SOLK	auffangen	Komponiere SOLK mit seinen Nachbarbausteinen.	5	PASS463_SHARED_COMPONENT	auffangen	NO
32	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	T	eintragen	Komponiere T mit seinen Nachbarbausteinen.	9	PASS463_SHARED_COMPONENT	eintragen	NO
33	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	Y	dies	Komponiere Y mit seinen Nachbarbausteinen.	57	PASS463_SHARED_COMPONENT	dies	NO
34	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	HO	Gabe	Komponiere HO mit seinen Nachbarbausteinen.	5	PASS463_SHARED_COMPONENT	Gabe	NO
35	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	CHEO	Entnahme	Komponiere CHEO mit seinen Nachbarbausteinen.	2	PASS463_SHARED_COMPONENT	Auszug	YES
36	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	D_ADDR	Teiladresse	Lies d im Astroregister als Teiladresse.	36	PASS466_467_ASTRO_COMPONENT	Teiladresse	NO
37	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	S_ADDR	Sternbezug	Lies s im Astroregister als Sternbezug.	45	PASS466_467_ASTRO_COMPONENT	Sternbezug	NO
38	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	A_ADDR	Nebenadresse	Lies a im Astroregister als Nebenadresse.	16	PASS466_467_ASTRO_COMPONENT	Nebenadresse	NO
39	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	F_ADDR	Aussenbezug	Lies f im Astroregister als Aussenbezug.	6	PASS466_467_ASTRO_COMPONENT	Aussenbezug	NO
40	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	AM_ADDR	Gegenfeld	Lies am im Astroregister als Gegenfeld.	8	PASS466_467_ASTRO_COMPONENT	Gegenfeld	NO
41	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	CPH_CLASS	Sternfigur	Lies cph im Astroregister als Sternfigur.	4	PASS466_467_ASTRO_COMPONENT	Sternfigur	NO
42	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	CFH_CLASS	Sternhaufen	Lies cfh im Astroregister als Sternhaufen.	2	PASS466_467_ASTRO_COMPONENT	Sternhaufen	NO
43	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	G_ADDR	Strahlmarke	Lies g im Astroregister als Strahlmarke.	5	PASS466_467_ASTRO_COMPONENT	Strahlmarke	NO
44	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	I_COUNT	Zaehlstrich	Lies i im Astroregister als Zaehlstrich.	8	PASS466_467_ASTRO_COMPONENT	Zaehlstrich	NO
45	ASTRO_ONLY	PRODUCTIVE_ADDRESS_COMPONENT	AN_SECTION	Abschnitt	Lies an im Astroregister als Abschnitt.	3	PASS466_467_ASTRO_COMPONENT	Abschnitt	NO
46	PROSE	MEMORIZED_WHOLE_CARD	os	Fach	Als eine gelernte Ganzkarte kopieren.	1	PASS463_PROSE_DICTIONARY	Fach	NO
47	PROSE	MEMORIZED_WHOLE_CARD	cfhy	auswringen	Als eine gelernte Ganzkarte kopieren.	1	PASS463_PROSE_DICTIONARY	auswringen	NO
48	PROSE	MEMORIZED_WHOLE_CARD	cheey|shey	Ergebnis	Als eine gelernte Ganzkarte kopieren.	4	PASS463_PROSE_DICTIONARY	Ergebnis	NO
49	PROSE	MEMORIZED_WHOLE_CARD	talam	verwahren	Als eine gelernte Ganzkarte kopieren.	1	PASS463_PROSE_DICTIONARY	verwahren	NO
50	PROSE	MEMORIZED_WHOLE_CARD	ches	teilen	Als eine gelernte Ganzkarte kopieren.	1	PASS463_PROSE_DICTIONARY	teilen	NO
51	PROSE	MEMORIZED_WHOLE_CARD	daiiin	zweite Stufe	Als eine gelernte Ganzkarte kopieren.	1	PASS463_PROSE_DICTIONARY	zweite Stufe	NO
52	ASTRO_ONLY	MEMORIZED_WHOLE_NAME	otaza	Himmelsname OTAZA	Als lokalen Namen auf f69v kopieren; nicht zerlegen.	1	PASS467_LOCAL_NOMENCLATOR	Himmelsname OTAZA	NO
