component	role	value_de	support_cards	teaching_status	combined_support_cards	herbal_events	biological_events	register_scope	previous_value_de	common_root_revision	previous_atomic_value_de	wet_context_expansion_de	astro_context_expansion_de	common_action_revision
AIIN	ARGUMENT	Mass	6	RECURRING_COMPONENT	10	14	25	BOTH	Mass	NO	Mass	Mass	Mass	NO
AIN	ARGUMENT	Portion	4	RECURRING_COMPONENT	8	4	13	BOTH	Portion	NO	Portion	Portion	Portion	NO
AIR	ARGUMENT	Lauf	4	RECURRING_COMPONENT	5	1	4	BOTH	Wasser	YES	Lauf	Lauf	Lauf	NO
AL	ARGUMENT	Stelle	19	RECURRING_COMPONENT	22	5	34	BOTH	Stelle	NO	Stelle	Stelle	Stelle	NO
AR	ARGUMENT	von dort	7	RECURRING_COMPONENT	9	2	7	BOTH	Quelle oder Vorrat	YES	von dort	von dort	von dort	NO
CH	OPERATION	entnehmen	2	RECURRING_COMPONENT	12	11	2	BOTH	abziehen	NO	abziehen	Fluessigkeit abziehen	einen Eintrag entnehmen	YES
CHD	OPERATION	umsetzen	22	RECURRING_COMPONENT	22	1	47	BOTH	umsetzen	NO	umsetzen	umsetzen	umsetzen	NO
CHK	OPERATION	anheben	4	RECURRING_COMPONENT	4	1	6	BOTH	waermen	NO	waermen	waermen	eine Lage oder Stufe anheben	YES
CKH	OPERATION	Durchgang	6	RECURRING_COMPONENT	7	1	9	BOTH	Durchlass	NO	Durchlass	Rohr- oder Seihdurchlass	Diagrammdurchgang	YES
CKHE	OPERATION	trennen	2	RECURRING_COMPONENT	2	0	4	BIOLOGICAL_ONLY	seihen	NO	seihen	seihen	Eintraege oder Bereiche trennen	YES
CTH	STATE	bereit	5	RECURRING_COMPONENT	8	6	9	BOTH	bereit	NO	bereit	bereit	bereit	NO
DY	ENDPOINT	Schluss	33	RECURRING_COMPONENT	36	4	84	BOTH	Schluss	NO	Schluss	Schluss	Schluss	NO
E	GRADE	kurz	23	RECURRING_COMPONENT	28	5	36	BOTH	kurz	NO	kurz	kurz	kurz	NO
EE	GRADE	laenger	15	RECURRING_COMPONENT	16	2	34	BOTH	laenger	NO	laenger	laenger	laenger	NO
EEE	GRADE	vollstaendig	2	RECURRING_COMPONENT	2	0	2	BIOLOGICAL_ONLY	vollstaendig	NO	vollstaendig	vollstaendig	vollstaendig	NO
IIN	ARGUMENT	Sollstufe	1	LEARNED_BOUND_SIGN	2	1	2	BOTH	Sollstufe	NO	Sollstufe	Sollstufe	Sollstufe	NO
K	OPERATION	zufuehren	6	RECURRING_COMPONENT	17	11	9	BOTH	zufuehren	NO	zufuehren	zufuehren	zufuehren	NO
L	OPERATION	fuehren	17	RECURRING_COMPONENT	17	0	26	BIOLOGICAL_ONLY	fuehren	NO	fuehren	fuehren	fuehren	NO
LDDY	ENDPOINT	befestigen und schliessen	1	LEARNED_BOUND_SIGN	1	0	1	BIOLOGICAL_ONLY	befestigen und schliessen	NO	befestigen und schliessen	befestigen und schliessen	befestigen und schliessen	NO
LS	OPERATION	hinausfuehren	1	LEARNED_BOUND_SIGN	1	0	1	BIOLOGICAL_ONLY	abfuehren	NO	abfuehren	Fluessigkeit abfuehren	aus einem Bereich hinausfuehren	YES
LSH	OPERATION	Waschgang	2	RECURRING_COMPONENT	2	0	3	BIOLOGICAL_ONLY	Waschgang	NO	Waschgang	Waschgang	Waschgang	NO
O	FRAME	Arbeitsgang	6	RECURRING_COMPONENT	16	10	7	BOTH	Arbeitszustand	YES	Arbeitsgang	Arbeitsgang	Arbeitsgang	NO
OK	FRAME	ansetzen	19	RECURRING_COMPONENT	23	11	68	BOTH	ansetzen	NO	ansetzen	ansetzen	ansetzen	NO
OL	FRAME	fortsetzen	14	RECURRING_COMPONENT	24	16	32	BOTH	fortsetzen	NO	fortsetzen	fortsetzen	fortsetzen	NO
OR	ARGUMENT	Ansatz	4	RECURRING_COMPONENT	10	13	5	BOTH	Ansatz	NO	Ansatz	Ansatz	Ansatz	NO
OT	FRAME	danach	10	RECURRING_COMPONENT	16	8	18	BOTH	danach oder naechster	YES	danach	danach	danach	NO
P	OPERATION	hinein	2	RECURRING_COMPONENT	3	1	2	BOTH	hinein	NO	hinein	hinein	hinein	NO
R	OPERATION	senken	6	RECURRING_COMPONENT	6	0	6	BIOLOGICAL_ONLY	abkuehlen	NO	abkuehlen	abkuehlen	eine Lage oder Stufe senken	YES
SH	OPERATION	halten	14	RECURRING_COMPONENT	19	5	16	BOTH	halten	NO	halten	halten	halten	NO
SHED	OPERATION	absetzen	3	RECURRING_COMPONENT	3	0	15	BIOLOGICAL_ONLY	absetzen	NO	absetzen	absetzen	absetzen	NO
SOLK	OPERATION	auffangen	5	RECURRING_COMPONENT	5	0	7	BIOLOGICAL_ONLY	auffangen	NO	auffangen	auffangen	auffangen	NO
T	OPERATION	eintragen	3	RECURRING_COMPONENT	9	7	3	BOTH	fuellen	YES	eintragen	eintragen	eintragen	NO
Y	ARGUMENT	dies	37	RECURRING_COMPONENT	57	41	77	BOTH	dieser laufende Posten	YES	dies	dies	dies	NO
HO	ARGUMENT	Gabe	5	HERBAL_COMPONENT_EXTENSION	5	8	0	HERBAL_ONLY	Zutat	YES	Gabe	Gabe	Gabe	NO
CHEO	ARGUMENT	Entnahme	2	HERBAL_COMPONENT_EXTENSION	2	2	0	HERBAL_ONLY	Auszug	NO	Auszug	Pflanzenauszug	aus einem Feld entnommener Wert	YES
