rank	page	locus	surface	working_default_de	practical_render_de	card_type	composition	strongest_rival_de	strength	zl3b_line	v38_translation_de	v39_translation_de	status
1	f103v	f103v.4	lkees	stark erhitzte Holzdroge, Endstufe	stark erhitzte Holzdroge, Endstufe	PRODUCTIVE_COMPOUND	L_WOOD+K_HOT+EE_END+S_BOUND	heißer L-Rahmenstoff	LOW_EXPLORATORY	y cheey qokeey okeey lkees ol qoteedy ykeedy	Eintrag: trocken am Ende des Grades; heiß am Ende des Grades; heißer Ansatz am Ende des Grades; [lkees:?]; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; kalt am Ende des Grades, abgeschlossen; hierzu: heiß am Gradende, abgeschlossen	Eintrag: trocken am Ende des Grades; heiß am Ende des Grades; heißer Ansatz am Ende des Grades; stark erhitzte Holzdroge, Endstufe; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; kalt am Ende des Grades, abgeschlossen; Eintrag/Bezug: heiß am Gradende, abgeschlossen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
2	f104r	f104r.26	shar	angefeuchtete Drogenfraktion I	angefeuchtete Drogenfraktion I	PRODUCTIVE_COMPOUND	SH_MOIST+AR_FRACTION_I	Feuchtfraktion ohne Zubereitungswert	STRONG_PRACTICAL_OR_COMPOSITIONAL	shar sheey kar sheody	[shar:?]; feucht am Ende des Grades; heiße Drogenfraktion I; angefeuchteter Ansatz, abgeschlossen	angefeuchtete Drogenfraktion I; feucht am Ende des Grades; heiße Drogenfraktion I; angefeuchteter Ansatz, abgeschlossen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
3	f106r	f106r.26	ycheeo	Eintrag: zweiter Trockenansatz	Eintrag: zweiter Trockenansatz	PRODUCTIVE_COMPOUND	Y_ENTRY+CHEE_DRY_II+O_PREP	Y-Grenze vor CHEEO	MEDIUM_EXACT_WHOLE	ycheeo lkeey	[ycheeo:?]; Drogenholz, heiß am Gradende	Eintrag: zweiter Trockenansatz; Drogenholz, heiß am Gradende	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
4	f10v	f10v.1	otydy	kalter Ansatz in Grundform, fertig	kalter Ansatz in Grundform, fertig	PRODUCTIVE_COMPOUND	O_PREP+T_COLD+Y_BASE+DY_FINISHED	kalte Zustandsform	MEDIUM_EXACT_WHOLE	paiin daiin sheo pcheey qoty daiin cthor otydy sain	Pulver, Typ/Charge III; Grad-/Maßwert III; Feuchtzubereitung; Pulver, trocken gebunden, Form II; kalt am Anfang des Grades; Grad-/Maßwert III; Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge; [otydy:?]; Saatgut, Typ/Charge II	Pulver, Typ/Charge III; Grad-/Maßwert III; Feuchtzubereitung; Pulver, trocken gebunden, Form II; kalt am Anfang des Grades; Grad-/Maßwert III; Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge; kalter Ansatz in Grundform, fertig; Saatgut, Typ/Charge II	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
5	f111r	f111r.43	lkedar	erhitzte Holzfraktion I	erhitzte Holzfraktion I	PRODUCTIVE_COMPOUND	L_WOOD+K_HOT+ED+AR_FRACTION_I	erhitzte Ansatzfraktion I	LOW_EXPLORATORY	okeedy lkeedy lkedar okeedy chedy	heißer Ansatz am Ende des Grades, abgeschlossen; Drogenholz, heiß am Gradende, abgeschlossen; [lkedar:?]; heißer Ansatz am Ende des Grades, abgeschlossen; trocken in der Mitte des Grades, abgeschlossen	heißer Ansatz am Ende des Grades, abgeschlossen; Drogenholz, heiß am Gradende, abgeschlossen; erhitzte Holzfraktion I; heißer Ansatz am Ende des Grades, abgeschlossen; trocken in der Mitte des Grades, abgeschlossen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
6	f111v	f111v.16	far	Pflanzendroge	Pflanzendroge	LEARNED_WHOLE	LEARNED_F_DRUG_WHOLE	Blüten- oder Fruchtdroge	LOW_EXPLORATORY	qokain sheol qokain shckhey lchedy okar al qotal shedy otain far aiin am	heiß, Grad II; feuchtes Material; heiß, Grad II; Arzneikompositum: feucht, Gradmitte; getrocknetes Drogenholz; heiße Drogenfraktion I im Ansatz; Rohstoffklasse I; Rohstoffklasse I, kalt am Gradanfang; feucht in der Mitte des Grades, abgeschlossen; kalt im Zubereitungsrahmen, Grad II; [far:?]; Menge III; Maßeinheit I.	heiß, Grad II; feuchtes Material; heiß, Grad II; Arzneikompositum: feucht, Gradmitte; getrocknetes Drogenholz; heiße Drogenfraktion I im Ansatz; Rohstoffklasse I; Rohstoffklasse I, kalt am Gradanfang; feucht in der Mitte des Grades, abgeschlossen; kalt im Zubereitungsrahmen, Grad II; Pflanzendroge; Menge III; Maßeinheit I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
7	f111v	f111v.39	dsheey	abgemessene, vollständig angefeuchtete Droge	abgemessene, vollständig angefeuchtete Droge	PRODUCTIVE_COMPOUND	D_MEASURED+SHEEY_MOIST_END	Feuchtmaß am Gradende	STRONG_PRACTICAL_OR_COMPOSITIONAL	dsheey qokal chedy chcthy qokain chedy lkeey shey qokain chedy lchdy	[dsheey:?]; Rohstoffklasse I, heiß am Gradanfang; trocken in der Mitte des Grades, abgeschlossen; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; heiß, Grad II; trocken in der Mitte des Grades, abgeschlossen; Drogenholz, heiß am Gradende; feucht in der Mitte des Grades; heiß, Grad II; trocken in der Mitte des Grades, abgeschlossen; Drogenholz, getrocknete Kurz-/Kompaktform	abgemessene, vollständig angefeuchtete Droge; Rohstoffklasse I, heiß am Gradanfang; trocken in der Mitte des Grades, abgeschlossen; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; heiß, Grad II; trocken in der Mitte des Grades, abgeschlossen; Drogenholz, heiß am Gradende; feucht in der Mitte des Grades; heiß, Grad II; trocken in der Mitte des Grades, abgeschlossen; Drogenholz, getrocknete Kurz-/Kompaktform	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
8	f111v	f111v.51	choty	kalter Trockenansatz	kalter Trockenansatz	PRODUCTIVE_COMPOUND	CH_DRY+O_PREP+T_COLD+Y_BASE	nur kalt-trockener Zustand	STRONG_PRACTICAL_OR_COMPOSITIONAL	sain cheal chckhy okain okal aiin choty chckhy	Saatgut, Typ/Charge II; Rohstoffklasse I, trocken in der Gradmitte; Arzneikompositum: trocken, Gradanfang; heiß im Zubereitungsrahmen, Grad II; Rohstoffklasse I im Ansatz, heiß am Gradanfang; Menge III; [choty:?]; Arzneikompositum: trocken, Gradanfang	Saatgut, Typ/Charge II; Rohstoffklasse I, trocken in der Gradmitte; Arzneikompositum: trocken, Gradanfang; heiß im Zubereitungsrahmen, Grad II; Rohstoffklasse I im Ansatz, heiß am Gradanfang; Menge III; kalter Trockenansatz; Arzneikompositum: trocken, Gradanfang	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
9	f112r	f112r.40	chkey	trocken-heiß in der Mittelstufe	trocken-heiß in der Mittelstufe	PRODUCTIVE_COMPOUND	CH_DRY+K_HOT+EY_MIDDLE	heiß getrocknete Form I	MEDIUM_EXACT_WHOLE	sain okal lkeedy okar okchedy qokal keedy chkey oty oral	Saatgut, Typ/Charge II; Rohstoffklasse I im Ansatz, heiß am Gradanfang; Drogenholz, heiß am Gradende, abgeschlossen; heiße Drogenfraktion I im Ansatz; heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen; Rohstoffklasse I, heiß am Gradanfang; heiß am Ende des Grades, abgeschlossen; [chkey:?]; kalter Ansatz am Anfang des Grades; Rohstoffportion, Klasse I	Saatgut, Typ/Charge II; Rohstoffklasse I im Ansatz, heiß am Gradanfang; Drogenholz, heiß am Gradende, abgeschlossen; heiße Drogenfraktion I im Ansatz; heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen; Rohstoffklasse I, heiß am Gradanfang; heiß am Ende des Grades, abgeschlossen; trocken-heiß in der Mittelstufe; kalter Ansatz am Anfang des Grades; Rohstoffportion, Klasse I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
10	f112v	f112v.5	cheeoldy	vollständig getrockneter Drogenstoff, fertig	vollständig getrockneter Drogenstoff, fertig	PRODUCTIVE_COMPOUND	CH_DRY+EE_END+OL_MATERIAL+DY_FINISHED	zweite Bindungsstufe	LOW_EXPLORATORY	sain aiiin okey daiin otal chear okedy okaiin cheeoldy	Saatgut, Typ/Charge II; Menge-/Klassenwert IV; heißer Ansatz in der Mitte des Grades; Grad-/Maßwert III; Rohstoffklasse I im Ansatz, kalt am Gradanfang; trockene Fraktion I; heißer Ansatz in der Mitte des Grades, abgeschlossen; heiß, Grad III, im Ansatzrahmen; [cheeoldy:?]	Saatgut, Typ/Charge II; Menge-/Klassenwert IV; heißer Ansatz in der Mitte des Grades; Grad-/Maßwert III; Rohstoffklasse I im Ansatz, kalt am Gradanfang; trockene Fraktion I; heißer Ansatz in der Mitte des Grades, abgeschlossen; heiß, Grad III, im Ansatzrahmen; vollständig getrockneter Drogenstoff, fertig	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
