rank	score	strict_eligible	page	locus	section	language	hand	token_count	known_tokens	context_licensed_tokens	ambiguous_tokens	reader_unstable_tokens	unknown_tokens	coverage_fraction	reader_exact_tokens	split_normalized_tokens	all_three_present	all_present_exact	zl3b_line	token_glosses_de	gloss_sources	scope_states	unknown_ordinals	unknown_surfaces	unknown_ordinal	unknown_surface	previous	following	proposed_default_de	proposal_basis	proposal_strength	proposed_complete_translation_de
1	12998600	0	f75v	f75v.12	B	B	2	14	13	0	1	5	1	0.928571	9	9	1	0	qokedy rshey qol chey ol chey keed sol key dy kedy qokal dar oly	heiß in der Mitte des Grades, abgeschlossen | eingeweichte Wurzel, Form I | Drogenstoff zugeben | trocken in der Mitte des Grades | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken in der Mitte des Grades | [keed:?] | Samenmaterial/Saatgut | heiß in der Mitte des Grades | Qualitäts-/Wertfeld geschlossen | heiß in der Mitte des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang | abgemessene Fraktion I | abseihen	GDT647:FAMILY_MIGRATION | V13:SCOPED_RESIDUAL_HEAD_FORM | GDT662:EXACT_WHOLE:qol | GDT647:FAMILY_MIGRATION | V13:QUALITY_STATE_MATERIAL_CARRIER | GDT647:FAMILY_MIGRATION | OPEN | V13:SCOPED_CONCRETE_HEAD_FORM | GDT647:FAMILY_MIGRATION | GDT660:DY_MEDIAL | GDT647:FAMILY_MIGRATION | GDT656:REVISE_AL_QUALITY_MODEL | GDT649:STRONG_FAMILY_DEFAULT | GDT662:EXACT_WHOLE:oly	KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | AMBIGUOUS_ACTIVE_RIVAL | READER_BOUNDARY_UNSTABLE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	7	keed	7	keed	chey	sol	[keed:?]	NEWLY_EXPOSED_BY_GDT662_NO_NEW_CARD	OPEN	heiß in der Mitte des Grades, abgeschlossen; eingeweichte Wurzel, Form I; gib Folgendes hinzu: trocken in der Mitte des Grades; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trocken in der Mitte des Grades; [keed:?]; Samenmaterial/Saatgut; heiß in der Mitte des Grades; heiß in der Mitte des Grades, abgeschlossen; Rohstoffklasse I, heiß am Gradanfang; abgemessene Fraktion I; seihe Vorstehendes ab.
2	11998700	0	f106v	f106v.23	S	B	3	13	12	2	0	5	1	0.923077	7	7	1	0	ol kalol shar chor okal chdy chol chedy qotaiin or aiin okeedy qokain	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [kalol:?] | angefeuchtete Drogenfraktion I | Pflanzen-/Reproduktionsteil | Rohstoffklasse I im Ansatz, heiß am Gradanfang | trocken am Anfang des Grades, abgeschlossen | trocken; nominal trockenes Gut/Material | trocken in der Mitte des Grades, abgeschlossen | kalt, Grad III | Drogenportion | Menge III | heißer Ansatz am Ende des Grades, abgeschlossen | heiß, Grad II	V13:QUALITY_STATE_MATERIAL_CARRIER | OPEN | GDT662:EXACT_WHOLE:shar | V13:PART_OR_FORM | GDT656:REVISE_AL_QUALITY_MODEL | GDT647:FAMILY_MIGRATION | V13:DRY_OL_FORM | GDT647:FAMILY_MIGRATION | V13:TARGET_SURFACE_DEFAULT | GDT654:REVISE_AMBIGUOUS_TO_EXACT | V13:TARGET_SURFACE_DEFAULT | GDT647:FAMILY_MIGRATION | V13:TARGET_SURFACE_DEFAULT	READER_BOUNDARY_UNSTABLE | UNKNOWN_SURFACE | READER_BOUNDARY_UNSTABLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	2	kalol	2	kalol	ol	shar	[kalol:?]	NEWLY_EXPOSED_BY_GDT662_NO_NEW_CARD	OPEN	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; [kalol:?]; angefeuchtete Drogenfraktion I; Pflanzen-/Reproduktionsteil; Rohstoffklasse I im Ansatz, heiß am Gradanfang; trocken am Anfang des Grades, abgeschlossen; trocken; nominal trockenes Gut/Material; trocken in der Mitte des Grades, abgeschlossen; kalt, Grad III; Drogenportion; Menge III; heißer Ansatz am Ende des Grades, abgeschlossen; heiß, Grad II
3	11998700	0	f108r	f108r.6	S	B	3	13	12	1	1	0	1	0.923077	13	13	1	1	ol cheol qo qokeey qokeey qokeedy sheoky otedy qotey qokchey chdar aiin y	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockener Drogenstoff | nehmen | heiß am Ende des Grades | heiß am Ende des Grades | heiß am Ende des Grades, abgeschlossen | feucht angesetzte heiße Zubereitung am Gradanfang | kalter Ansatz in der Mitte des Grades, abgeschlossen | kalt in der Mitte des Grades | heiß und trocken in der Mitte des Grades | [chdar:?] | Menge III | Eintrag abgeschlossen	V13:QUALITY_STATE_MATERIAL_CARRIER | GDT642:ROUND_01 | GDT662:EXACT_WHOLE:qo | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT652:STRONG_COMPONENT_GRID | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | OPEN | V13:TARGET_SURFACE_DEFAULT | GDT659:Y_EOS_CLOSE	AMBIGUOUS_ACTIVE_RIVAL | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED	11	chdar	11	chdar	qokchey	aiin	[chdar:?]	NEWLY_EXPOSED_BY_GDT662_NO_NEW_CARD	OPEN	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trockener Drogenstoff; nimm Folgendes: heiß am Ende des Grades; heiß am Ende des Grades; heiß am Ende des Grades, abgeschlossen; feucht angesetzte heiße Zubereitung am Gradanfang; kalter Ansatz in der Mitte des Grades, abgeschlossen; kalt in der Mitte des Grades; heiß und trocken in der Mitte des Grades; [chdar:?]; Menge III.
4	11008800	1	f108v	f108v.50	S	B	3	12	11	0	0	0	1	0.916667	12	12	1	1	dsheey oteey cheol teedar okeedy qokeedy checkhy oteey aiin okeey chey qokey	abgemessene, vollständig angefeuchtete Droge | kalter Ansatz am Ende des Grades | trockener Drogenstoff | [teedar:?] | heißer Ansatz am Ende des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | trockenes Arzneikompositum am Gradanfang | kalter Ansatz am Ende des Grades | Menge III | heißer Ansatz am Ende des Grades | trocken in der Mitte des Grades | heiß in der Mitte des Grades	GDT662:EXACT_WHOLE:dsheey | GDT647:FAMILY_MIGRATION | GDT642:ROUND_01 | OPEN | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT651:STRONG_LEARNED_CKH_FAMILY | GDT647:FAMILY_MIGRATION | V13:TARGET_SURFACE_DEFAULT | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	4	teedar	4	teedar	cheol	okeedy	[teedar:?]	NEWLY_EXPOSED_BY_GDT662_NO_NEW_CARD	OPEN	abgemessene, vollständig angefeuchtete Droge; kalter Ansatz am Ende des Grades; trockener Drogenstoff; [teedar:?]; heißer Ansatz am Ende des Grades, abgeschlossen; heiß am Ende des Grades, abgeschlossen; trockenes Arzneikompositum am Gradanfang; kalter Ansatz am Ende des Grades; Menge III; heißer Ansatz am Ende des Grades; trocken in der Mitte des Grades; heiß in der Mitte des Grades
5	10998800	0	f107r	f107r.46	S	B	3	12	11	1	1	0	1	0.916667	12	12	1	1	sar cheey qodaiin qokaiin ol cheor aiin otal taiin qokaiin otal alkal	Samenfraktion I | trocken am Ende des Grades | Qualitätsgrad III | heiß, Grad III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockener Drogenteil | Menge III | Rohstoffklasse I im Ansatz, kalt am Gradanfang | kalt, Grad III | heiß, Grad III | Rohstoffklasse I im Ansatz, kalt am Gradanfang | [alkal:?]	V13:SCOPED_RESIDUAL_HEAD_FORM | GDT647:FAMILY_MIGRATION | GDT662:EXACT_WHOLE:qodaiin | V13:TARGET_SURFACE_DEFAULT | V13:QUALITY_STATE_MATERIAL_CARRIER | GDT642:ROUND_02 | V13:TARGET_SURFACE_DEFAULT | GDT656:REVISE_AL_QUALITY_MODEL | V13:QUALITY_DEGREE_SERIES | V13:TARGET_SURFACE_DEFAULT | GDT656:REVISE_AL_QUALITY_MODEL | OPEN	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | AMBIGUOUS_ACTIVE_RIVAL | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE	12	alkal	12	alkal	otal	<EOS>	[alkal:?]	NEWLY_EXPOSED_BY_GDT662_NO_NEW_CARD	OPEN	Samenfraktion I; trocken am Ende des Grades; Qualitätsgrad III; heiß, Grad III; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trockener Drogenteil; Menge III; Rohstoffklasse I im Ansatz, kalt am Gradanfang; kalt, Grad III; heiß, Grad III; Rohstoffklasse I im Ansatz, kalt am Gradanfang; [alkal:?]
6	10998800	0	f107v	f107v.26	S	B	3	12	11	0	0	4	1	0.916667	7	7	1	0	oraiin sheor qokain cheody qokain otal okaiin olkeeo r ar al oldy	Portion III | feuchter Drogenteil | heiß, Grad II | getrockneter Ansatz | heiß, Grad II | Rohstoffklasse I im Ansatz, kalt am Gradanfang | heiß, Grad III, im Ansatzrahmen | [olkeeo:?] | Wurzel | Drogenfraktion I | Rohstoffklasse I | fertiger, abgeseihter Auszug	V13:TARGET_SURFACE_DEFAULT | GDT648:STRICT_WHOLE_COMPLETION | V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT | GDT656:REVISE_AL_QUALITY_MODEL | V13:TARGET_SURFACE_DEFAULT | OPEN | GDT661:R_BODY | GDT654:NEW_EXACT_WHOLE | GDT655:NEW_EXACT_WHOLE | GDT662:EXACT_WHOLE:oldy	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE	8	olkeeo	8	olkeeo	okaiin	r	[olkeeo:?]	NEWLY_EXPOSED_BY_GDT662_NO_NEW_CARD	OPEN	Portion III; feuchter Drogenteil; heiß, Grad II; getrockneter Ansatz; heiß, Grad II; Rohstoffklasse I im Ansatz, kalt am Gradanfang; heiß, Grad III, im Ansatzrahmen; [olkeeo:?]; Wurzel; Drogenfraktion I; Rohstoffklasse I; fertiger, abgeseihter Auszug
7	10998800	0	f34v	f34v.10	H	B	2	12	11	1	0	6	1	0.916667	6	6	1	0	daiin chdy tedy kchdy okeedy checkhy chdy kain chear or okedy okam	Grad-/Maßwert III | trocken am Anfang des Grades, abgeschlossen | kalt in der Mitte des Grades, abgeschlossen | heiß und trocken am Anfang des Grades, abgeschlossen | heißer Ansatz am Ende des Grades, abgeschlossen | trockenes Arzneikompositum am Gradanfang | trocken am Anfang des Grades, abgeschlossen | heiß, Grad II | trockene Fraktion I | Drogenportion | heißer Ansatz in der Mitte des Grades, abgeschlossen | [okam:?]	V13:CONTEXTUAL_VALUE_SERIES | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT651:STRONG_LEARNED_CKH_FAMILY | GDT647:FAMILY_MIGRATION | V13:QUALITY_DEGREE_SERIES | GDT639:ROUND_05 | GDT654:REVISE_AMBIGUOUS_TO_EXACT | GDT647:FAMILY_MIGRATION | OPEN	READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_CONTEXT_LICENSED | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | UNKNOWN_SURFACE	12	okam	12	okam	okedy	<EOS>	heiß, Zubereitung/Ansatz, Mengenklasse; nur zeilenfinal zusätzlich Abschluss	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	Grad-/Maßwert III; trocken am Anfang des Grades, abgeschlossen; kalt in der Mitte des Grades, abgeschlossen; heiß und trocken am Anfang des Grades, abgeschlossen; heißer Ansatz am Ende des Grades, abgeschlossen; trockenes Arzneikompositum am Gradanfang; trocken am Anfang des Grades, abgeschlossen; heiß, Grad II; trockene Fraktion I; Drogenportion; heißer Ansatz in der Mitte des Grades, abgeschlossen; heiß, Zubereitung/Ansatz, Mengenklasse; nur zeilenfinal zusätzlich Abschluss
8	10998800	0	f76r	f76r.35	T	B	2	12	11	2	0	2	1	0.916667	10	10	1	0	sain shedy lshey qokal chcthy okeolor cheol otar chedy qol chcthy chckhy	Saatgut, Typ/Charge II | feucht in der Mitte des Grades, abgeschlossen | eingeweichtes Drogenholz, Form I | Rohstoffklasse I, heiß am Gradanfang | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | [okeolor:?] | trockener Drogenstoff | kalte Drogenfraktion I im Ansatz | trocken in der Mitte des Grades, abgeschlossen | Drogenstoff zugeben | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | Arzneikompositum: trocken, Gradanfang	GDT661:EXACT_WHOLE:sain | GDT647:FAMILY_MIGRATION | V13:SCOPED_RESIDUAL_HEAD_FORM | GDT656:REVISE_AL_QUALITY_MODEL | V13:DRY_CTH_MATERIAL | OPEN | GDT642:ROUND_01 | GDT654:NEW_EXACT_WHOLE | GDT647:FAMILY_MIGRATION | GDT662:EXACT_WHOLE:qol | V13:DRY_CTH_MATERIAL | GDT651:REVISED_FOUR_SHELL_CKH_GRID	READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE	6	okeolor	6	okeolor	chcthy	cheol	[okeolor:?]	NEWLY_EXPOSED_BY_GDT662_NO_NEW_CARD	OPEN	Saatgut, Typ/Charge II; feucht in der Mitte des Grades, abgeschlossen; eingeweichtes Drogenholz, Form I; Rohstoffklasse I, heiß am Gradanfang; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; [okeolor:?]; trockener Drogenstoff; kalte Drogenfraktion I im Ansatz; trocken in der Mitte des Grades, abgeschlossen; gib Folgendes hinzu: trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; Arzneikompositum: trocken, Gradanfang
9	10998800	0	f76v	f76v.22	B	B	2	12	11	0	0	4	1	0.916667	8	8	1	0	sol shey qotedy chey dytey teedy lchey qokedy chedy lal chedy lchedy	Samenmaterial/Saatgut | feucht in der Mitte des Grades | kalt in der Mitte des Grades, abgeschlossen | trocken in der Mitte des Grades | [dytey:?] | kalt am Ende des Grades, abgeschlossen | Drogenholz, trocken gebunden, Form I | heiß in der Mitte des Grades, abgeschlossen | trocken in der Mitte des Grades, abgeschlossen | Holzrohstoff I | trocken in der Mitte des Grades, abgeschlossen | getrocknetes Drogenholz	V13:SCOPED_CONCRETE_HEAD_FORM | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | OPEN | GDT647:FAMILY_MIGRATION | V13:SCOPED_RESIDUAL_HEAD_FORM | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | V13:SCOPED_RESIDUAL_HEAD_FORM | GDT647:FAMILY_MIGRATION | V13:SCOPED_CONCRETE_HEAD_FORM	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE	5	dytey	5	dytey	chey	teedy	Grundform	VISIBLE_SINGLE_FIELD_COMPOSITION	LOW	Samenmaterial/Saatgut; feucht in der Mitte des Grades; kalt in der Mitte des Grades, abgeschlossen; trocken in der Mitte des Grades; Grundform; kalt am Ende des Grades, abgeschlossen; Drogenholz, trocken gebunden, Form I; heiß in der Mitte des Grades, abgeschlossen; trocken in der Mitte des Grades, abgeschlossen; Holzrohstoff I; trocken in der Mitte des Grades, abgeschlossen; getrocknetes Drogenholz
10	9998900	0	f103r	f103r.43	S	B	3	11	10	0	1	2	1	0.909091	9	9	1	0	tar cheal ol sheey qotal sheal qokal sheedy okeshedy shokey qokaiin	kalte Drogenfraktion I | Rohstoffklasse I, trocken in der Gradmitte | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | feucht am Ende des Grades | Rohstoffklasse I, kalt am Gradanfang | Rohstoffklasse I, feucht in der Gradmitte | Rohstoffklasse I, heiß am Gradanfang | feucht am Ende des Grades, abgeschlossen | [okeshedy:?] | heiß-feuchter Ansatz in der Gradmitte | heiß, Grad III	GDT654:NEW_EXACT_WHOLE | GDT656:NEW_EXACT_WHOLE | V13:QUALITY_STATE_MATERIAL_CARRIER | GDT647:FAMILY_MIGRATION | GDT656:NEW_EXACT_WHOLE | GDT656:NEW_EXACT_WHOLE | GDT656:REVISE_AL_QUALITY_MODEL | GDT647:FAMILY_MIGRATION | OPEN | GDT652:STRONG_COMPONENT_GRID | V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | AMBIGUOUS_ACTIVE_RIVAL | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | UNKNOWN_SURFACE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE	9	okeshedy	9	okeshedy	sheedy	shokey	heiß, Zubereitung/Ansatz, fertig aufbereitete Form	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	kalte Drogenfraktion I; Rohstoffklasse I, trocken in der Gradmitte; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; feucht am Ende des Grades; Rohstoffklasse I, kalt am Gradanfang; Rohstoffklasse I, feucht in der Gradmitte; Rohstoffklasse I, heiß am Gradanfang; feucht am Ende des Grades, abgeschlossen; heiß, Zubereitung/Ansatz, fertig aufbereitete Form; heiß-feuchter Ansatz in der Gradmitte; heiß, Grad III
