occurrence_id	page	locus	token_index	ordinal	line_length	surface	token_kind	position	section	language	hand	family	card_type	scope_mode	rendering_class	left_surface	right_surface	working_gloss_de	working_render_de	composition	strongest_rival_de	reader_exact	split_normalized	all_three_present	all_present_exact	zl3b_line	it2a_line	rf1b_line	v38_gloss_de	v39_gloss_de	v38_scope_state	v39_scope_state	v39_working_translation_de	exact_surface_dispatch	substring_dispatch
G662-T0001	f100r	f100r.12	1	1	10	pcheol	P	BOS	P	A	1	DRY	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EXACT_WHOLE	<BOS>	sheod	getrockneter Pulverstoff	getrockneter Pulverstoff	P_POWDER+CHEOL_DRY_MATERIAL	Pulver aus Trockendroge	1	1	1	0	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	pcheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	pcheol sheod qocpheeckhy shodol da oto chqeos sheey cho s	[pcheol:?]	getrockneter Pulverstoff	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	getrockneter Pulverstoff; [sheod:?]; [qocpheeckhy:?]; [shodol:?]; [da:?]; [oto:?]; [choos:?]; feucht am Ende des Grades; Trockenansatz; Samen-/Saatgutposten.	1	0
G662-T0002	f102r1	f102r1.14	2	2	11	keeol	P	MEDIAL	P	A	1	DRY	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EXACT_WHOLE	doeey	qokeo	stark erhitzter Drogenstoff	stark erhitzter Drogenstoff	K_HOT+EE_END+OL_MATERIAL	heißer Stoff am Gradende	1	1	1	0	doeey keeol qokeo daor shey qoteol okol chos s or oeeaiin	doeey keeol qokeo daor shey qoteol okol chos sor oeeaiin	doeey keeol qokeo d or shey qoteol okol chos s or oeeaiin	[keeol:?]	stark erhitzter Drogenstoff	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	[doeey:?]; stark erhitzter Drogenstoff; [qokeo:?]; [daor:?]; feucht in der Mitte des Grades; [qoteol:?]; [okol:?]; [chos:?]; Samen-/Saatgutposten; Drogenportion; [oeeaiin:?]	1	0
G662-T0003	f102r1	f102r1.16	9	9	10	aral	P	MEDIAL	P	A	1	MEASURE	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EXACT_WHOLE	s	dor	Rohdrogenfraktion I	Rohdrogenfraktion I	AR_FRACTION_I+AL_RAW_I	Fraktion neben separater Rohstoffklasse	0	0	1	0	ddor chordam soraiin ykeey dy okeol doeoear s aral dor	ddor chordom soraiin ykeey dy okeol doeoeas saral dor	ddor chordam soraiin yeydy okeol oeoear s aral do	[aral:?]	Rohdrogenfraktion I	UNKNOWN_SURFACE	READER_BOUNDARY_UNSTABLE	[ddor:?]; [chordam:?]; Samenportion III; [ykeey:?]; [okeol:?]; [doeoear:?]; Samen-/Saatgutposten; Rohdrogenfraktion I; [dor:?]	1	0
G662-T0004	f102r1	f102r1.17	6	6	6	oly	P	EOS	P	A	1	HYBRID	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	OLY_STRAIN_FINISH	chockhy	<EOS>	abseihen	seihe Vorstehendes ab.	OL_MATERIAL+Y_CLOSE_AS_LEARNED_ACTION	Drogenmaterial in Grundform	1	1	1	0	ydar arody oldaiin sody chockhy oly	ydar arody oldaiin sody chockhy oly	y ar arody oldaiin sody chockhy oly	[oly:?]	abseihen	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	[ydar:?]; [arody:?]; [oldaiin:?]; Samen/Saatgut, fertig aufbereitet; Arzneikompositum im Trockenansatz am Gradanfang; seihe Vorstehendes ab.	1	0
G662-T0005	f102r1	f102r1.5	9	9	10	qokol	P	MEDIAL	P	A	1	Q_COMMAND	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	QOKOL_TO_GRADE	ekey	dain	erhitzen	erhitze	QO_COMMAND+KOL_HOT_MATERIAL	heißes Drogenmaterial	1	1	1	0	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain	ytol sheol she olaiin orain oraroekeol chol ekey qokol ain	[qokol:?]	erhitzen	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	[ytol:?]; feuchtes Material; feucht, attributiv gebunden; [olaiin:?]; [orain:?]; [oraroekeol:?]; trocken; nominal trockenes Gut/Material; [ekey:?]; erhitze bis Grad II	1	0
G662-T0006	f102r1	f102r1.6	3	3	4	oldy	P	MEDIAL	P	A	1	HYBRID	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EXACT_WHOLE	ykeeol	okodaiin	fertiger, abgeseihter Auszug	fertiger, abgeseihter Auszug	OL_MATERIAL+D_FINISHED+Y	fertig aufbereitetes Drogenmaterial	1	1	1	0	daiin ykeeol oldy okodaiin	daiin ykeeol oldy okodaiin	aiin ykeeol oldy okodaiin	[oldy:?]	fertiger, abgeseihter Auszug	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	Grad-/Maßwert III; [ykeeol:?]; fertiger, abgeseihter Auszug; [okodaiin:?]	1	0
G662-T0007	f102r1	f102r1.8	8	8	8	doly	P	EOS	P	A	1	MEASURE	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EXACT_WHOLE	qoteol	<EOS>	eine Dosis Abguss	eine Dosis Abguss	D_DOSE+OL_DECANT+Y	abgemessener Drogenstoff	1	1	1	1	pshodaiin qoorar chopy chofol daiin oteol qoteol doly	pshodaiin qoorar chopy chofol daiin oteol qoteol doly	pshodaiin qoorar chopy chofol daiin oteol qoteol doly	[doly:?]	eine Dosis Abguss	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	[pshodaiin:?]; [qoorar:?]; [chopy:?]; [chofol:?]; Qualitätsgrad III; [oteol:?]; [qoteol:?]; eine Dosis Abguss	1	0
G662-T0008	f102v1	f102v1.10	3	3	10	ydaiin	P	MEDIAL	P	A	1	MEASURE	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EXACT_WHOLE	ol	choraiin	davon drei Maße	davon drei Maße	Y_REFERENCE+DAIIN_DOSE_III	Bezugsdosis III	1	1	1	0	kochor ol ydaiin choraiin sheey ykeey kor shey qokey dy	kochor ol ydaiin choraiin cheey ykeey kor shey qokey dy	kochor ol ydaiin choraiin sheey ykeey korshey qokey dy	[ydaiin:?]	davon drei Maße	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	[kochor:?]; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; davon drei Maße; Blüten-/Pflanzenteil, Menge/Klasse III; feucht am Ende des Grades; [ykeey:?]; heiße Drogenportion; feucht in der Mitte des Grades; heiß in der Mitte des Grades.	1	0
G662-T0009	f102v1	f102v1.11	4	4	10	qokol	P	MEDIAL	P	A	1	Q_COMMAND	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	QOKOL_HEAT_NEXT	qooiin	cheol	erhitzen	erhitze Folgendes:	QO_COMMAND+KOL_HOT_MATERIAL	heißes Drogenmaterial	0	0	1	0	sol chol qooiin qokol cheol chey kolcheey daiin cheody dy	sol chol qooiin qokal cheol chey kolcheey daiin cheody dy	s ol chol qooiin qokol cheol chey k lcheey daiin cheody dy	[qokol:?]	erhitzen	UNKNOWN_SURFACE	READER_BOUNDARY_UNSTABLE	Samenmaterial/Saatgut; trocken; nominal trockenes Gut/Material; [qooiin:?]; erhitze Folgendes: trockener Drogenstoff; trocken in der Mitte des Grades; [kolcheey:?]; Grad-/Maßwert III; getrockneter Ansatz.	1	0
G662-T0010	f102v1	f102v1.12	9	9	10	ey	P	MEDIAL	P	A	1	FUNCTION_WORD	LEARNED_FUNCTION_WORD	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EY_SEQUENCE_NEXT	cheor	pchodaiin	anschließend	anschließend:	LEARNED_SEQUENCE_SIGN	mischen oder Mittelstufe	0	0	1	0	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	ycheol cheol doiir shekcheor sar cheor ckhey pchodaiin	y cheol cheol doiir shekcheor s ar cheor ckhey pchodaiin	[ey:?]	anschließend	UNKNOWN_SURFACE	READER_BOUNDARY_UNSTABLE	Eintrag: trockener Drogenstoff; trockener Drogenstoff; [doiir:?]; [shekcheor:?]; Samen-/Saatgutposten; Drogenfraktion I; trockener Drogenteil; anschließend: [pchodaiin:?]	1	0
