surface	working_meaning_de	composition	strongest_rival_de	card_type	strength	occurrences	scope	status
lkees	stark erhitzte Holzdroge, Endstufe	L_WOOD+K_HOT+EE_END+S_BOUND	heißer L-Rahmenstoff	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V39_REPLACEABLE_NO_SUBSTRING_EXPORT
shar	angefeuchtete Drogenfraktion I	SH_MOIST+AR_FRACTION_I	Feuchtfraktion ohne Zubereitungswert	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	29	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V39_REPLACEABLE_NO_SUBSTRING_EXPORT
ycheeo	Eintrag: zweiter Trockenansatz	Y_ENTRY+CHEE_DRY_II+O_PREP	Y-Grenze vor CHEEO	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	6	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V39_REPLACEABLE_NO_SUBSTRING_EXPORT
otydy	kalter Ansatz in Grundform, fertig	O_PREP+T_COLD+Y_BASE+DY_FINISHED	kalte Zustandsform	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	3	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V39_REPLACEABLE_NO_SUBSTRING_EXPORT
lkedar	erhitzte Holzfraktion I	L_WOOD+K_HOT+ED+AR_FRACTION_I	erhitzte Ansatzfraktion I	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V39_REPLACEABLE_NO_SUBSTRING_EXPORT
far	Pflanzendroge	LEARNED_F_DRUG_WHOLE	Blüten- oder Fruchtdroge	LEARNED_WHOLE	LOW_EXPLORATORY	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V39_REPLACEABLE_NO_SUBSTRING_EXPORT
dsheey	abgemessene, vollständig angefeuchtete Droge	D_MEASURED+SHEEY_MOIST_END	Feuchtmaß am Gradende	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	7	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V39_REPLACEABLE_NO_SUBSTRING_EXPORT
choty	kalter Trockenansatz	CH_DRY+O_PREP+T_COLD+Y_BASE	nur kalt-trockener Zustand	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	34	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V39_REPLACEABLE_NO_SUBSTRING_EXPORT
chkey	trocken-heiß in der Mittelstufe	CH_DRY+K_HOT+EY_MIDDLE	heiß getrocknete Form I	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	4	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V39_REPLACEABLE_NO_SUBSTRING_EXPORT
cheeoldy	vollständig getrockneter Drogenstoff, fertig	CH_DRY+EE_END+OL_MATERIAL+DY_FINISHED	zweite Bindungsstufe	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V39_REPLACEABLE_NO_SUBSTRING_EXPORT
