occurrence_id	page	locus	ordinal	surface	position	reader_exact	split_normalized	all_present_exact	zl3b_line	it2a_line	rf1b_line	claim_boundary
G662-T0001	f100r	f100r.12	1	pcheol	BOS	1	1	0	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	pcheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	pcheol sheod qocpheeckhy shodol da oto chqeos sheey cho s	reader agreement conditions confidence only; it does not identify plaintext
G662-T0002	f102r1	f102r1.14	2	keeol	MEDIAL	1	1	0	doeey keeol qokeo daor shey qoteol okol chos s or oeeaiin	doeey keeol qokeo daor shey qoteol okol chos sor oeeaiin	doeey keeol qokeo d or shey qoteol okol chos s or oeeaiin	reader agreement conditions confidence only; it does not identify plaintext
G662-T0003	f102r1	f102r1.16	9	aral	MEDIAL	0	0	0	ddor chordam soraiin ykeey dy okeol doeoear s aral dor	ddor chordom soraiin ykeey dy okeol doeoeas saral dor	ddor chordam soraiin yeydy okeol oeoear s aral do	reader agreement conditions confidence only; it does not identify plaintext
G662-T0004	f102r1	f102r1.17	6	oly	EOS	1	1	0	ydar arody oldaiin sody chockhy oly	ydar arody oldaiin sody chockhy oly	y ar arody oldaiin sody chockhy oly	reader agreement conditions confidence only; it does not identify plaintext
G662-T0005	f102r1	f102r1.5	9	qokol	MEDIAL	1	1	0	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain	ytol sheol she olaiin orain oraroekeol chol ekey qokol ain	reader agreement conditions confidence only; it does not identify plaintext
G662-T0006	f102r1	f102r1.6	3	oldy	MEDIAL	1	1	0	daiin ykeeol oldy okodaiin	daiin ykeeol oldy okodaiin	aiin ykeeol oldy okodaiin	reader agreement conditions confidence only; it does not identify plaintext
G662-T0007	f102r1	f102r1.8	8	doly	EOS	1	1	1	pshodaiin qoorar chopy chofol daiin oteol qoteol doly	pshodaiin qoorar chopy chofol daiin oteol qoteol doly	pshodaiin qoorar chopy chofol daiin oteol qoteol doly	reader agreement conditions confidence only; it does not identify plaintext
G662-T0008	f102v1	f102v1.10	3	ydaiin	MEDIAL	1	1	0	kochor ol ydaiin choraiin sheey ykeey kor shey qokey dy	kochor ol ydaiin choraiin cheey ykeey kor shey qokey dy	kochor ol ydaiin choraiin sheey ykeey korshey qokey dy	reader agreement conditions confidence only; it does not identify plaintext
G662-T0009	f102v1	f102v1.11	4	qokol	MEDIAL	0	0	0	sol chol qooiin qokol cheol chey kolcheey daiin cheody dy	sol chol qooiin qokal cheol chey kolcheey daiin cheody dy	s ol chol qooiin qokol cheol chey k lcheey daiin cheody dy	reader agreement conditions confidence only; it does not identify plaintext
G662-T0010	f102v1	f102v1.12	9	ey	MEDIAL	0	0	0	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	ycheol cheol doiir shekcheor sar cheor ckhey pchodaiin	y cheol cheol doiir shekcheor s ar cheor ckhey pchodaiin	reader agreement conditions confidence only; it does not identify plaintext
G662-T0011	f102v2	f102v2.20	3	keeol	MEDIAL	1	1	0	qokeor cho keeol okeeey qokeody chockhey qokeey dol ol sheeoy tody cheoc	qekeor cho keeol okeeey qokeody chockhey qokeey dol ol sheeoy tody cheoe	qokeor cho keeol okeeey qokeo y chockhey qokeey dol ol sheeoy to y cheoc	reader agreement conditions confidence only; it does not identify plaintext
