card_id	rendering_class	surface	occurrences	working_render_de	selection_rule	semantic_effect
G662-C01	A_EQUAL_PARTS	a	8	je zu gleichen Teilen	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C02	A_EQUAL_PARTS_CONTINUATION	a	1	zu gleichen Teilen mit Folgendem:	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C03	CHEE_DRY_MATERIAL_NEXT	chee	1	vollständig getrocknetes	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C04	CHL_DRY_FINISH	chl	1	trockne.	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C05	CHL_DRY_NEXT	chl	25	trockne Folgendes:	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C06	CHL_DRY_PREVIOUS_HOT_FRACTION	chl	2	trockne die vorstehende heiße Drogenfraktion I	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C07	EY_MIX_BETWEEN_MATERIALS	ey	1	mische Vorstehendes mit Folgendem:	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C08	EY_MIX_NEXT	ey	1	mische Folgendes:	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C09	EY_MIX_PREVIOUS	ey	1	mische Vorstehendes.	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C10	EY_SEQUENCE_NEXT	ey	11	anschließend:	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C11	OLY_STRAIN_FINISH	oly	36	seihe Vorstehendes ab.	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C12	OLY_STRAIN_PREVIOUS	oly	17	seihe Vorstehendes ab	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C13	PRACTICAL_ACTION	dytory	1	teile als kalte Portion ab	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C14	PRACTICAL_ACTION	dytshy	1	setze danach kalt-feucht an	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C15	PRACTICAL_ACTION	qokeeey	27	erhitze bis Endstufe III	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C16	PRACTICAL_ACTION	sheekchy	2	feuchte vollständig an, dann setze heiß-trocken an	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C17	PRACTICAL_ACTION	shety	7	setze feucht-kalt an	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C18	QODAIIN_GRADE_NEXT	qodaiin	1	Folgendes: Qualitätsgrad III	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C19	QODAIIN_GRADE_PREVIOUS	qodaiin	1	Vorstehendes: Qualitätsgrad III	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C20	QOKOL_DOUBLE_START	qokol	2	erhitze	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C21	QOKOL_HEAT_NEXT	qokol	78	erhitze Folgendes:	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C22	QOKOL_TO_GRADE	qokol	8	erhitze	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C23	QOL_ADD_NEXT	qol	117	gib Folgendes hinzu:	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C24	QOL_ADD_PREVIOUS	qol	15	gib Vorstehendes hinzu	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C25	QO_TAKE_NEXT	qo	48	nimm Folgendes:	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C26	QO_TAKE_PREVIOUS	qo	2	nimm Vorstehendes.	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C27	Y_ENTRY_COMMAND	ycheeo	6	Eintrag: zweiter Trockenansatz	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C28	Y_ENTRY_COMMAND	ycho	3	Eintrag: Trockenansatz	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C29	Y_ENTRY_COMMAND	ykchokeo	1	Eintrag: heiß-trockener Auszug	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C30	Y_ENTRY_COMMAND	ypshedy	1	Eintrag: fertige Pulverpaste	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
G662-C31	Y_ENTRY_COMMAND	ytchocthol	1	Eintrag: kalt-trockener Krautansatz	exact token equality; position only where named in the rendering class	practical German rendering; exact whole default and source surface remain visible
