counterexample	joint_tuple_ids	surface_forms	retained_reading_de	reason
AL_NOT_BODY	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	Stelle	The same card appears at plant, pool, vessel, gap and apparatus owners.
QOKALY_FILTER_CONTEXT	4a7a6326ac95a8809302	qokaly	Posten zur Stelle setzen	Its only event is immediately followed by cloth, passage, measure, warmth and withdrawal.
LCHEEY_NOT_ANATOMY	5fca8fc3dee57e1d8c1f	lcheey	benetzte Stelle	Figures touch the lower pool, but no named body part is drawn.
LDDY_ONE_CARD_ONLY	eb2e4bc143f623ee03ac	qokylddy	Posten befestigen; Schluss	Befestigen is a learned one-card core, not a productive L/DD/DY morphology.
OKEEDY_NOT_ALWAYS_SOAK	7d25241b0e56c836372a	qokeedy	länger einwirken; Schluss	Ten cells include liquid, cloth, mixture and owner-ambiguous contexts.
KCHOL_WHOLE_CARD	893c570f3fa3fce99711	kchol	auflegen	The value does not license K or CHOL as a global application morpheme.
ACTION_DECK_NO_SHARED_ROOT	c10aec6d4dd877ec8bd8|74c76d589d44120f647b|348e81ba084c5acdb32b|95987d6f198d6d247511	choy|dsheol|shecthedchy|cheeckhody	waschen|einreiben|aufstreichen|auftragen	These are learned specialist cards, not a fabricated substring paradigm.
DY_EXACT_CARD_ONLY	7db18b2f0fb7ed0fcfd3|7d25241b0e56c836372a|d25110e0d8488927278f	qokedy|qokeedy|qokeeedy	licensed contact closes	Visible dy alone remains insufficient; exact identity licenses closure.
CHOY_NO_GLOBAL_O_WATER	c10aec6d4dd877ec8bd8	choy	waschen	Water is supplied by the H5 reading and does not turn O or Y into water.
BODY_APPARATUS_ISOMORPHY	08bd5ca0c2ad137a056d|0275fbf14e07935b0a45	okey|okeey	kurz anlegen|länger halten	The same contact grammar describes a body application, bath, cloth or apparatus insert.
