candidate_component	current_best_constraint	why_not_closed	working_default_until_better_model	prediction_that_could_improve_it
DAL_LO_SSHK_HULLS	lokale Hüllen der CHD~CHED-Familie	je nur ein Beleg und kein stabiler Gegenkontrast	keine eigene Stammübersetzung	Ein Minimalpaar gegen dieselbe CHD~CHED-Basis wäre nötig
D_S_T_SURFACES	Renderer- oder Hüllvarianten ohne getrennte Bedeutung	dchedy, schedy und tchedy sind dieselbe anonyme Karte	Arbeitsbewegung abschließen	Nur getrennte exakte Karten mit konstant verschiedener Funktion dürften daraus neue Kerne machen
GLOBAL_E	bounded state grade in exact OK OT SHED CHK and SOLK families	allography and lexical CHED/CKHE still block a global letter rule	use E/EE/EEE only in the selected lattice	another core should independently fill both Y and terminal cells
MEMORIZED_WHOLE_CARDS	six application actions and two site cards now have short stable defaults	the remaining local nomenclator still lacks substitutions	retain short exact-card values	another record should reuse one application card in the same action slot
GLOBAL_P	P+CHED points inward or toward a receiver in two fixed cards	no independent P card or reversed minimal pair	use only inside pchedy and pchedal	another P+CHED argument pair should retain receiver direction
GLOBAL_SH	bounded SHED rest/settle family	ch/sh/t vary inside one exact card	rest/settle only in selected SHED exact cards	an independent SH base should retain rest value
GLOBAL_CHK	bounded CHK warmth family with two learned templates	CHEKY/CHEEKY and CHKEEY/CHKEEDY do not share a literal segmentation	warmth only in four selected CHK cards	a new CHK argument should preserve warmth
GLOBAL_SOLK	owner-local graded Auffangstellenfamilie	the five events remain tied to Biological station owners	short/länger auffangen only in the three selected exact cards	reuse at an independent Herbal owner
GENERAL_OK_REDUPLICATION	qokokchy is read as repeat rather than intensity	one doubled-OK card	repeat only in qokokchy	a second OK+OK minimal pair should repeat its single-OK operation
GENERAL_OK_AL_Y_ORDER	qokaly composes as put current item at target	one card and no reversed argument-order pair	use the selected whole construction	another OK+AL+Y or OK+Y+AL card should clarify binding order
AIR_EXACT_SUBSTANCE	moving liquid in a run	the drawings show no arrows and the Herbal owner shows no liquid	flowing liquid without specifying pure water	another AIR card should preserve motion while allowing a different liquid
CHEO_EXACT_LIQUID	extract or carrier liquid	two Herbal events do not distinguish water oil wine or decoction	extract liquid	another CHEO compound should preserve carrier/extract behavior
LDDY_PORTABILITY	selected learned core BEFESTIGEN; SCHLUSS inside qokylddy	one exact card cannot establish a portable free component	Posten befestigen; Schluss	a second LDDY carrier should retain fastening under another owner
IIN_LOCAL_DIMENSION	portable grade or setting	the two recurrent and two extended cards do not identify heat concentration duration or aperture	grade or work stage	another IIN card should contrast two settings of the same operation
LONG_AIIN_HULLS	several long exact cards admit an AIIN contribution	CHO D SOLK and SHFY hulls are not independently complete paradigms	use the selected concrete whole construction	a second occurrence should preserve the measure slot under a new owner
OR_INTERNAL_STRINGS	OR composes in OR OLOR OTCHOR CHOCHOR and ORAIN	YCHE and OYK hulls may merely contain the same surface letters	split selected CHOCHOR, but keep YCHEOR and OYKCHOR whole	another CHO+OR card should retain plant-preparation value
CTHAIIN_WHOLE_CARD	CTH is ready and AIIN is measure elsewhere	the lone exact CTHAIIN card has no parallel and the old action reading remains usable	Kraut zerstoßen	a second CTH+measure card should mark a readiness threshold
VISIBLE_DY_GLOBALITY	closure belongs to licensed exact-card frames	the nonterminal Y card itself can be visibly rendered dy	never close from visible spelling alone	none; exact-card identity remains mandatory
SHECTHY_FLUID_HULL	a CTH contribution is possible inside a learned fluid card	one event does not identify water oil wine decoction or a ready-state contribution	retain the learned whole card warmes Wasser	another SHE+CTH card should retain a ready-fluid value
CKH_SURFACE_PORTABILITY	CKH=Durchlauf and CKHE=seihen only in three exact cards	similar CKH surfaces also label learned position, opening and application cards	exact-card override before visible segmentation	a new exact CKH argument should preserve passage under a different owner
SHEY_PRODUCT_VS_STATE	the exact card is read as Klarauszug	three Biological contexts also permit a clarity check or clear outflow	Klarauszug as the short whole-card default	a statement should contrast the liquid before and after the same exact card
TSHEY_MEDIUM_VS_START	Spülflüssigkeit before a sustained soak	the one event also permits begin the rinse	Spülflüssigkeit	a second TSHEY occurrence should remain a medium when not field-initial
BODY_VS_APPARATUS_TARGET	AL is a neutral site and the same contact grid fits both branches	most Biological owners combine figures with vessels or conduits	medical reading first where direct figure-fluid contact exists; technical rival elsewhere	a site card should recur at a visually unambiguous body-only or apparatus-only owner
DSHEOL_VS_SHECTHEDCHY	einreiben versus aufstreichen as two learned action defaults	one event each and no shared owner contrast	keep the two concrete hand actions distinct	reuse should preserve the rub/spread distinction
CHOY_WATER_CONTENT	CHOY=waschen; water is the H5 local medium	one event	waschen	reuse without water should retain the wash action
OKEEDY_HOLD_VS_SOAK	portable default is longer action/contact; liquid contexts expand to soaking	ten events span several owner types but their objects are inherited	länger einwirken; Schluss	a new non-liquid owner should still support sustained contact
