stage	joint_tuple_id	surface_family	formula	occurrences	events	locations	realized_surfaces	records	pages	owners	short_constant_meaning_de	body_application_realization_de	apparatus_maintenance_realization_de	occurrence_branch_decision	image_geometry_support	strongest_rival	selection	affected_statements	complete_affected_statements_de
TARGET	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	AL	10	E082|E109|E156|E166|E214|E268|E272|E278|E359|E365	f56r:f56r.7:F015|f81v:f81v.2:F022|f81v:f81v.24:F039|f81v:f81v.27:F044|f82r:f82r.26:F063|f83r:f83r.14:F091|f83r:f83r.14:F092|f83r:f83r.15:F093|f83r:f83r.41:F127|f83r:f83r.48:F132	dal|al|sal|chal|cheal|dal|dal|tal|dal|dal	B1|B2|B3|B4|B5|H5	f56r|f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_LOWER_POOL_EDGE_STATIONS|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION|B5_LEFT_OPEN_FRINGE_STATION|WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	Ziel- oder Arbeitsstelle	Körper-, Auflage- oder Badestelle	Becken-, Gefäß-, Leitungs- oder Übergabestelle	H5-S001 als Auflagestelle textlich plausibel; B1/B2 als lokale Bade- oder Beckenadresse; B3-Lücke neutral; B4-S016 und B5-S003 stationsnah	Herbal zeigt nur die Pflanze; B1 zeigt ein gemeinsames Figurenfeld; B2 lokale Randstationen; f83r zusätzlich S-Lauf und offenen Endposten	Keine sichtbare Markierung entscheidet Haut gegen Bauteil	SELECTED_NEUTRAL_TARGET	H5-S001|B1-S002|B1-S017|B1-S021|B2-S016|B3-S020|B3-S021|B4-S016|B5-S003	H5-S001 [chochor · cho · chodaly · daiin · sho · kchol · otchor · choky · dal] = Pflanzenzubereitung; Pflanze; Blütebeginn; vorgeschriebenes Maß; Pflanze; auflegen; die nächste Zubereitung; den laufenden Posten einsetzen; Zielstelle || B1-S002 [okaiin · kair · okal · sar · ol · kain · olkain · al · ol · rol · dl · olor · ol · sheckhal · daiin · qokeedal · daiin · chckhy · schedy] = Auf das vorgeschriebene Maß einstellen; laufende Beckenflüssigkeit; an der Zielstelle einsetzen; aus demselben Vorrat; mit Vorigem weiter; eine Portion; eine weitere Portion zugeben; Zielstelle; mit Vorigem weiter; vor dem Abkühlen; Badezusatz; mit der vorigen Zubereitung; mit Vorigem weiter; mäßige Menge; vorgeschriebenes Maß; an der Zielstelle länger einwirken lassen; vorgeschriebenes Maß; durch den Durchlauf führen; Arbeitsbewegung abschließen || B1-S017 [sal · teol · dchdy] = Zielstelle; erste Öffnung; Umsetzung abschließen || B1-S021 [chal] = Zielstelle || B2-S016 [cheal · lchedar · ches · aiin · oteey · qokaiin · okey · pchedy] = Zielstelle; aus der Quelle hinausführen; gleiche Anteile; vorgeschriebenes Maß; den nächsten Posten länger einwirken lassen; auf das vorgeschriebene Maß einstellen; den laufenden Posten kurz anlegen; hineinführen; Schluss || B3-S020 [dal · lchedy] = Zielstelle; hinausführen; Schluss || B3-S021 [qokaiin · shcthy · dal · sy · saiin · shedal · shecthy · chey · tal · shcthy · dalchdy] = Auf das vorgeschriebene Maß einstellen; gebrauchsfertig; Zielstelle; dieser Arbeitsposten; vorgeschriebenes Maß; Ruhe- oder Absetzstelle; warmes Wasser; dieser Arbeitsposten; Zielstelle; gebrauchsfertig; lokal umsetzen; Schluss || B4-S016 [qolkain · dal · skar · shedy] = Eine weitere Portion zugeben; Zielstelle; erwärmtes Medium ausgießen; ruhen oder absetzen; Schluss || B5-S003 [shedal · dal · cheol · lol · chdal · aiin · sol · daiiin · chedy] = Ruhe- oder Absetzstelle; Zielstelle; mit Vorigem weiter; bis warm; an der Zielstelle umsetzen; vorgeschriebenes Maß; mit Vorigem weiter; zweite Öffnungsstufe; den laufenden Posten umsetzen oder durcharbeiten
TARGET_APPLY	308e8ea2d5d190c498e8	okal|qokal	Q~OK+AL	6	E069|E104|E152|E172|E186|E241	f55v:f55v.11:F013|f81v:f81v.2:F022|f81v:f81v.24:F038|f82r:f82r.2:F048|f82r:f82r.4:F052|f83r:f83r.6:F076	okal|okal|qokal|qokal|qokal|qokal	B1|B2|B3|H4	f55v|f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|WHOLE_BROAD_LEAF_PANICLED_PLANT	an der Zielstelle einsetzen	Ansatz an die bezeichnete Körper- oder Auflagestelle bringen	Charge, Tuch oder Arbeitsstück an der bezeichneten Station einsetzen	H4-S004 bleibt mögliche äußere Anwendung; B1-S002/B1-S016/B2-S004/B2-S006/B3-S006 sind wegen Durchlauf-, Öffnungs- und Stationsnachbarn technisch stärker	Kein Herbal-Gerät; biologische Besitzer sind Becken-, Zylinder- und Gefäßstationen mit Figuren, aber ohne Zielpfeil	Karte kann eine Badestelle adressieren, ohne selbst Körper zu bedeuten	SELECTED_NEUTRAL_TARGET_APPLY	H4-S004|B1-S002|B1-S016|B2-S004|B2-S006|B3-S006	H4-S004 [aiin · okal · oltchy · or · y · orain] = Vorgeschriebenes Maß; an der Zielstelle einsetzen; gelind erwärmen; Zubereitung; dieser Arbeitsposten; eine Portion der Zubereitung || B1-S002 [okaiin · kair · okal · sar · ol · kain · olkain · al · ol · rol · dl · olor · ol · sheckhal · daiin · qokeedal · daiin · chckhy · schedy] = Auf das vorgeschriebene Maß einstellen; laufende Beckenflüssigkeit; an der Zielstelle einsetzen; aus demselben Vorrat; mit Vorigem weiter; eine Portion; eine weitere Portion zugeben; Zielstelle; mit Vorigem weiter; vor dem Abkühlen; Badezusatz; mit der vorigen Zubereitung; mit Vorigem weiter; mäßige Menge; vorgeschriebenes Maß; an der Zielstelle länger einwirken lassen; vorgeschriebenes Maß; durch den Durchlauf führen; Arbeitsbewegung abschließen || B1-S016 [qokal · okeey · qol · cheedy] = An der Zielstelle einsetzen; den laufenden Posten länger einwirken lassen; mit Vorigem weiter; ruhen oder absetzen; Schluss || B2-S004 [qokal · lcheckhy · lched · qokeey · lcheckhedy] = An der Zielstelle einsetzen; zweite Öffnung; hinausführen; den laufenden Posten länger einwirken lassen; klar seihen; Schluss || B2-S006 [oteey · qokal · sheckhy · qoky] = Den nächsten Posten länger einwirken lassen; an der Zielstelle einsetzen; über der Stelle; den laufenden Posten einsetzen || B3-S006 [chedchy · qokal · olchedy] = Den laufenden Posten zuführen oder umsetzen; an der Zielstelle einsetzen; weiterführen; Schluss
TARGET_APPLY	4a7a6326ac95a8809302	qokaly	Q~OK+AL+Y	1	E177	f82r:f82r.3:F050	qokaly	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	laufenden Posten an der Zielstelle einsetzen	laufende Auflage an die Körperstelle setzen	laufende Charge am Zielanschluss einsetzen	B2-S005 ist wegen unmittelbar folgendem Seihtuch, Durchlauf, Maß und Abzug klar der technische Zweig	Obere f82r-Paarbecken-/Zylinderstation; Bögen und Handkontakt am Bogen, aber keine Hautzielmarke	Eine Badeanwendung bleibt möglich, erklärt die Filterkette aber schlechter	SELECTED_APPARATUS_CONTEXT	B2-S005	B2-S005 [qokaly · solkaiin · chckhy · qokaiin · qokaiin · octheol · chkeey · ldy] = Den laufenden Posten an der Zielstelle einsetzen; Seihtuch; durch den Durchlauf führen; auf das vorgeschriebene Maß einstellen; auf das vorgeschriebene Maß einstellen; gleiche Einstellung; den laufenden Posten länger warm halten; abziehen; Ende
TARGET	90bcf0a9ec0ef56399e6	otal|qotal	OT+AL	3	E230|E237|E320	f83r:f83r.3:F072|f83r:f83r.3:F074|f83r:f83r.25:F111	qotal|qotal|otal	B3|B4	f83r	B3_UPPER_MARGIN_OPEN_FAN_STATION|B4_MAIN_ARCH_LINKED_PAIR	danach zur Zielstelle	danach zur nächsten Körper- oder Badestelle	danach zur nächsten Gefäß- oder Leitungsstation	B3-S002/B3-S004 folgen der offenen Fächerstation; B4-S003 der Bogenpaarstation; jeweils Stationsfolge, nicht bewiesene Flussrichtung	f83r zeigt lokale Stationen und einen echten, aber ungerichteten Bogen; kein Pfeil	Ablauf ist nur eine lokale technische Ausführung, nicht Kartenbedeutung	SELECTED_NEUTRAL_NEXT_TARGET	B3-S002|B3-S004|B4-S003	B3-S002 [qotal · chkeedy] = Danach zur Zielstelle; länger warm halten; Schluss || B3-S004 [qokaiin · qotal · dar] = Auf das vorgeschriebene Maß einstellen; danach zur Zielstelle; aus demselben Vorrat || B4-S003 [chedy · otal · otchey · qokeey · qoky · tol · shedy] = Den laufenden Posten umsetzen oder durcharbeiten; danach zur Zielstelle; den nächsten Posten wählen; den laufenden Posten länger einwirken lassen; den laufenden Posten einsetzen; mit Vorigem weiter; ruhen oder absetzen; Schluss
TARGET_HOLD	93f69c38fdedee1598e9	qokeedal	Q~OK+EE+AL	1	E117	f81v:f81v.7:F023	qokeedal	B1	f81v	B1_SHARED_TWO_ROW_POOL	an der Zielstelle länger in Kontakt halten	Ansatz länger an der bezeichneten Körperstelle halten	Charge oder Werkzeug länger an der bezeichneten Station halten	B1-S002 ist eine lange Becken-/Durchlaufbuchung; Stationshaltung ist stärker, ein Teilbad aber mit demselben Wert lesbar	Gemeinsames f81v-Figuren-/Beckenfeld; keine einzelne Eintauchstelle oder Leitung ist dem Wort zugewiesen	Der alte Ganzwert eingetauchter Teil war zu eng	SELECTED_NEUTRAL_TARGET_HOLD	B1-S002	B1-S002 [okaiin · kair · okal · sar · ol · kain · olkain · al · ol · rol · dl · olor · ol · sheckhal · daiin · qokeedal · daiin · chckhy · schedy] = Auf das vorgeschriebene Maß einstellen; laufende Beckenflüssigkeit; an der Zielstelle einsetzen; aus demselben Vorrat; mit Vorigem weiter; eine Portion; eine weitere Portion zugeben; Zielstelle; mit Vorigem weiter; vor dem Abkühlen; Badezusatz; mit der vorigen Zubereitung; mit Vorigem weiter; mäßige Menge; vorgeschriebenes Maß; an der Zielstelle länger einwirken lassen; vorgeschriebenes Maß; durch den Durchlauf führen; Arbeitsbewegung abschließen
APPLY	08bd5ca0c2ad137a056d	okey|qokey	OK+E+Y	2	E142|E220	f81v:f81v.21:F034|f82r:f82r.26:F063	qokey|okey	B1|B2	f81v|f82r	B1_SHARED_TWO_ROW_POOL|B2_LOWER_POOL_EDGE_STATIONS	laufenden Posten kurz anlegen oder benetzen	Ansatz kurz an die Körperstelle legen oder auftupfen	Arbeitsstück kurz ansetzen oder Station kurz benetzen	B1-S012 ist durch Waschrahmen körper-/badnah; B2-S016 durch Quelle, Portionen und Hineinführen stationsnah	B1 Figuren im gemeinsamen Pool; B2 Figuren und kleine Gefäße am Beckenrand; kein gezeichnetes Pflaster	Wasser ist lokale Ausführung, nicht EY-Bedeutung	SELECTED_GRADED_OPEN_CONTACT	B1-S012|B2-S016	B1-S012 [lsho · qokey · lshedy] = Waschgang; den laufenden Posten kurz anlegen; waschen; Schluss || B2-S016 [cheal · lchedar · ches · aiin · oteey · qokaiin · okey · pchedy] = Zielstelle; aus der Quelle hinausführen; gleiche Anteile; vorgeschriebenes Maß; den nächsten Posten länger einwirken lassen; auf das vorgeschriebene Maß einstellen; den laufenden Posten kurz anlegen; hineinführen; Schluss
HOLD	0275fbf14e07935b0a45	okeey|qokeey	OK+EE+Y	7	E153|E175|E194|E205|E293|E317|E322	f81v:f81v.24:F038|f82r:f82r.3:F049|f82r:f82r.7:F056|f82r:f82r.23:F059|f83r:f83r.20:F101|f83r:f83r.25:F110|f83r:f83r.26:F112	okeey|qokeey|qokeey|qokeey|qokeey|qokeey|qokeey	B1|B2|B3|B4	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_LOWER_GREEN_MULTI_FIGURE_POOL|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR	laufenden Posten länger in Kontakt halten	Auflage oder Badekontakt länger halten	Charge, Werkzeug oder Leitung länger in Arbeitskontakt halten	B2-S012 ist nach Besitzerreset und mit benetzter Stelle körpernah; B2-S004/B2-S010 sowie B4-S002/B4-S003 sind Prozess-/Stationswerte; B1-S016 und B3-S028 bleiben beidseitig lesbar	Vom gemeinsamen Pool über Geräteknoten und Mehrfigurenfeld bis zum ungerichteten Bogen; Geometrie wechselt, der Kontaktwert bleibt	Nicht als Wärme- oder Wasserwort lesen	SELECTED_GRADED_OPEN_CONTACT	B1-S016|B2-S004|B2-S010|B2-S012|B3-S028|B4-S002|B4-S003	B1-S016 [qokal · okeey · qol · cheedy] = An der Zielstelle einsetzen; den laufenden Posten länger einwirken lassen; mit Vorigem weiter; ruhen oder absetzen; Schluss || B2-S004 [qokal · lcheckhy · lched · qokeey · lcheckhedy] = An der Zielstelle einsetzen; zweite Öffnung; hinausführen; den laufenden Posten länger einwirken lassen; klar seihen; Schluss || B2-S010 [qokeey · qoky · ls · cheey] = Den laufenden Posten länger einwirken lassen; den laufenden Posten einsetzen; erste Öffnung; Klarauszug || B2-S012 [lchy · cheey · qcthey · qokeey · lcheey · daiin · chey · qokeeedy] = Den flüssigen Anteil des laufenden Postens abziehen; Klarauszug; den laufenden Posten gebrauchsfertig halten; den laufenden Posten länger einwirken lassen; benetzte Körperstelle; vorgeschriebenes Maß; dieser Arbeitsposten; vollständig durchtränken; Schluss || B3-S028 [qokeey · qokedy] = Den laufenden Posten länger einwirken lassen; kurz benetzen; Schluss || B4-S002 [qolchey · qokeey · qokedy] = Gefäß füllen; den laufenden Posten länger einwirken lassen; kurz benetzen; Schluss || B4-S003 [chedy · otal · otchey · qokeey · qoky · tol · shedy] = Den laufenden Posten umsetzen oder durcharbeiten; danach zur Zielstelle; den nächsten Posten wählen; den laufenden Posten länger einwirken lassen; den laufenden Posten einsetzen; mit Vorigem weiter; ruhen oder absetzen; Schluss
WASH_CLOSE	7db18b2f0fb7ed0fcfd3	qokedy	OK+E+DY	8	E101|E137|E138|E259|E294|E297|E318|E335	f81v:f81v.2:F021|f81v:f81v.18:F031|f81v:f81v.18:F032|f83r:f83r.11:F083|f83r:f83r.20:F101|f83r:f83r.20:F102|f83r:f83r.25:F110|f83r:f83r.28:F117	qokedy|qokedy|qokedy|qokedy|qokedy|qokedy|qokedy|qokedy	B1|B3|B4	f81v|f83r	B1_SHARED_TWO_ROW_POOL|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR	kurz benetzen oder spülen; Schluss	Körperstelle kurz waschen und den Schritt schließen	Becken, Leitung oder Arbeitsstück kurz spülen und den Schritt schließen	B1-S001/B1-S009/B1-S010 sind Poolspülungen; B3-S013/B3-S029/B4-S002/B4-S008 stations- oder chargennah; B3-S028 bleibt echtes Doppelbild	Figurenfelder und Gefäßstationen stützen Kontakt mit Flüssigkeit; f83r hat keine Pfeilrichtung	Körperwaschen und Leitungswartung sind lokale Realisierungen desselben kurzen Kontaktschlusses	SELECTED_GRADED_CLOSED_CONTACT	B1-S001|B1-S009|B1-S010|B3-S013|B3-S028|B3-S029|B4-S002|B4-S008	B1-S001 [qokedy] = Kurz benetzen; Schluss || B1-S009 [qokedy] = Kurz benetzen; Schluss || B1-S010 [qokedy] = Kurz benetzen; Schluss || B3-S013 [qokaiin · chkain · shcthey · qokedy] = Auf das vorgeschriebene Maß einstellen; eine Portion; den laufenden Posten gebrauchsfertig halten; kurz benetzen; Schluss || B3-S028 [qokeey · qokedy] = Den laufenden Posten länger einwirken lassen; kurz benetzen; Schluss || B3-S029 [sol · cheeety · qokedy] = Mit Vorigem weiter; erste Spülung; kurz benetzen; Schluss || B4-S002 [qolchey · qokeey · qokedy] = Gefäß füllen; den laufenden Posten länger einwirken lassen; kurz benetzen; Schluss || B4-S008 [saiin · cheeky · sheey · qokedy] = Vorgeschriebenes Maß; länger warm halten; erste Öffnung; kurz benetzen; Schluss
HOLD_CLOSE	7d25241b0e56c836372a	qokeedy	OK+EE+DY	10	E171|E201|E213|E224|E227|E245|E265|E302|E315|E329	f82r:f82r.2:F047|f82r:f82r.19:F057|f82r:f82r.26:F062|f82r:f82r.27:F066|f82r:f82r.27:F069|f83r:f83r.6:F077|f83r:f83r.14:F088|f83r:f83r.22:F105|f83r:f83r.25:F109|f83r:f83r.27:F114	qokeedy|qokeedy|qokeedy|qokeedy|qokeedy|qokeedy|qokeedy|qokeedy|qokeedy|qokeedy	B2|B3|B4	f82r|f83r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_POOL_EDGE_STATIONS|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR	länger in Kontakt halten oder einweichen; Schluss	Bad, Waschung oder feuchte Auflage länger wirken lassen; Schluss	Tuch, Charge, Beckenbereich oder Einsatz länger einweichen; Schluss	B2-S003/B2-S015 sowie einige Figurenstationen sind badnah; B2-S011 ist Mischungszubereitung; B4-S001/B4-S005 sind durch den B4-Tuchrahmen Auflagenvorbereitung; ungelöste Einzelzellen bleiben neutral	Figuren in Becken und Gefäßen erlauben Badekontakt; B4-Bogen zeigt aber weder Tuch noch Hautstelle	Nicht jede Zelle ist baden; das Objekt wird vom Besitzer oder Nachbarwort geerbt	SELECTED_GRADED_CLOSED_CONTACT	B2-S003|B2-S011|B2-S015|B2-S018|B2-S021|B3-S007|B3-S017|B3-S031|B4-S001|B4-S005	B2-S003 [qokain · dy · qokeedy] = Eine Portion zugeben; dieser Arbeitsposten; länger einweichen; Schluss || B2-S011 [okain · char · okain · qokeedy] = Eine Portion zugeben; aus demselben Vorrat; eine Portion zugeben; länger einweichen; Schluss || B2-S015 [tshey · qokeedy] = Spülflüssigkeit; länger einweichen; Schluss || B2-S018 [qokeedy] = Länger einweichen; Schluss || B2-S021 [qokeedy] = Länger einweichen; Schluss || B3-S007 [qokaiin · chedy · qokeedy] = Auf das vorgeschriebene Maß einstellen; den laufenden Posten umsetzen oder durcharbeiten; länger einweichen; Schluss || B3-S017 [qokeedy] = Länger einweichen; Schluss || B3-S031 [qokeedy] = Länger einweichen; Schluss || B4-S001 [qokeedy] = Länger einweichen; Schluss || B4-S005 [dain · chedy · qokeedy] = Tuch; den laufenden Posten umsetzen oder durcharbeiten; länger einweichen; Schluss
SATURATE_CLOSE	d25110e0d8488927278f	qokeeedy	OK+EEE+DY	1	E209	f82r:f82r.23:F059	qokeeedy	B2	f82r	B2_LOWER_GREEN_MULTI_FIGURE_POOL	vollständig benetzen oder durchtränken; Schluss	bezeichneten Körperbereich oder Auflage vollständig benetzen; Schluss	Tuch, Einsatz oder Stationsfläche vollständig durchtränken; Schluss	B2-S012 ist wegen LCHEEY und direktem Mehrfigurenpool der stärkste Körperanwendungsfall, doch Tuchtränkung bleibt technisch möglich	Unteres grünes Mehrfigurenfeld: Figuren schneiden die grüne Fläche direkt, aber kein bestimmter Körperteil ist markiert	Die dritte Stufe sagt Vollständigkeit, nicht welches Objekt nass wird	SELECTED_GRADED_CLOSED_CONTACT	B2-S012	B2-S012 [lchy · cheey · qcthey · qokeey · lcheey · daiin · chey · qokeeedy] = Den flüssigen Anteil des laufenden Postens abziehen; Klarauszug; den laufenden Posten gebrauchsfertig halten; den laufenden Posten länger einwirken lassen; benetzte Körperstelle; vorgeschriebenes Maß; dieser Arbeitsposten; vollständig durchtränken; Schluss
