event_id	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	surface_display	chain_stage	atomic_default_de	selected_composition_de	contextual_passage_de	strongest_rival_de	decision_note	previous_surface	next_surface
E069	H4	f55v	f55v.11	F013	H4-S004	308e8ea2d5d190c498e8	okal	TARGET	AN DIE STELLE GEBEN	OK=EINSETZEN; AL=STELLE	Das vorgeschriebene Maß an die Stelle geben und gelind erwärmen	IN EIN GEFÄSS GEBEN	Stelle bleibt owner-lokal; hier kann es eine Anwendungsstelle sein	aiin	oltchy
E079	H5	f56r	f56r.7	F015	H5-S001	893c570f3fa3fce99711	kchol	LAY	AUFLEGEN	GELERNTE GANZKARTE	Die Pflanzenzubereitung am Blütebeginn bemessen und auflegen	ZUGEBEN	Direkte Auflagehandlung vor der nächsten Zubereitung	sho	otchor
E082	H5	f56r	f56r.7	F015	H5-S001	dd0ecaf5e27d81befffc	dal	TARGET	STELLE	AL=STELLE; D=RENDERER	Den laufenden Posten an dieser Stelle anwenden	ZIELBEHÄLTER	Der Besitzer entscheidet Körperstelle oder Werkstattstation	choky	END
E084	H5	f56r	f56r.8	F016	H5-S002	c10aec6d4dd877ec8bd8	choy	WASH	WASCHEN	GELERNTE GANZKARTE	Die Stelle mit der vorigen Zubereitung waschen	MIT WASSER WASCHEN	Wasser bleibt lokale Ausführung; Kartenwert ist die Handlung	schol	choky
E086	H5	f56r	f56r.8	F016	H5-S002	95987d6f198d6d247511	cheeckhody	SMEAR_CLOSE	AUFTRAGEN; SCHLUSS	GELERNTE ANWENDUNGSKARTE+DY	Den laufenden Posten äußerlich auftragen; Schluss	ALLGEMEIN ANWENDEN	Topische Handlung wird durch H5-KCHOL und Waschkontext bevorzugt	choky	END
E101	B1	f81v	f81v.2	F021	B1-S001	7db18b2f0fb7ed0fcfd3	qokedy	WET_CLOSE	KURZ BENETZEN; SCHLUSS	OK=ANWENDEN; E=KURZ; DY=SCHLUSS	Kurz benetzen; Schluss	KURZ EINWIRKEN	Geschlossene Kurzkarte ohne benannte Substanz	START	END
E104	B1	f81v	f81v.2	F022	B1-S002	308e8ea2d5d190c498e8	okal	TARGET	AN DIE STELLE GEBEN	OK=EINSETZEN; AL=STELLE	Die laufende Beckenflüssigkeit an die Stelle geben	IN DEN LAUF GEBEN	Lokale Badestation statt zwingender Körperstelle	kair	sar
E109	B1	f81v	f81v.2	F022	B1-S002	dd0ecaf5e27d81befffc	al	TARGET	STELLE	AL=STELLE	Die weitere Portion an der Stelle mit dem vorigen Gang fortführen	AUSLASS	Neutraler Stellenwert	olkain	ol
E117	B1	f81v	f81v.7	F023	B1-S002	93f69c38fdedee1598e9	qokeedal	HOLD_AT_TARGET	AN DER STELLE HALTEN	OK=ANWENDEN; EE=LÄNGER; AL=STELLE	Zwischen zwei Tuchkontakten länger an der Stelle halten	LÄNGER EINWEICHEN	Tuch–Haltephase–Tuch passt zu Umschlag oder Durchlass	daiin	daiin
E137	B1	f81v	f81v.18	F031	B1-S009	7db18b2f0fb7ed0fcfd3	qokedy	WET_CLOSE	KURZ BENETZEN; SCHLUSS	OK=ANWENDEN; E=KURZ; DY=SCHLUSS	Kurz benetzen; Schluss	KURZ EINWIRKEN	Eigenständiger kurzer Waschgang	START	END
E138	B1	f81v	f81v.18	F032	B1-S010	7db18b2f0fb7ed0fcfd3	qokedy	WET_CLOSE	KURZ BENETZEN; SCHLUSS	OK=ANWENDEN; E=KURZ; DY=SCHLUSS	Kurz benetzen; Schluss	KURZ EINWIRKEN	Wiederholter kurzer Waschgang	START	END
E142	B1	f81v	f81v.21	F034	B1-S012	08bd5ca0c2ad137a056d	qokey	LAY_BRIEF	KURZ ANLEGEN	OK=ANWENDEN; E=KURZ; Y=POSTEN	Im Waschgang den Posten kurz anlegen und danach abwaschen	KURZ BENETZEN	Offene Kurzkarte zwischen Waschbeginn und Waschschluss	lsho	lshedy
E146	B1	f81v	f81v.21	F036	B1-S014	c205570c49d4d93c23d3	qolky	TARGET	BEHANDLUNGSSTELLE	GELERNTE GANZKARTE	Den Posten an der Behandlungsstelle durcharbeiten und danach auslassen	BETROFFENE STELLE	Behandlung ist kürzer und schließt apparative Stelle nicht aus	chedy	lchedal
E152	B1	f81v	f81v.24	F038	B1-S016	308e8ea2d5d190c498e8	qokal	TARGET	AN DIE STELLE GEBEN	OK=EINSETZEN; AL=STELLE	Den Posten an die Stelle geben	AN DER ZIELSTELLE EINSETZEN	Kürzerer konstanter Werkstattwert	START	okeey
E153	B1	f81v	f81v.24	F038	B1-S016	0275fbf14e07935b0a45	okeey	HOLD_OPEN	LÄNGER HALTEN	OK=ANWENDEN; EE=LÄNGER; Y=POSTEN	An der Stelle länger halten und danach ruhen lassen	LÄNGER EINWIRKEN LASSEN	Halten ist die kürzere gemeinsame Anwendungshandlung	qokal	qol
