component_id	locus	edge_ids	edge_count	edge_node_ordinals	edge_node_count	shared_edge_node_ordinals	edge_hull_start	edge_hull_end	edge_hull_position_count	hull_only_ordinals	render_window_start	render_window_end	render_only_structural_ordinals	render_window_token_count	topology	action_ordinals	support_profile	expected_surfaces	observed_surfaces	microrecord_de	component_basis	boundary_note_de	forbidden_inference	final_result_status	origin	edge_delta	word_delta	v76_change	v77_edge_delta	v77_change	v78_edge_delta	v78_change	v79_edge_delta	v79_change	status
M001	f104v.2	C009	1	4|5|6	3	NONE	4	6	3	NONE	4	6	NONE	3	SINGLE_EDGE	6	B_ONLY	otaiin|ydaiin|qokamdy	otaiin|ydaiin|qokamdy	Kalter Ansatz, Grad III: davon drei Maße. Eines der drei Maße nehmen und erhitzen.	C009 binds the written three-measure pool to the one-measure action by exact repeated Maß wording.	Die zeileninitiale Referenz bei #1 bleibt offen; #3 und #7 werden nicht eingezogen.	Do not infer that an earlier action produced the cold preparation or the three measures.	UNNAMED_NO_OUTGOING_EDGE	GDT701_INHERITED_EXACT	0	0	NONE	0	NONE	0	NONE	0	NONE	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
M002	f105v.1	C001|C012	2	3|4|5	3	4	3	5	3	NONE	3	5	NONE	3	INPUT_ACTION_WRITTEN_RESULT_CHAIN	4	A_PLUS_B	olpcheey|ykaiin|olpchedy	olpcheey|ykaiin|olpchedy	Das trocken gebundene Holzpulver, Form II, auf Stufe III erhitzen. Ergebnis: fertiges Holzextraktpulver.	C001 binds the written wood powder to YKAIIN; C012 locally binds that action to the immediately written, independently typed finished wood-extract-powder state.	#2 remains outside; #5 is now the written terminal result node. #6 and #7 remain later entries, not skipped alternatives.	Do not export a YKAIIN output rule, an OLPCHEDY adjacency rule or productive olpche* morphology.	WRITTEN_FINAL_RESULT_STATE:C012	GDT702_EXTENDED_EXACT	1	0	NONE	0	NONE	0	NONE	0	NONE	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
M003	f113v.17	C002	1	6|7	2	NONE	6	7	2	NONE	6	7	NONE	2	SINGLE_EDGE	7	A_ONLY	cthororaiin|yteeeor	cthororaiin|yteeeor	Von den drei Portionen Krautdroge eine Portion bis zur letzten Stufe abkühlen.	C002 binds an explicit three-portion pool to a written one-portion cooling subset.	Das vorangehende Mengen- und Zustandsregister bleibt außerhalb; rechts endet die Zeile.	Do not cool all three portions or attach the earlier hot preparation.	UNNAMED_NO_OUTGOING_EDGE	GDT701_INHERITED_EXACT	0	0	NONE	0	NONE	0	NONE	0	NONE	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
M004	f75r.3	C003	1	3|4	2	NONE	3	4	2	NONE	3	4	NONE	2	SINGLE_EDGE	4	A_ONLY	orchey|qey	orchey|qey	Die vorstehende, bis zur Mittelstufe getrocknete Drogenportion anschließend nehmen.	C003 uses qey's explicit vorstehende wording and exclusive immediate orchey donor.	Die spätere Aktion #6 erhält weder #3 noch #4 als Objekt.	Do not carry the taken portion into sheeky at #6.	UNNAMED_NO_OUTGOING_EDGE	GDT701_INHERITED_EXACT	0	0	NONE	0	NONE	0	NONE	0	NONE	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
M005	f77r.38	C005	1	5|6	2	NONE	5	6	2	NONE	5	6	NONE	2	SINGLE_EDGE	6	A_ONLY	chcphey|qol	chcphey|qol	Das bis zur Mittelstufe getrocknete und abgeschlossene Arzneikompositum zugeben.	C005 applies the exact GDT676 T03 occurrence correction only to qol at #6.	Das gleich geschriebene qol bei #9 hat keine C005-Lizenz und bleibt ungebunden.	Do not extend the object to qol at #9 or equate Arzneikompositum universally with Drogenstoff.	UNNAMED_NO_OUTGOING_EDGE	GDT701_INHERITED_EXACT	0	0	NONE	0	NONE	0	NONE	0	NONE	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
M006	f80v.35	C004|C008	2	3|4|5|6	4	3	3	6	4	NONE	3	6	NONE	4	ORDERED_REPEATED_COMMON_DESTINATION_FANOUT	5|6	A_PLUS_B	olkar|y|qol|qol	olkar|y|qol|qol	Dem Anteil I des heißen Holzansatzes Drogenstoff zugeben. Dem Anteil I des heißen Holzansatzes nochmals Drogenstoff zugeben.	C004 and C008 share one exact written destination while preserving two distinct qol action ordinals.	Nur die erste Zugabe besitzt das geschriebene Hierzu; die zweite Zielwiederholung bleibt B-tier.	Do not invent a second reference token, a different ingredient, or an output between the additions.	UNNAMED_NO_OUTGOING_EDGE	GDT701_INHERITED_EXACT	0	0	NONE	0	NONE	0	NONE	0	NONE	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
M007	f86v6.25	C007|C006|C019	3	2|3|4|5|7	5	4|5	2	7	6	6	2	7	NONE	6	SERIAL_ACTION_OUTPUT_CHAIN_WITH_DELAYED_RESULT	4|5	A_MINUS_PLUS_B_PLUS_B	qokar|olkar|qodar|ykaiin|or|okeeeey	qokar|olkar|qodar|ykaiin|or|okeeeey	Aus dem Anteil I des heißen Holzansatzes einen heißen Drogenanteil I abmessen. Den so abgemessenen Drogenanteil I auf Stufe III erhitzen. Ergebnis: Die Drogenportion ist vollständig bis zur letzten Heizstufe geführt.	C007 misst den heißen Drogenanteil aus dem Holzansatz; C006 trägt ihn in YKAIIN; C019 verbindet diese Handlung mit dem geschriebenen Heizabschluss.	#6 or bleibt als sichtbarer Materialträger hull-only; #8 ofchedy ist der Stoff- und Operationsbruch.	Kein allgemeines YKAIIN-Ergebnis, kein nacktes #5→#7 ohne #6 im Renderbündel und keine Erweiterung bis #9.	WRITTEN_DELAYED_FINAL_HEAT_RESULT:C019	GDT701_INHERITED_GDT706_EXTENDED	0	0	NONE	0	NONE	0	NONE	1	COMPONENT_EXTENDED	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
M008	f86v5.24	C010	1	1|3	2	NONE	1	3	3	2	1	3	NONE	3	SINGLE_EDGE_WITH_UNBOUND_QUANTITY_HULL	3	B_ONLY	oar|aiin|ykain	oar|aiin|ykain	Anteil I des Ansatzes. [Ungebundene Mengenangabe #2: „Menge III“.] Den Ansatzanteil auf Stufe II erhitzen.	C010 verbindet ausschließlich den geschriebenen Ansatzanteil #1 mit der deiktischen Heizaktion #3; #2 liegt nur im konvexen Fenster.	Die Mengenangabe #2 bleibt ungebunden und die Komponente endet an #3.	AIIN nicht als Objektmenge oder Kantennode lesen; keinen späteren Zustand als Ergebnis der Erhitzung binden.	NOT_DECLARED_IN_V72	GDT701_INHERITED_EXACT	0	0	NONE	0	NONE	0	NONE	0	NONE	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
M009	f26r.2	C011|C013|C015	3	4|5|6|8	4	4|6	4	8	5	7	4	8	NONE	5	ACTION_STATE_FORK_WITH_DOWNSTREAM_ACTION_CHAIN	4|6|8	B_ONLY	ykecthey|chedy|ytedy|dy|checthedy	ykecthey|chedy|ytedy|dy|checthedy	Die Krautdroge bis zur Mittelstufe erhitzen und abschließen [Quelle von ‚hiervon‘ offen]. Zustand: mittlere Trockenstufe erreicht. Dieselbe erhitzte Krautdroge bis zur Mittelstufe abkühlen und abschließen. Die so abgekühlte Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen [C011/C013/C015-Arbeitshypothese].	C013 binds #4 to written checkpoint #5; C011 carries the #4 herb output to #6; C015 carries the completed #6-7 cooling output to #8, which explicitly rewrites Krautdroge.	#7 remains the structural closure of the C015 source clause but is now hull-only; #9 ls (Holz) is the right break.	Keinen #5→#6, #5→#8, #4→#8, #6→#7 oder #8→#9-Edge und keinen portablen Materialkopf-Default ergänzen.	WRITTEN_INTERMEDIATE_STATE_CHECKPOINT:C013|FINAL_ACTION_RESULT_UNWRITTEN:C015	GDT704_EXTENDED_EXACT	1	0	C013_ADDED__CHECKPOINT_PROMOTED_TO_EDGE_NODE	1	C015_ADDED__STRUCTURAL_POSITION_MOVED_INTO_HULL	0	NONE	0	NONE	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
M010	f115r.23	C014	1	3|4	2	NONE	3	4	2	NONE	3	4	NONE	2	ACTION_WRITTEN_FINISHED_PREPARATION_PAIR	3	B_LOW_ONLY	qokeod|chody	qokeod|chody	Heißen Auszug bereiten und abschließen. Ergebnis: leicht getrocknete, abgeschlossene Zubereitung.	C014 locally joins the complete hot-extract preparation action to the immediately written, independently typed completed preparation state.	#2 remains the preceding heat register; #5 QOKCHO starts a new action and remains outside.	QOKEOD nicht als allgemeines Trocknungsverb und CHODY nicht als Ergebnis jeder linken Aktion exportieren.	WRITTEN_FINAL_PREPARATION_STATE:C014	GDT703_NEW_EXPLORATORY	1	0	NEW_COMPONENT	0	NONE	0	NONE	0	NONE	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
