delayed_pair_id	action_case_id	page	locus	action_clause_id	action_clause_start	action_clause_end	action_clause_surfaces	action_ordinal	action_surface	action_gloss_de	right_clause_id	right_clause_start	right_clause_end	v78_decision	target_rank	target_ordinal	target_surface	target_gloss_de	intervening_ordinals	intervening_surfaces	intervening_glosses_de	inner_v79_window	semantic_item	word_delta	status
P001	A002	f104v	f104v.2	2	2	2	qoteed	2	qoteed	Auszug vollständig abkühlen und abziehen	3	3	5	CONTROL_CONFLICT	2	4	otaiin	kalter Ansatz, Grad III	3	chockhy	trockene Arzneizubereitung, Gradanfang	0	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
P002	A002	f104v	f104v.2	2	2	2	qoteed	2	qoteed	Auszug vollständig abkühlen und abziehen	3	3	5	CONTROL_CONFLICT	3	5	ydaiin	davon drei Maße	3|4	chockhy|otaiin	trockene Arzneizubereitung, Gradanfang|kalter Ansatz, Grad III	0	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
P003	A003	f104v	f104v.2	4	6	6	qokamdy	6	qokamdy	ein Maß nehmen und erhitzen	5	7	10	CONTROL_CONFLICT	2	8	alched	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	7	otarar	Unteranteil I des Anteils I des kalten Ansatzes	0	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
P004	A003	f104v	f104v.2	4	6	6	qokamdy	6	qokamdy	ein Maß nehmen und erhitzen	5	7	10	CONTROL_CONFLICT	3	9	otair	Anteil II des kalten Ansatzes	7|8	otarar|alched	Unteranteil I des Anteils I des kalten Ansatzes|Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	0	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
P005	A003	f104v	f104v.2	4	6	6	qokamdy	6	qokamdy	ein Maß nehmen und erhitzen	5	7	10	CONTROL_CONFLICT	4	10	oram	eine Maßportion Ansatz	7|8|9	otarar|alched|otair	Unteranteil I des Anteils I des kalten Ansatzes|Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen|Anteil II des kalten Ansatzes	0	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
P006	A004	f105r	f105r.2	2	6	6	qodor	6	qodor	eine Portion des Ansatzes abmessen	3	7	10	OPEN_PARTIAL	2	8	or	Drogenportion	7	ches	trockenes Drogenmaterial, Mittelstufe	1	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
P007	A004	f105r	f105r.2	2	6	6	qodor	6	qodor	eine Portion des Ansatzes abmessen	3	7	10	OPEN_PARTIAL	3	9	cheey	trocken am Ende des Grades	7|8	ches|or	trockenes Drogenmaterial, Mittelstufe|Drogenportion	1	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
P008	A004	f105r	f105r.2	2	6	6	qodor	6	qodor	eine Portion des Ansatzes abmessen	3	7	10	OPEN_PARTIAL	4	10	okees	Charge vollständig erhitzten Ansatzes	7|8|9	ches|or|cheey	trockenes Drogenmaterial, Mittelstufe|Drogenportion|trocken am Ende des Grades	0	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
P009	A005	f105r	f105r.2	4	11	11	odar	11	odar	Anteil I des Ansatzes abmessen	5	12	13	RETAIN_PRIOR_HOLD	2	13	qody	fertige Zubereitung	12	cheody	getrocknete Masse	0	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
P010	A006	f105r	f105r.31	2	5	5	aiijy	5	aiijy	in drei Bündel abfüllen und schließen	3	6	13	HOLD_NEW	2	7	okal	Rohstoffklasse I im heißen Ansatz, Gradanfang	6	cpheesy	vollständig bereitetes und abgeschlossenes Arzneikompositum	0	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
P011	A006	f105r	f105r.31	2	5	5	aiijy	5	aiijy	in drei Bündel abfüllen und schließen	3	6	13	HOLD_NEW	3	8	lkedy	bis zur mittleren Heizstufe erhitztes Holz	6|7	cpheesy|okal	vollständig bereitetes und abgeschlossenes Arzneikompositum|Rohstoffklasse I im heißen Ansatz, Gradanfang	0	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
