delayed_cell_id	action_case_id	page	locus	action_clause_id	action_clause_start	action_clause_end	action_clause_surfaces	action_ordinal	action_surface	action_gloss_de	right_clause_id	right_clause_start	right_clause_end	v78_decision	target_rank	target_ordinal	target_surface	target_gloss_de	bridge_ordinals	bridge_surfaces	bridge_glosses_de	decision	result_role	practical_reading_de	bridge_interpretation_de	decisive_reason_de	admitted_result_bundle_ordinals	admitted_result_bundle_surfaces	portable_default	full_window_exact	word_delta	status
D001	A004	f105r	f105r.2	2	6	6	qodor	6	qodor	eine Portion des Ansatzes abmessen	3	7	10	OPEN_PARTIAL	2	8	or	Drogenportion	7	ches	trockenes Drogenmaterial, Mittelstufe	HOLD	POSSIBLE_PORTION_RESULT	abgemessene Drogenportion	Das trockene Drogenmaterial auf #7 trägt die Portion auf #8.	Portion und Abmessen sind kompatibel; Ansatz zu Drogenmaterial und die fehlende ausgeschriebene Messung bleiben offen.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
D003	A012	f106r	f106r.23	2	2	2	qckhedy	2	qckhedy	das Arzneikompositum bis zur Mittelstufe aufbereiten	3	3	10	OPEN_PARTIAL	2	4	al	Rohstoffklasse I	3	dair	abgemessener Anteil II	HOLD	POSSIBLE_MATERIAL_RESULT	Rohstoff I des abgemessenen Anteils	#3 liefert den abgemessenen Anteil II als Mengenbrücke.	Aufbereiten kann einen Stoff ergeben; Arzneikompositum zu Rohstoff und die fehlende Mittelstufe bleiben offen.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
D004	A012	f106r	f106r.23	2	2	2	qckhedy	2	qckhedy	das Arzneikompositum bis zur Mittelstufe aufbereiten	3	3	10	OPEN_PARTIAL	3	5	qokedy	heiße Mittelstufe erreicht	3|4	dair|al	abgemessener Anteil II|Rohstoffklasse I	HOLD	POSSIBLE_STAGE_RESULT	aufbereiteter Stoff auf heißer Mittelstufe	#3-4 liefern Anteil und Rohstoffklasse vor dem Zustandswort.	Mittelstufe stimmt; Hitze wird von der Handlung nicht ausgeschrieben und Arzneikompositum bleibt ungesichert.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
D006	A014	f107r	f107r.2	2	2	2	qoteos	2	qoteos	eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen	3	3	5	OPEN_PARTIAL	3	5	oteed	vollständig abgekühlter und abgezogener Auszug	3|4	aiin|shedy	Menge III|mittlere Feuchtstufe erreicht	HOLD	POSSIBLE_COOL_RESULT	entnommener vollständig gekühlter Auszug	#3 zählt die Charge; #4 schreibt einen feuchten Zwischenstand.	Kälte passt, aber feucht greift ein und vollständig abgezogen geht über Nehmen einer Mittelstufencharge hinaus.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
D009	A017	f10r	f10r.2	1	1	1	dchey	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	2	2	10	OPEN_PARTIAL	2	3	char	trockener Drogenanteil I	2	cthoor	eine Portion Krautansatz	HOLD	POSSIBLE_DRY_RESULT	getrockneter Krautanteil I	#2 liefert eine Portion Krautansatz als glaubhaften Patienten.	Trocknung und Portion passen; die Mittelstufe fehlt und Krautansatz zu Drogenanteil bleibt nur kompatibel.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
D011	A028	f116r	f116r.12	1	1	1	qoin	1	qoin	zweiten Ansatz nehmen	2	2	12	OPEN_PARTIAL	2	3	cholches	nachgetrocknetes Drogenmaterial, Mittelstufe	2	ar	Drogenanteil I	HOLD	POSSIBLE_TAKEN_MATERIAL	zweiter nachgetrockneter Drogenansatz auf Mittelstufe	#2 liefert den Drogenanteil I als Materialbrücke.	Der zweite Drogenanteil kann fortgeführt sein; Nachtrocknen und Mittelstufe sind aber keine Folge von Nehmen.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
D013	A029	f23r	f23r.6	2	5	5	yky	5	yky	hierzu leicht erhitzen	3	6	10	OPEN_PARTIAL	2	7	okol	heißer Ansatzstoff	6	dar	abgemessener Anteil I	HOLD	POSSIBLE_HEAT_RESULT	leicht erhitzter Ansatzstoff	#6 liefert den weitergetragenen Anteil I.	Erhitzen zu heiß stimmt; Abmessen ist nicht lizenziert und leicht wird rechts nicht genau bewahrt.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
D020	A063	f80v	f80v.35	3	6	6	qol	6	qol	Drogenstoff zugeben	4	7	12	OPEN_PARTIAL	2	8	okiin	erhitzte Zubereitung, Form III	7	kain	heiß, Grad II	HOLD	POSSIBLE_DESTINATION_CHAIN	Drogenstoff in heißen Empfänger geben; erhitzte Zubereitung III	#7 kann den heißen Empfängerzustand liefern.	Die Zugabekette ist konkret; Form III und Erhitzen der Gesamtzubereitung werden aber nicht durch Zugabe erzeugt.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
D024	A070	f86v3	f86v3.19	4	4	4	qokam	4	qokam	nimm ein Maß und erhitze es	5	5	10	OPEN_PARTIAL	2	6	kchdy	heiß-trockene Anfangsstufe erreicht	5	chol	trocken	HOLD	POSSIBLE_HEAT_RESULT	trockenes Maß bis zum heiß-trockenen Anfang erhitzen	#5 liefert einen kompatiblen trockenen Patienten- oder Zwischenzustand.	Erhitzen stimmt; Maß und genauer Zielgrad sind nicht ausgeschrieben und Anfang wird erst rechts geliefert.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
D026	A077	f86v6	f86v6.25	4	5	5	ykaiin	5	ykaiin	erhitze hiervon auf Stufe III	5	6	10	OPEN_PARTIAL	2	7	okeeeey	Zubereitung vollständig bis zur letzten Heizstufe geführt	6	or	Drogenportion	ADMIT_RESULT_BUNDLE	WRITTEN_MATERIAL_FINAL_HEAT_RESULT_BUNDLE	Die abgemessene Drogenportion auf Stufe III erhitzen. Ergebnis: Die Drogenportion ist vollständig bis zur letzten Heizstufe geführt.	#6 ist nicht übersprungen: or schreibt den Patienten Drogenportion; #7 schreibt Erhitzung, letzte Stufe und Abschluss.	M007 bindet den abgemessenen Drogenanteil bereits an #5; Materialträger, Operation und Stufe bilden zusammen das stärkste vollständige spätere Ergebnis.	6|7	or|okeeeey	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
