delayed_cell_id	action_case_id	page	locus	action_clause_id	action_clause_start	action_clause_end	action_clause_surfaces	action_ordinal	action_surface	action_gloss_de	right_clause_id	right_clause_start	right_clause_end	v78_decision	target_rank	target_ordinal	target_surface	target_gloss_de	bridge_ordinals	bridge_surfaces	bridge_glosses_de	decision	result_role	practical_reading_de	bridge_interpretation_de	decisive_reason_de	admitted_result_bundle_ordinals	admitted_result_bundle_surfaces	portable_default	full_window_exact	word_delta	status
D001	A004	f105r	f105r.2	2	6	6	qodor	6	qodor	eine Portion des Ansatzes abmessen	3	7	10	OPEN_PARTIAL	2	8	or	Drogenportion	7	ches	trockenes Drogenmaterial, Mittelstufe	HOLD	POSSIBLE_PORTION_RESULT	abgemessene Drogenportion	Das trockene Drogenmaterial auf #7 trägt die Portion auf #8.	Portion und Abmessen sind kompatibel; Ansatz zu Drogenmaterial und die fehlende ausgeschriebene Messung bleiben offen.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
D002	A004	f105r	f105r.2	2	6	6	qodor	6	qodor	eine Portion des Ansatzes abmessen	3	7	10	OPEN_PARTIAL	3	9	cheey	trocken am Ende des Grades	7|8	ches|or	trockenes Drogenmaterial, Mittelstufe|Drogenportion	STOP	BLOCKED_LATER_STATE	trockener Endgrad der Portion	#7 nennt trockenes Drogenmaterial und #8 eine Drogenportion.	Endgrad widerspricht der unmittelbar vorher geschriebenen Mittelstufe; die Handlung trocknet nicht.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
D003	A012	f106r	f106r.23	2	2	2	qckhedy	2	qckhedy	das Arzneikompositum bis zur Mittelstufe aufbereiten	3	3	10	OPEN_PARTIAL	2	4	al	Rohstoffklasse I	3	dair	abgemessener Anteil II	HOLD	POSSIBLE_MATERIAL_RESULT	Rohstoff I des abgemessenen Anteils	#3 liefert den abgemessenen Anteil II als Mengenbrücke.	Aufbereiten kann einen Stoff ergeben; Arzneikompositum zu Rohstoff und die fehlende Mittelstufe bleiben offen.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
D004	A012	f106r	f106r.23	2	2	2	qckhedy	2	qckhedy	das Arzneikompositum bis zur Mittelstufe aufbereiten	3	3	10	OPEN_PARTIAL	3	5	qokedy	heiße Mittelstufe erreicht	3|4	dair|al	abgemessener Anteil II|Rohstoffklasse I	HOLD	POSSIBLE_STAGE_RESULT	aufbereiteter Stoff auf heißer Mittelstufe	#3-4 liefern Anteil und Rohstoffklasse vor dem Zustandswort.	Mittelstufe stimmt; Hitze wird von der Handlung nicht ausgeschrieben und Arzneikompositum bleibt ungesichert.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
D005	A014	f107r	f107r.2	2	2	2	qoteos	2	qoteos	eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen	3	3	5	OPEN_PARTIAL	2	4	shedy	mittlere Feuchtstufe erreicht	3	aiin	Menge III	STOP	BLOCKED_LATER_STATE	Menge III der mittleren Feuchtstufe	#3 liefert nur die Menge III.	Feucht ist weder Ergebnis des Nehmens noch mit der gekühlten Ansatzcharge ausreichend verbunden.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
D006	A014	f107r	f107r.2	2	2	2	qoteos	2	qoteos	eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen	3	3	5	OPEN_PARTIAL	3	5	oteed	vollständig abgekühlter und abgezogener Auszug	3|4	aiin|shedy	Menge III|mittlere Feuchtstufe erreicht	HOLD	POSSIBLE_COOL_RESULT	entnommener vollständig gekühlter Auszug	#3 zählt die Charge; #4 schreibt einen feuchten Zwischenstand.	Kälte passt, aber feucht greift ein und vollständig abgezogen geht über Nehmen einer Mittelstufencharge hinaus.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
D007	A015	f107r	f107r.2	4	6	6	qor	6	qor	nimm eine Drogenportion	5	7	11	OPEN_PARTIAL	2	8	cheockhy	trocken angesetztes Arzneikompositum am Gradanfang	7	aiin	Menge III	STOP	BLOCKED_MATERIAL_RESULT	genommene trockene Kompositportion	#7 kann die genommene Drogenportion als Menge III zählen.	Der Materialkopf wechselt von Droge zu Arzneikompositum; trocken und Gradanfang sind neu.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
D008	A015	f107r	f107r.2	4	6	6	qor	6	qor	nimm eine Drogenportion	5	7	11	OPEN_PARTIAL	3	9	olkeey	Holzansatz vollständig erhitzt	7|8	aiin|cheockhy	Menge III|trocken angesetztes Arzneikompositum am Gradanfang	STOP	BLOCKED_MATERIAL_STATE_RESULT	vollständig erhitzter Holzansatz	#7-8 bilden bereits ein Mengen- und Kompositregister.	Holz und vollständiges Erhitzen werden durch Nehmen einer Drogenportion nicht erzeugt.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
D009	A017	f10r	f10r.2	1	1	1	dchey	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	2	2	10	OPEN_PARTIAL	2	3	char	trockener Drogenanteil I	2	cthoor	eine Portion Krautansatz	HOLD	POSSIBLE_DRY_RESULT	getrockneter Krautanteil I	#2 liefert eine Portion Krautansatz als glaubhaften Patienten.	Trocknung und Portion passen; die Mittelstufe fehlt und Krautansatz zu Drogenanteil bleibt nur kompatibel.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
D010	A017	f10r	f10r.2	1	1	1	dchey	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	2	2	10	OPEN_PARTIAL	3	4	chty	trocken-kalt am Gradanfang	2|3	cthoor|char	eine Portion Krautansatz|trockener Drogenanteil I	STOP	BLOCKED_LATER_STATE	trocken-kalter Anfangsgrad	#2-3 liefern Krautansatz und trockenen Drogenanteil.	Kalt und Gradanfang widersprechen der geschriebenen Mittelstufe.	NONE	NONE	NO	1	0	PASS_V79_83_ACTION_DISPOSITIONS__161_DELAYED_PAIRS__28_BOUNDED_CELLS__1_NEW_C019_BUNDLE_10_HOLDS_17_STOPS__18_EDGES_12_COMPONENTS__ZERO_WORD_DELTA
