clause_id	physical_page	register	start_event	end_event	events	phase_blocks	phase_sequence	end_reason	scribe_style_translation_de
P915-C001	f10r	HERBAL	P912-E0001	P912-E0039	39	19	PREPARE>CONDITION>EXECUTE>SELECT>PREPARE>SELECT>PREPARE>SELECT>CONDITION>SELECT>EXECUTE>PREPARE>EXECUTE>SELECT>EXECUTE>SELECT>CONDITION>SELECT>EXECUTE	LICENSED_DY_CLOSE	Vorbereitung — einsetzen und entnehmen und bis zur Bereitschaft bearbeiten. Zustand — halten. Arbeitsgang — bis zur Bereitschaft bearbeiten und bearbeiten. Auswahl — zweimal entnehmen. Vorbereitung — einsetzen und entnehmen und bearbeiten. Auswahl — entnehmen und bearbeiten und einsetzen und entnehmen. Vorbereitung — einsetzen und entnehmen, zugeben und bearbeiten. Auswahl — entnehmen. Zustand — bis bereit führen und bearbeiten. Auswahl — entnehmen, einstellen und entnehmen. Arbeitsgang — einstellen und entnehmen. Vorbereitung — ansetzen. Arbeitsgang — einstellen, bearbeiten und einstellen. Auswahl — entnehmen, bearbeiten und bis bereit führen. Arbeitsgang — einstellen. Auswahl — auswählen, zweimal entnehmen und bis bereit führen. Zustand — bis bereit führen und bearbeiten. Auswahl — entnehmen, einstellen und entnehmen. Arbeitsgang — bearbeiten, markieren und bearbeiten. Damit ist dieser Arbeitszug beendet.
P915-C002	f10r	HERBAL	P912-E0040	P912-E0092	53	23	PREPARE>SELECT>CONDITION>SELECT>CONDITION>EXECUTE>PREPARE>EXECUTE>CONDITION>SELECT>EXECUTE>CONDITION>SELECT>PREPARE>SELECT>EXECUTE>TRANSFER>CONDITION>EXECUTE>SELECT>CONDITION>EXECUTE>CONTEXT	PAGE_END_OPEN	Vorbereitung — ansetzen. Auswahl — entnehmen. Zustand — bis bereit führen, markieren und bis bereit führen. Auswahl — entnehmen. Zustand — bis bereit führen. Arbeitsgang — bis zur Bereitschaft bearbeiten und einstellen. Vorbereitung — ansetzen und zugeben und entnehmen. Arbeitsgang — einstellen. Zustand — bis bereit führen. Auswahl — zweimal entnehmen. Arbeitsgang — bearbeiten und zugeben und einen Anteil entnehmen. Zustand — halten. Auswahl — entnehmen. Vorbereitung — zugeben. Auswahl — entnehmen und bearbeiten. Arbeitsgang — bearbeiten. Weitergabe — trennen. Zustand — bis bereit führen. Arbeitsgang — bearbeiten und den nächsten Posten auswählen, einstellen und bearbeiten. Auswahl — entnehmen und bearbeiten und halten. Zustand — bis bereit führen. Arbeitsgang — bearbeiten. Örtlicher Bezug — mit dem angegebenen Posten weiterarbeiten. Der Arbeitszug wird im nächsten Eintrag fortgesetzt.
P915-C003	f11r	HERBAL	P912-E0093	P912-E0099	7	7	EXECUTE>CONDITION>TRANSFER>CONDITION>TRANSFER>CONDITION>EXECUTE	LICENSED_DY_CLOSE	Arbeitsgang — einstellen und halten. Zustand — halten und bearbeiten. Weitergabe — trennen. Zustand — halten. Weitergabe — umleiten. Zustand — halten. Arbeitsgang — einstellen, entnehmen und bearbeiten. Damit ist dieser Arbeitszug beendet.
P915-C004	f11r	HERBAL	P912-E0100	P912-E0151	52	23	EXECUTE>PREPARE>EXECUTE>PREPARE>CONDITION>PREPARE>SELECT>EXECUTE>PREPARE>EXECUTE>CONDITION>PREPARE>CONDITION>SELECT>EXECUTE>SELECT>PREPARE>SELECT>CONDITION>SELECT>PREPARE>CONDITION>CONTEXT	PAGE_END_OPEN	Arbeitsgang — halten und bearbeiten, einstellen, auswählen, bis zur Bereitschaft bearbeiten und zweimal bearbeiten. Vorbereitung — zugeben und halten. Arbeitsgang — zweimal einstellen und ansetzen. Vorbereitung — zugeben. Zustand — bis bereit führen. Vorbereitung — zugeben und einen Anteil entnehmen. Auswahl — zweimal entnehmen. Arbeitsgang — bearbeiten. Vorbereitung — zugeben. Arbeitsgang — einstellen. Zustand — zweimal halten. Vorbereitung — zugeben. Zustand — bis bereit führen. Auswahl — entnehmen und bearbeiten. Arbeitsgang — bearbeiten. Auswahl — auswählen und entnehmen. Vorbereitung — zugeben und einen Anteil entnehmen. Auswahl — entnehmen und bearbeiten. Zustand — bis bereit führen. Auswahl — auswählen. Vorbereitung — ansetzen. Zustand — bis bereit führen. Örtlicher Bezug — mit dem angegebenen Posten weiterarbeiten. Der Arbeitszug wird im nächsten Eintrag fortgesetzt.
P915-C005	f13r	HERBAL	P912-E0152	P912-E0193	42	23	EXECUTE>CONDITION>EXECUTE>CONDITION>EXECUTE>PREPARE>SELECT>CONDITION>PREPARE>SELECT>CONDITION>EXECUTE>PREPARE>SELECT>EXECUTE>PREPARE>EXECUTE>SELECT>EXECUTE>PREPARE>EXECUTE>SELECT>TRANSFER	LICENSED_DY_CLOSE	Arbeitsgang — einstellen, halten und bearbeiten und einsetzen. Zustand — halten. Arbeitsgang — bearbeiten und einsetzen. Zustand — halten. Arbeitsgang — bearbeiten und einsetzen und entnehmen. Vorbereitung — einsetzen. Auswahl — entnehmen. Zustand — halten und anschließend zugeben. Vorbereitung — zugeben. Auswahl — zweimal auswählen und entnehmen. Zustand — halten. Arbeitsgang — bearbeiten und den nächsten Posten auswählen. Vorbereitung — zugeben. Auswahl — entnehmen. Arbeitsgang — einstellen. Vorbereitung — zweimal zugeben. Arbeitsgang — bearbeiten und einstellen. Auswahl — entnehmen. Arbeitsgang — halten und bearbeiten, bearbeiten und einstellen. Vorbereitung — zugeben und einsetzen. Arbeitsgang — bearbeiten und einsetzen. Auswahl — entnehmen. Weitergabe — trennen. Damit ist dieser Arbeitszug beendet.
P915-C006	f13r	HERBAL	P912-E0194	P912-E0209	16	7	EXECUTE>SELECT>PREPARE>EXECUTE>PREPARE>EXECUTE>CONTEXT	LICENSED_DY_CLOSE	Arbeitsgang — einstellen und entnehmen. Auswahl — entnehmen. Vorbereitung — zweimal ansetzen und entnehmen. Arbeitsgang — bearbeiten. Vorbereitung — ansetzen. Arbeitsgang — bearbeiten. Örtlicher Bezug — mit dem angegebenen Posten weiterarbeiten. Damit ist dieser Arbeitszug beendet.
P915-C007	f13r	HERBAL	P912-E0210	P912-E0219	10	8	PREPARE>EXECUTE>PREPARE>EXECUTE>PREPARE>SELECT>PREPARE>CONTEXT	LICENSED_DY_CLOSE	Vorbereitung — ansetzen und entnehmen. Arbeitsgang — bearbeiten. Vorbereitung — ansetzen. Arbeitsgang — einstellen. Vorbereitung — zugeben. Auswahl — auswählen. Vorbereitung — ansetzen. Örtlicher Bezug — mit dem angegebenen Posten weiterarbeiten. Damit ist dieser Arbeitszug beendet.
P915-C008	f13r	HERBAL	P912-E0220	P912-E0225	6	4	CONDITION>EXECUTE>PREPARE>CONTEXT	LICENSED_DY_CLOSE	Zustand — halten. Arbeitsgang — bearbeiten. Vorbereitung — zugeben und ansetzen und entnehmen. Örtlicher Bezug — mit dem angegebenen Posten weiterarbeiten. Damit ist dieser Arbeitszug beendet.
P915-C009	f13r	HERBAL	P912-E0226	P912-E0228	3	2	SELECT>PREPARE	PAGE_END_OPEN	Auswahl — auswählen. Vorbereitung — zugeben und ansetzen. Der Arbeitszug wird im nächsten Eintrag fortgesetzt.
P915-C010	f55v	HERBAL	P912-E0229	P912-E0236	8	3	PREPARE>EXECUTE>PREPARE	LICENSED_DY_CLOSE	Vorbereitung — zugeben und einen Anteil entnehmen und umsetzen. Arbeitsgang — dreimal bearbeiten und einstellen. Vorbereitung — ansetzen. Damit ist dieser Arbeitszug beendet.
