physical_page	page_model	events	prose_clauses	scribe_style_page_reading_de	diagram_reading_de
f10r	PFLANZENZUBEREITUNG_MIT_BEREITSCHAFTSPRUEFUNG	92	2	Vom gezeichneten Kraut zuerst den bezeichneten Teil nehmen, in den Ansatz setzen und kurz halten. Bis zur Brauchbarkeit durcharbeiten und durch den vorgesehenen Durchlass führen. Für den zweiten Ansatz weitere Portionen nach Sollmaß entnehmen, nacheinander zugeben, den Auszug prüfen und die Arbeit für den folgenden Eintrag offenlassen.	KEINE_SEPARATE_BILDBESCHRIFTUNG
f11r	GEHALTENE_UND_ABGETRENNTE_PFLANZENPORTION	59	2	Den ausgewählten Pflanzenteil im Ansatz halten, bearbeiten und die brauchbare Portion abtrennen. Für den zweiten Zug weitere Teile abmessen und zugeben; den Ansatz weiterführen, nochmals halten und die Fortsetzung nicht abschließen.	KEINE_SEPARATE_BILDBESCHRIFTUNG
f13r	FUENF_KURZE_PFLANZENARBEITSGAENGE	77	5	Fünf kleine Arbeitsgänge zum gezeichneten Kraut: Stoff einsetzen, Anteil entnehmen, nach Maß zugeben, kurz halten und durch den bezeichneten Gang führen. Vier Gänge werden beendet; der letzte Zusatz bleibt für den nächsten Arbeitsschritt bereit.	KEINE_SEPARATE_BILDBESCHRIFTUNG
f55v	MEHRFACH_ZUGEGEBENE_PFLANZENZUBEREITUNG	106	5	Die Pflanzenzubereitung portionsweise ansetzen. Bestandteile nach Maß zugeben, zwischen den bezeichneten Stellen umsetzen und zwischendurch kleine Proben entnehmen. Einzelne Portionen durch den Durchlass führen; vier Nebenarbeiten schließen, während der Hauptansatz weitergeführt wird.	KEINE_SEPARATE_BILDBESCHRIFTUNG
f56r	PORTIONSWEISE_ENTNAHME_UND_NEUANSATZ	105	3	Aus dem gezeichneten Stoff wiederholt kleine Anteile nehmen und in mehreren Stufen neu ansetzen. Weitere Anteile zugeben, die einzelnen Züge halten und prüfen und das Arbeitsgut zur nächsten Stelle bringen. Zwei Gänge enden; der letzte bleibt zur anschließenden Verwendung offen.	KEINE_SEPARATE_BILDBESCHRIFTUNG
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	418	111	Jede kleine Zelle ist ein eigener Stationsauftrag: Posten ansetzen, kurz oder länger halten, zur nächsten Stelle bringen, dort neu ansetzen und beenden. Je nach Bild werden Teile entnommen, zugegeben, aufgefangen oder abgesetzt; die sieben Bildnamen ordnen die betreffenden Becken und Figurenplätze.	Die sieben Beschriftungsorte benennen keine neuen Tätigkeiten. Sie ordnen Becken- und Figurenstationen nach Klasse, Zielplatz, Einheit und nächster Stufe.
f81v	ANWENDUNGS_UND_TRANSFERFOLGE	255	54	Am gemeinsamen Badfeld jeden Posten ansetzen, die bezeichnete Menge zugeben und für die notierte Stufe halten. Danach über die nächste Verbindung weiterführen, an der Folgestelle neu ansetzen und gegebenenfalls absetzen. Die beiden Bildkarten nennen nächste Einheit und Fortsetzung am Ziel.	Die zwei Karten am gemeinsamen Badfeld sagen sinngemäß: nächste Einheit; dieselbe Reihe am Zielplatz fortführen.
f82r	MARKIERTE_STATIONSFOLGE_MIT_DURCHLASS	291	62	Die dargestellten Stationen nacheinander, aber jeweils örtlich, bedienen: Posten wählen, ansetzen, Zustand markieren und durch Anschluss oder Durchlass weiterführen. Nach Zeichnung zugeben, halten, umsetzen und einzelne Ausgänge auffangen. Die dreizehn Beschriftungen liefern Quelle, Ziel, Unterplatz, Lauf, Stufe und Sollwert.	Dreizehn Einzelbeschriftungen kennzeichnen Quelle, Ziel, Unterplatz, Ringlauf, Stufe und Sollwert der jeweils benachbarten Station. Sie bilden kein zweites Rezept.
f83r	VARIANTENREGISTER_FUER_UMSETZEN_UND_ABSETZEN	345	91	Ein Variantenbuch für örtliche Stationen: auswählen, ansetzen, halten, zur verbundenen Stelle umsetzen, dort erneut ansetzen und anschließend absetzen oder auffangen. Jede sichtbare Beckenverbindung besitzt ihren eigenen Arbeitszug; zusammen bilden sie keinen geschlossenen Kreislauf.	Vier Beschriftungen unterscheiden Stationstyp, Weiterführung, Sollwert und zweite Stufe an den lokalen Beckenverbindungen.
f67r2	RING_UND_TABELLENPOSTEN_AUSWAEHLEN	190	11	In den beiden Rädern den bezeichneten Tabellenposten auswählen, seinen eingetragenen Arbeitswert ausführen und zur zugeordneten Stelle oder Stufe wechseln. Die kurzen Blöcke sind Nachschlageeinträge; sie werden nicht als fortlaufendes Rezept gelesen.	Die Beschriftungen rufen Ringreihen auf, wählen Klassen und Plätze und tragen Stufen oder Werte ein. Sie gehören zu zwei lokalen Rädern; sie sind keine laut gelesene Arbeitsprosa.
f68r1	STERNSTELLEN_KURZ_ZUORDNEN	65	3	In mehreren Sternfeldern jeweils den bezeichneten Eintrag wählen, die örtliche Anweisung ausführen und ihn der markierten Sternstelle zuordnen. Weder ein gemeinsames Zentrum noch eine feste Umlaufrichtung wird verlangt.	Die Sternbeschriftungen adressieren einzelne Plätze, Unterplätze, Grade und Gegenstellen in mehreren lokalen Paneelen. Es gibt kein einziges zwingendes Zentrum und keine festgelegte Laufrichtung.
f69v	DREI_GETRENNTE_HIMMELSRAD_NAMENSRAEUME	140	0	Drei getrennte Himmelsverzeichnisse: links achtundzwanzig örtliche Plätze, daneben zwei anders gegliederte Räder. Jeder Platz trägt seine eigene Klasse, Stelle oder Wertangabe; die drei Verzeichnisse werden nicht zu einer einzigen Folge verbunden.	Die Seite hat drei getrennte Adressräume. Das linke Rad besitzt 28 lokale Plätze; die beiden anderen Räder haben eigene Klassen und Einträge. Die Karten ergeben keine lineare 28-Schritt-Anweisung.
f70v	WIDDERRAD_MIT_STERNFIGUREN|FISCHRING_MIT_STERNFIGUREN	218	0	Im Widderrad und im Fischring die Figuren nach Reihe, Klasse, Ringplatz, Grad sowie Quell- oder Zielstelle aufsuchen. Der Lauf bezeichnet hier den Weg im Ring. Die Einträge sind Bildadressen und Wertangaben, keine Pflanzen- oder Badehandlungen.	Die Ringtexte bezeichnen Figurenplätze des Widderrads: Reihe, Klasse, nächster Platz, Grad, Quell- oder Zielstelle und lokaler Wert. AIR bedeutet hier Ringlauf, nicht Wasser. Die Ringtexte bezeichnen die Plätze und Unterplätze des Fischpaars, wählen die jeweilige Reihe und tragen Grad oder Wert ein. Auch hier sind die Karten Adressen, keine Werkstattverben.
f88r	ZUTATEN_UND_VORRATSREGISTER	150	5	Aus den gezeichneten Vorrats- und Zutatenposten den benötigten Anteil wählen, die Zubereitung ansetzen und weitere Bestandteile zugeben. Den Ansatz halten, prüfen und auf die bezeichneten Gefäße oder Stellen verteilen; einzelne Portionen durch einen Durchlass führen.	Die Bildlabels ordnen die drei Gefäße sowie Wurzel- und Blattreihen: nächster Eintrag, Klasse, Zielplatz, Unterplatz, Stufe und Innenstelle.
