candidate_id	exact_tuple_id	surface_realizations	herbal_occurrences	bio_occurrences	minimal_prompt_German	prompt_basis	herbal_local_expansion	bio_local_expansion	strongest_contradiction	disposition	withdrawn_or_reduced_V20_phrase
P01	1b1ffdd869fb1429ad03	oldy	1	1	UNBEKANNT	CLOSE_CONFOUNDED	Das ganze Herbal-Feld darf lokal sanftes Erhitzen beschreiben.	Das ganze Bio-Feld darf lokal sanftes Erhitzen beschreiben.	Beide Vorkommen sind terminal; Kochen ist nicht vom formalen CLOSE(FRAME_O(LINK)) zu trennen.	WITHDRAW	boil gently; close the rubric
P02	276a7c2d74d1143446f4	choky|oky|qoky	3	7	VERWENDEN	V51_SELECTED_OKY	Die örtlich bestimmte Pflanzenzubereitung verwenden.	Den örtlich bestimmten Arbeits- oder Flüssigkeitsposten verwenden.	Der Prompt kann auch allgemeines Ausführen statt medizinisches Anwenden bezeichnen.	KEEP	apply or use this portion -> VERWENDEN
P03	2c1a5fd92b9e3c762242	cheeky	1	1	WARM?	UNSELECTED_EXACT_CARD	Die Pflanzenzubereitung im lokalen Feld noch warm bearbeiten.	Den Arbeitsbestand im lokalen Feld noch warm führen.	Nur zwei Kontexte; Temperatur, Zeitpunkt und bloßer Zustand sind nicht unterscheidbar.	LOCAL_ONLY	while still warm
P04	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	9	11	MASS	V51_SELECTED_AIIN	Das im Artikel vorgeschriebene Maß der lokalen Zubereitung.	Das im Arbeitsrecord vorgeschriebene Maß des lokalen Postens.	Einheit und Gegenstand sind nirgends im Kartenprompt enthalten.	KEEP	in the stated or usual measure -> MASS
P05	308e8ea2d5d190c498e8	okal|qokal	1	5	SETZEN	V50_SELECTED_OK_OPERATOR	Den bildbestimmten Pflanzenteil in die lokale Zubereitung setzen.	Den lokal bestimmten Posten an oder in der Arbeitsstation setzen.	V20s Mischen und zwei Portionen stammen nicht aus SET(<ARG_AL>); ARG_AL bleibt opak.	KEEP	mix the two portions together -> SETZEN
P06	4d4559019a961b834aa1	char|dar|sar	2	3	DARAUS?	UNSELECTED_EXACT_CARD	Aus derselben lokal erschlossenen Pflanzenzubereitung weiterarbeiten.	Aus derselben lokal erschlossenen Charge oder Station weiterarbeiten.	Gleiche Charge, Rückbezug und Herkunft sind vollständig aus Nachbarsatz und Bild ergänzt.	LOCAL_ONLY	from the same prepared batch
P07	6f7ff8287eddf4da9fdb	chdy|chedy	1	10	MISCHEN?	UNSELECTED_EXACT_CARD	Das Pflanzenmaterial im lokalen Feld mischen oder verteilen.	Den Arbeitsbestand im lokalen Feld mischen oder ausgleichen.	Ein einziges Herbal-Vorkommen; Rühren, Mischen und bloße D-Variante bleiben ungetrennt.	LOCAL_ONLY	stir until evenly mixed
P08	7a4bb8136330ee4e6e56	chor|or|shor|sor	5	2	BEREITUNG	V50_SELECTED_OR	Die bildbesessene Pflanzenzubereitung.	Die lokal besessene Arbeitszubereitung oder Charge.	Dekokt, Flüssigkeit, Medizin und Charge sind nicht im minimalen Prompt enthalten.	KEEP	the prepared decoction or working liquid -> BEREITUNG
P09	80ebbbbf238eee9f0aef	chety|chty	1	1	BEARBEITEN?	UNSELECTED_EXACT_CARD	Das örtliche Pflanzenmaterial weiter bearbeiten.	Den örtlichen Arbeitsbestand weiter bearbeiten.	Homogenität und Endpunkt wurden aus zwei lokalen Prozesssätzen hineingelesen.	LOCAL_ONLY	work it until evenly homogeneous
P10	b5df9126607030b95175	cheey|shey	1	3	KLAR	V51_SELECTED_EY_LEAD	Die örtliche Zubereitung im Feld klar werden oder klären lassen.	Den örtlichen Lauf oder Bestand im Feld klar werden oder klären lassen.	Flüssigkeit und Verlaufsgrenze sind stille Registerobjekte; zwei Rollen hatten EY verworfen.	KEEP	until the liquid runs clear -> KLAR
P11	b5fcea1eaed06b2f2291	okaiin|qokaiin	1	8	SETZEN	V50_SELECTED_OK_OPERATOR	Den nächsten lokal bestimmten Artikelposten setzen.	Die nächste lokal bestimmte Arbeitszelle oder Charge setzen.	„Beginnen“ stammt aus Kopfposition; `<ARG_AIIN>` erbt niemals MASS.	KEEP	begin the next measured entry -> SETZEN
P12	b921a237be883a820352	chey|chy|dy|shy|sy|y	9	9	DIES?	BALANCED_BUT_OPAQUE_EXACT_CARD	Dieser lokal durch Bild und Artikel bestimmte Teil oder Posten.	Dieser lokal durch Station und Record bestimmte Arbeits- oder Flüssigkeitsposten.	Das unsichtbare Nomen wechselt vollständig mit dem Register; V49 ließ die exakte Karte opak.	LOCAL_ONLY	this present portion
P13	dcda95c81a5460feb191	cheol|chol|ol|qol|sol|tol	3	16	VERKNÜPFEN	V50_SELECTED_L_OPERATOR	Den örtlichen Artikelposten mit dem vorigen Zubereitungsstand verknüpfen.	Den örtlichen Arbeitsposten mit Charge, Lauf oder Station verknüpfen.	Vorbereitung, Medium und Richtung sind nicht Teil von FRAME_O(LINK).	KEEP	with the foregoing preparation -> VERKNÜPFEN
P14	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	1	9	AN	V50_SELECTED_AL_RELATION	An dem durch Pflanzenbild oder Artikel bestimmten Ort.	An der durch Figur, Becken oder Auslauf bestimmten Station.	V20s Anwenden ist nicht in der Relation enthalten; selbst das Ziel bleibt still.	KEEP	apply it at the place indicated by the drawing -> AN
P15	dec401773c1f0347793d	cholor|olor	1	1	ZUVOR	V51_SELECTED_OLOR	Auf den zuvor im Artikel gesetzten Zubereitungsstand zurückbeziehen.	Auf den zuvor im Arbeitsrecord gesetzten Posten zurückbeziehen.	Nur zwei Vorkommen; Rückbezug, Zeit und Herkunft sind nicht eindeutig getrennt.	KEEP	from the foregoing batch -> ZUVOR
P16	e0b630cb1b5df5e7105b	checthy|cthy|shcthy	3	4	BEREIT	V51_SELECTED_CTHY	Die lokale Pflanzenzubereitung ist für den nächsten Artikelschritt bereit.	Der lokale Arbeitsbestand ist für den nächsten Stationsschritt bereit.	Bereitschaft kann Zustand, Rubrikfunktion oder bloße häufige Ganzkarte sein.	KEEP	when the preparation is ready -> BEREIT
P17	faf321940aed922846a9	otchey	1	1	TEIL	V50_SELECTED_CHEY_WITH_FORMAL_OT_FRAME	Der lokal markierte Pflanzenteil oder Anteil; OT bleibt formaler Rahmen.	Der lokal markierte Arbeitsteil oder Anteil; OT bleibt formaler Rahmen.	Finalität und Nehmen stammen aus Position; MARKIEREN und TEIL bilden keine bewiesene gesprochene Phrase.	KEEP	take the final indicated share -> TEIL
