candidate_id	candidate_kind	exact_card_or_construction	herbal_exact_card_count	bio_exact_card_count	herbal_exact_construction_count	bio_exact_construction_count	minimal_invariant_prompt	herbal_local_fillers	bio_local_fillers	held_contradiction	decision	decoder_treatment
T01	EXACT_CARD	daiin	6	5	0	0	VORGABEPARAMETER EINTRAGEN?	Maß oder Anteil einer Bildpflanzen-Bereitung	Menge, Dauer oder Einstellung einer Charge	Alle elf lokalen Lesungen sagen Maß, doch diese Formulierungen stammen aus derselben V49-Arbeitsannahme; keine sichtbare Skala besitzt den Wert.	KEEP	PROMPT_LOAD(STANDARD_PARAMETER?) ohne Einheit oder Objekt
T02	EXACT_CARD	aiin	1	2	0	0	VORGABEPARAMETER?	Maß eines Auszugs	Maß oder Standard einer Beckencharge	Nur drei Belege; `aiin` ist eine andere exakte Karte als `daiin` und darf weder per Teilstring noch PAGE_HOST mit ihr vereinigt werden.	LOCAL_ONLY	Kein Transfer; Register darf lokal einen Parameter ergänzen
T03	EXACT_CARD_PLUS_EXACT_FORMULA	qokaiin + SET(<ARG_AIIN>)	1	7	1	8	STANDARD-SLOT SETZEN	neue Portion oder zweite Bereitung aktivieren	neue Charge, Badzelle oder Konfiguration aktivieren	Nur ein Herbal-Beleg; Bio ist stark feldanfangs-/Reset-lastig, und ein achtes Bio-SET besitzt eine andere Oberfläche. Deshalb kein „nehmen“, „Maß“ oder „nächster Artikel“ im Prompt.	KEEP	CTRL_SET(STANDARD_SLOT); Oberfläche qokaiin ist ein häufigster Realisierer, nicht die Bedeutung von ARG_AIIN
T04	EXACT_CARD_PLUS_EXACT_FORMULA	okal + SET(<ARG_AL>)	1	1	1	5	LOKALEN RELATIONS-SLOT SETZEN	zwei Stoffanteile oder Bereitungsstände lokal zusammenstellen	zwei Chargen, Wege oder Stationszustände lokal zusammenstellen	„Mische beide Anteile“ ist lokale Prosa; SET und ARG_AL liefern weder Mischen noch zwei Stoffe. Vier Bio-Konstruktionen besitzen andere vollständige Oberflächen.	KEEP	CTRL_SET(LOCAL_RELATION_SLOT); Füller erst aus dem Register
T05	EXACT_FORMAL_CONSTRUCTION	FRAME_O(LINK)	0	0	3	16	AKTIVEN ARBEITSSTAND VERKNÜPFEN	vorige Bereitung, Teil oder Artikelzustand	vorige Charge, Leitung oder Station	Die Konstruktion ist offen und positionsbeweglich; sie beweist keine zeitliche Anapher und kein bestimmtes Objekt. Nur LINK ist invariant.	KEEP	CTRL_LINK(ACTIVE_STATE); weder „zuvor“ noch Objekt automatisch einsetzen
T06	EXACT_CARD_PLUS_CLOSE	oldy + CLOSE(FRAME_O(LINK))	1	1	1	1	Kandidat: KOCHEN ODER WEITERFÜHREN	warme Herbal-Bereitung	warme Bio-Charge	Beide V49-Lesungen „koche sanft“ sind vollständig CLOSE- und Kontext-konfundiert; die exakte Form trägt lediglich LINK unter einem Schlussbaum.	WITHDRAW	Nur STRUCT_COMMIT und eingebettetes LINK bewahren; keinen Quellenprompt emittieren
T07	EXACT_CARD	dy	4	1	0	0	AKTUELLER POSTEN?	aktiver Pflanzenteil oder Anteil	aktive Portion einer Anwendung	Bio besitzt nur einen Beleg; „aktuell/aktiv“ ist ein deiktischer Registerfüller ohne unabhängigen Gegenstand oder formale Operation.	LOCAL_ONLY	LOCAL_SLOT(CURRENT_ITEM?) nur innerhalb des jeweiligen Records
T08	EXACT_CARD	chedy	1	9	0	0	AKTUELLEN ZUSTAND AUSGLEICHEN?	Extrakt oder Mischung rühren	Fluss oder Charge rühren beziehungsweise egalisieren	Der einzige Herbal-Beleg trägt die ganze Brücke; „rühren“ ist in beiden Registern aus lokaler Prozessprosa eingesetzt, nicht aus einem Anker.	LOCAL_ONLY	LOCAL_ACTION(EQUALIZE?) ohne Transfergarantie
T09	EXACT_CARD	or	1	1	0	0	AKTUELLE BEREITUNG?	bereiteter Pflanzenauszug	bereitete Arbeitsflüssigkeit oder Charge	Nur 1+1 Belege; V50s BEREITUNG? war eine Host-Hypothese und wird hier nicht als Beweis für die exakte Oberfläche wiederverwendet.	LOCAL_ONLY	LOCAL_SLOT(PREPARED_ITEM?)
T10	EXACT_CARD	char	1	1	0	0	AUS DEM AKTUELLEN POSTEN?	aus derselben Herbal-Bereitung	aus derselben Bio-Charge	Nur 1+1 und vollständig durch stillen Antezedenten gefüllt; darf nicht mit `dar` zusammengelegt werden.	LOCAL_ONLY	LOCAL_RELATION(SAME_SOURCE?)
