joint_tuple_id	surface_examples	herbal_events	bio_events	minimal_invariant_prompt_German	decision	herbal_expansion	bio_expansion	main_contradiction
2f1c5e56e8f0ff459065	aiin chaiin daiin saiin taiin	9	11	vorgeschriebenes MASS?	KEEP_SHARED_SOURCE_MNEMONIC	Mass eines Pflanzenteils oder Auszugs	Mass einer Charge eines Bades oder einer Anwendung	MASS ist nicht unabhaengig als Zahl oder Einheit normiert.
dcda95c81a5460feb191	cheol chol ol qol sol tol	3	16	unter demselben Bezug VERKNUEPFEN	KEEP_SHARED_FORMAL_PROMPT	mit vorigem Pflanzenansatz weiter	mit Vorlauf Ruecklauf oder voriger Behandlung weiter	Der Bezug wird nie von der Karte selbst benannt.
b921a237be883a820352	chey chy dy shy sy y	9	9	aktueller SLOT?	EXPLORATORY_SHARED_SLOT	aktueller Stoff- oder Artikelposten	aktuelle Charge Station oder Anwendung	V49/V50 liess die Karte inhaltlich unbekannt; CURRENT ist nur Formularlesung.
6f7ff8287eddf4da9fdb	chdy chedy	1	10	gleichmaessig BEARBEITEN oder MISCHEN?	EXPLORATORY_SHARED_PROCESS	Pflanzenmaterial mischen oder bearbeiten	Fluessigkeit oder Charge mischen	Das einzige Herbal-Vorkommen kann die Bio-Lesung nicht unterscheiden.
276a7c2d74d1143446f4	choky oky qoky	3	7	aktiven Posten VERWENDEN?	KEEP_SHARED_SOURCE_MNEMONIC	Arzneianteil gebrauchen	Bad Spuelung oder Stationsschritt ausfuehren	Das stille Objekt wechselt vollstaendig mit dem Register.
dd0ecaf5e27d81befffc	al chal cheal dal sal tal	1	9	AN? den markierten Bezug	KEEP_SHARED_FORMAL_RELATION	an die lokale Anwendung	an Oeffnung Figur oder Station	Ziel und Richtung sind Bildargumente, keine Kartenbedeutung.
b5fcea1eaed06b2f2291	okaiin qokaiin	1	8	neuen Posten SETZEN	KEEP_SHARED_FORMAL_PROMPT	neue Pflanzenzubereitung ansetzen	neue Becken- oder Stationscharge einsetzen	SET sagt weder nehmen noch messen noch Fluessigkeit.
e0b630cb1b5df5e7105b	checthy cthy shcthy	3	4	BEREIT?	KEEP_SHARED_SOURCE_MNEMONIC	Zubereitung gebrauchsfertig	Charge oder Station arbeitsbereit	Bereit kann ebenso eine Formularstatusklasse sein.
7a4bb8136330ee4e6e56	chor or shor sor	5	2	BEREITUNG?	KEEP_WEAK_SHARED_CONTENT	Pflanzenauszug oder bereiteter Stoff	vorbereiteter Arbeitsbestand	Die Fluessigkeits- und Stofflesung stammt aus lokalen Expansionen.
308e8ea2d5d190c498e8	okal qokal	1	5	zwei Posten zusammen SETZEN?	KEEP_SHARED_FORMAL_CONSTRUCTION	zwei Pflanzenanteile verbinden	zwei Chargen oder Zustaende verbinden	ZWEI und MISCHEN sind nicht separat belegt.
4d4559019a961b834aa1	char dar sar	2	3	DARAUS oder gleiche Quelle?	EXPLORATORY_SHARED_SOURCE_RELATION	aus demselben Pflanzenansatz	aus derselben Charge	Die exakte Karte kann ein allgemeiner Fortsetzungsmarker sein.
b5df9126607030b95175	cheey shey	1	3	KLAR?	EXPOSED_SHARED_STATE	Auszug klaeren	Lauf oder Charge klaeren	Der Wert ist klein und teilweise terminal-/Fluessigkeitskonfundiert.
80ebbbbf238eee9f0aef	chety chty	1	1	gleichmaessig BEARBEITEN?	LOCAL_ONLY_LOW_CAPACITY	Pflanzenmaterial bearbeiten	Charge bearbeiten	Ein Vorkommen je Register traegt keine starke gemeinsame Phrase.
dec401773c1f0347793d	cholor olor	1	1	ZUVOR? daraus entnehmen	LOCAL_ONLY_LOW_CAPACITY	aus vorigem Ansatz	vom vorigen Arbeitsstand	Ein Vorkommen je Register und komplexe Phrase.
2c1a5fd92b9e3c762242	cheeky	1	1	WARM?	LOCAL_ONLY_LOW_CAPACITY	warme Pflanzenzubereitung	warme Charge oder Anwendung	Ein Vorkommen je Register; Wärme kann lokaler Kontext sein.
1b1ffdd869fb1429ad03	oldy	1	1	LINK plus CLOSE	FORMAL_ONLY_NO_SOURCE_PHRASE	verknuepftes Herbal-Feld mit Schluss	verknuepfte Bio-Zelle mit Schluss	Der gemeinsame Effekt ist vollstaendig durch Konstruktion und Feldende erklaert.
faf321940aed922846a9	otchey	1	1	bezeichneter TEIL?	LOCAL_ONLY_LOW_CAPACITY	markierter Pflanzenteil	markierter Stoff- oder Stationsanteil	Ein Vorkommen je Register; sichtbares Teilwort wird nicht zerlegt.
