record_unit_id	page	record_line_no	locus	event_ids	surfaces	atomic_values_de	statement_ids	microcycles	owner_sequence	decision_from_previous_line	source_positions_contributed
H1	f10r	1	f10r.2	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	dchey cthoor char chty os chair otytchol oky daiin etyd	Wurzelteil → Bereitansatz → Quelle → Zerkleinern → Gefäß → Wasserzulauf → Folgeteilfortsetzung → Einsetzen → Sollmaß → Kurzrest	H1-S001	1|2|3|4|5	Wurzel und übrige Teile der abgebildeten Pflanze	RECORD_START	10
H1	f10r	2	f10r.5	E011|E012|E013|E014	qokchy qotchol chol cthy	Einsetzen → Folgefortsetzung → Fortsetzung → Bereit	H1-S002	1|2	Wurzel und übrige Teile der abgebildeten Pflanze	REAL_CYCLE_OR_OWNER_RESET	4
H2	f10r	1	f10r.6	E015|E016|E017|E018|E019|E020|E021|E022|E023	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Auszugsansatz → Bereit → Ansatz → Bereitsollmaß → Folgefortsetzungsposten → Diesposten → Diesposten → Sollmaß → Diesposten	H2-S001	1|2|3|4	zweiter Arbeitsartikel unter demselben Pflanzenbild	RECORD_START	9
H2	f10r	2	f10r.8	E024|E025|E026|E027|E028|E029|E030|E031	qotchor chor otol chol cholor chol daiin dar	Folgeansatz → Ansatz → Folgefortsetzung → Fortsetzung → Fortsetzungsansatz → Fortsetzung → Sollmaß → Quelle	H2-S002	1|2	zweiter Arbeitsartikel unter demselben Pflanzenbild	REAL_CYCLE_OR_OWNER_RESET	8
H2	f10r	3	f10r.9	E032|E033|E034|E035|E036|E037|E038	oykchor shor chor chy kaiiin dy chodaiin	Gefäßansatz → Ansatz → Ansatz → Diesposten → Bindestufe → Diesposten → Zutatsollmaß	H2-S003	1|2	zweiter Arbeitsartikel unter demselben Pflanzenbild	REAL_CYCLE_OR_OWNER_RESET	7
H3	f11r	1	f11r.1	E039|E040|E041|E042|E043|E044|E045|E046	tshol schoal cfhy shfydaiin cphy shey tchody shoyty	Blütenkraut → Zieleingabe → Auswringen → Standzeit → Nachseihen → Klarauszug → Rücknahmeschluss → Zutatfolgeteil	H3-S001|H3-S002	1|2	Blütenkraut der abgebildeten Pflanze	RECORD_START	8
H3	f11r	2	f11r.4	E047|E048|E049|E050|E051	dchol chy kchy dy daiin	Vorfortsetzung → Diesposten → Bindeposten → Diesposten → Sollmaß	H3-S003	1|2	Blütenkraut der abgebildeten Pflanze	REAL_CYCLE_OR_OWNER_RESET	5
H3	f11r	3	f11r.7	E052|E053|E054|E055	qotchy okchol cthy dy	Folgeposten → Fortsetzungseinsatz → Bereit → Diesposten	H3-S004	1|2	Blütenkraut der abgebildeten Pflanze	REAL_CYCLE_OR_OWNER_RESET	4
H4	f55v	1	f55v.5	E056|E057|E058|E059|E060|E061|E062|E063	qokaiin chaiin ykain ykan ody daiin chedy talam	Sollstellung → Sollmaß → Postenportion → Postenzweitportion → Rücknahmeschluss → Sollmaß → Umsetzen → Verwahren	H4-S001|H4-S002	1	Blattmaterial der abgebildeten Pflanze	RECORD_START	8
H4	f55v	2	f55v.11	E064|E065|E066|E067|E068|E069|E070|E071|E072|E073	ykaiin cheoar cheeky oldy aiin okal oltchy or y orain	Postensollmaß → Auszugnahme → Langwärme → Fortschluss → Sollmaß → Zieleinsatz → Fortsetzungszubereitung → Ansatz → Diesposten → Ansatzportion	H4-S003|H4-S004	1|2	Blattmaterial der abgebildeten Pflanze	REAL_CYCLE_OR_OWNER_RESET	10
H5	f56r	1	f56r.5	E074|E075|E076|E077	chochor cho chodaly daiin	Zutatenansatz → Zutat → Zutatstelle → Sollmaß	H5-S001	1|2	Stängel-/Pflanzenteil der abgebildeten Pflanze	RECORD_START	4
H5	f56r	2	f56r.7	E078|E079|E080|E081|E082	sho kchol otchor choky dal	Zutat → Bindefortsetzung → Folgeansatz → Einsetzen → Stelle	H5-S001	3	Stängel-/Pflanzenteil der abgebildeten Pflanze	REAL_CYCLE_OR_OWNER_RESET	5
H5	f56r	3	f56r.8	E083|E084|E085|E086	schol choy choky cheeckhody	Vorfortsetzung → Zutatposten → Einsetzen → Auftragsschluss	H5-S002	1	Stängel-/Pflanzenteil der abgebildeten Pflanze	REAL_CYCLE_OR_OWNER_RESET	4
H5	f56r	4	f56r.12	E087|E088|E089|E090	sh cho kchey qokokchy	Pflanzenteil → Zutat → Kurzbindeposten → Wiedereinsatz	H5-S003	1|2	Stängel-/Pflanzenteil der abgebildeten Pflanze	REAL_CYCLE_OR_OWNER_RESET	4
H5	f56r	5	f56r.13	E091|E092|E093	okchy chokcheo kchal	Einsetzen → Auszugzugabe → Zielbindung	H5-S004	1|2	Stängel-/Pflanzenteil der abgebildeten Pflanze	REAL_CYCLE_OR_OWNER_RESET	3
H5	f56r	6	f56r.18	E094|E095|E096|E097	sho chokchy kchoar sotodan	Zutat → Einsetzen → Quellenzutatbindung → Gebrauchen	H5-S005	1|2	Stängel-/Pflanzenteil der abgebildeten Pflanze	REAL_CYCLE_OR_OWNER_RESET	4
H5	f56r	7	f56r.19	E098|E099|E100	otchey keol daiin	Folgeposten → Kurzbindefortsetzung → Sollmaß	H5-S006	1	Stängel-/Pflanzenteil der abgebildeten Pflanze	REAL_CYCLE_OR_OWNER_RESET	3
B1	f81v	1	f81v.2	E101|E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112	qokedy okaiin kair okal sar ol kain olkain al ol rol dl	Kurzkontakt → Sollstellung → Beckenlauf → Zieleinsatz → Quelle → Fortsetzung → Portion → Folgeportion → Stelle → Fortsetzung → Anschluss → Zusatz	B1-S001|B1-S002	1|2|3	B1_SHARED_TWO_ROW_POOL	RECORD_START	12
B1	f81v	2	f81v.7	E113|E114|E115|E116|E117|E118|E119|E120|E121	olor ol sheckhal daiin qokeedal daiin chckhy schedy qol	Fortsetzungsansatz → Fortsetzung → Zielkurzpassage → Sollmaß → Ziellanghalt → Sollmaß → durchleiten → überführen → Fortsetzung	B1-S002|B1-S003	4|5|6|1	B1_SHARED_TWO_ROW_POOL	REAL_CYCLE_OR_OWNER_RESET	9
B1	f81v	3	f81v.17	E122|E123|E124|E125|E126|E127|E128|E129|E130	sshkchdy chedy ol shedy qolchedy qokain shckhy dl ral	Umsetzschluss → Umsetzen → Fortsetzung → Kurzabsetzung → weiterführen → Zugabe → durchleiten → Zusatz → Zielmarke	B1-S003|B1-S004|B1-S005|B1-S006	1|2	B1_SHARED_TWO_ROW_POOL	CONTINUE_ACROSS_LINE	9
B1	f81v	4	f81v.18	E131|E132|E133|E134|E135|E136|E137|E138|E139|E140	qokchdy chey ol cheky ol shedy qokedy qokedy chckhy qoky	Neueinsatz → Diesposten → Fortsetzung → Kurzwärme → Fortsetzung → Kurzabsetzung → Kurzkontakt → Kurzkontakt → durchleiten → Einsetzen	B1-S007|B1-S008|B1-S009|B1-S010|B1-S011	1|2	B1_SHARED_TWO_ROW_POOL	REAL_CYCLE_OR_OWNER_RESET	10
B1	f81v	5	f81v.21	E141|E142|E143|E144|E145|E146|E147|E148|E149	lsho qokey lshedy lshedy chedy qolky lchedal qol otar	Waschgang → Kurzkontakt → Waschgang → Waschgang → Umsetzen → Weiterweg → Zielabführung → Fortsetzung → Folgequelle	B1-S012|B1-S013|B1-S014	1|2|3	B1_SHARED_TWO_ROW_POOL	REAL_CYCLE_OR_OWNER_RESET	9
B1	f81v	6	f81v.24	E150|E151|E152|E153|E154|E155|E156|E157|E158|E159	ytey okchedy qokal okeey qol cheedy sal teol dchdy ly	Kurzteil → Rücktransfer → Zieleinsatz → Langkontakt → Fortsetzung → Kurzabsetzung → Stelle → Kurzfortgang → Transfer → Auffanggefäß	B1-S015|B1-S016|B1-S017|B1-S018	1|2|3	B1_SHARED_TWO_ROW_POOL	REAL_CYCLE_OR_OWNER_RESET	10
B1	f81v	7	f81v.27	E160|E161|E162|E163|E164|E165|E166	dsheol oiiin olkeedy tedy cheky shckhedy chal	Kurzhalt → Arbeitsstufe → Langsammlung → Kurzabsetzung → Kurzwärme → durchlassen → Stelle	B1-S018|B1-S019|B1-S020|B1-S021	1|2	B1_SHARED_TWO_ROW_POOL	CONTINUE_ACROSS_LINE	7
B2	f82r	1	f82r.2	E167|E168|E169|E170|E171|E172|E173|E174	dchedy qolchedy qokain dy qokeedy qokal lcheckhy lched	überführen → weiterführen → Zugabe → Diesposten → Langkontakt → Zieleinsatz → Abführpassage → Abführung	B2-S001|B2-S002|B2-S003|B2-S004	1|2	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	RECORD_START	8
B2	f82r	2	f82r.3	E175|E176|E177|E178|E179|E180	qokeey lcheckhedy qokaly solkaiin chckhy qokaiin	Langkontakt → Trennabzug → Zieleinsatz → Sollsammlung → durchleiten → Sollstellung	B2-S004|B2-S005	2|3|1	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	CONTINUE_ACROSS_LINE	5
B2	f82r	3	f82r.4	E181|E182|E183|E184|E185|E186|E187|E188	qokaiin octheol chkeey ldy oteey qokal sheckhy qoky	Sollstellung → Folgevorbereitung → Langwärmen → abziehen → Langfolge → Zieleinsatz → Kurzpassage → Einsetzen	B2-S005|B2-S006	3|4|5|1|2	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	READ_ONCE_CARRY	8
B2	f82r	4	f82r.7	E189|E190|E191|E192|E193|E194|E195|E196|E197	dshedy sotaiin qokar shedy solshedy qokeey qoky ls cheey	Vorabsetzschluss → Folgemaß → Quelleinsatz → Kurzabsetzung → Folgeabsetzen → Langkontakt → Einsetzen → Auslass → Klarauszug	B2-S007|B2-S008|B2-S009|B2-S010	1|2	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	REAL_CYCLE_OR_OWNER_RESET	9
B2	f82r	5	f82r.19	E198|E199|E200|E201|E202	okain char okain qokeedy lchy	Zugabe → Quelle → Zugabe → Langkontakt → Abführgut	B2-S011|B2-S012	1|2	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	REAL_CYCLE_OR_OWNER_RESET	5
B2	f82r	6	f82r.23	E203|E204|E205|E206|E207|E208|E209|E210|E211	cheey qcthey qokeey lcheey daiin chey qokeeedy lchedy lar	Klarauszug → Kurzvorbereitung → Langkontakt → Klarabzug → Sollmaß → Diesposten → Volleinsatz → abführen → Quellabzug	B2-S012|B2-S013|B2-S014	1|2|3|4	B2_LOWER_GREEN_MULTI_FIGURE_POOL	REAL_CYCLE_OR_OWNER_RESET	9
B2	f82r	7	f82r.26	E212|E213|E214|E215|E216|E217|E218|E219|E220	tshey qokeedy cheal lchedar ches aiin oteey qokaiin okey	Folgeklarlauf → Langkontakt → Stelle → Quellabführung → teilen → Sollmaß → Langfolge → Sollstellung → Kurzkontakt	B2-S015|B2-S016	1|2|3|4	B2_LOWER_POOL_EDGE_STATIONS	REAL_CYCLE_OR_OWNER_RESET	9
B2	f82r	8	f82r.27	E221|E222|E223|E224|E225|E226|E227|E228	pchedy rsheal daldy qokeedy rshedy qoteedy qokeedy lochedy	Zuführung → Zielkurzhalt → Zielschluss → Langkontakt → Absetzschluss → Langfolgestufe → Langkontakt → Abführung	B2-S016|B2-S017|B2-S018|B2-S019|B2-S020|B2-S021|B2-S022	5|1	B2_LOWER_POOL_EDGE_STATIONS	REAL_CYCLE_OR_OWNER_RESET	8
B3	f83r	1	f83r.3	E229|E230|E231|E232|E233|E234|E235|E236|E237|E238	olkeedy qotal chkeedy chey daiin chey lchedy qokaiin qotal dar	Langsammlung → Folgeziel → Langwärmen → Diesposten → Sollmaß → Diesposten → abführen → Sollstellung → Folgeziel → Quelle	B3-S001|B3-S002|B3-S003|B3-S004	1|2	B3_UPPER_MARGIN_OPEN_FAN_STATION	RECORD_START	10
B3	f83r	2	f83r.6	E239|E240|E241|E242|E243|E244|E245|E246|E247	schedy chedchy qokal olchedy qokaiin chedy qokeedy lchedy qoky	überführen → Postentransfer → Zieleinsatz → weiterführen → Sollstellung → Umsetzen → Langkontakt → abführen → Einsetzen	B3-S005|B3-S006|B3-S007|B3-S008|B3-S009	1|2	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	REAL_CYCLE_OR_OWNER_RESET	9
B3	f83r	3	f83r.8	E248|E249|E250|E251|E252|E253	pchedal otedy shecthedchy qoky chedy chary	Zielzuführung → Kurzfolge → Vorbereitungstransfer → Einsetzen → Umsetzen → Quellposten	B3-S010|B3-S011	1|2|3	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	REAL_CYCLE_OR_OWNER_RESET	6
B3	f83r	4	f83r.11	E254|E255|E256|E257|E258|E259|E260|E261|E262|E263	sor shedy qokaiin chkain shcthey qokedy okair sheedy lchedy lo	Ansatz → Kurzabsetzung → Sollstellung → Portion → Kurzvorbereitung → Kurzkontakt → Laufeinsatz → Langabsetzen → abführen → Abzug	B3-S012|B3-S013|B3-S014|B3-S015|B3-S016	1|2	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	REAL_CYCLE_OR_OWNER_RESET	10
B3	f83r	5	f83r.14	E264|E265|E266|E267|E268|E269|E270|E271|E272|E273	qokchedy qokeedy shedy qokshedy dal lchedy qokaiin shcthy dal sy	Rücktransfer → Langkontakt → Kurzabsetzung → Einsatzabsetzen → Stelle → abführen → Sollstellung → Bereit → Stelle → Diesposten	B3-S016|B3-S017|B3-S018|B3-S019|B3-S020|B3-S021	1|2|3	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	REAL_CYCLE_OR_OWNER_RESET	10
B3	f83r	6	f83r.15	E274|E275|E276|E277|E278|E279|E280|E281|E282	saiin shedal shecthy chey tal shcthy dalchdy qotchedy lchedy	Sollmaß → Zielabsetzung → Kurzvorbereitung → Diesposten → Stelle → Bereit → Zieltransfer → Folgetransfer → abführen	B3-S021|B3-S022|B3-S023	3|4|5|1	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	CONTINUE_ACROSS_LINE	9
