transition_no	record_unit_id	page	left_event_id	left_locus	left_surface	left_joint_tuple_id	left_statement_id	left_microcycle	left_slot	left_owner	right_event_id	right_locus	right_surface	right_joint_tuple_id	right_statement_id	right_microcycle	right_slot	right_owner	same_exact_card	same_owner	same_statement	same_microcycle	slot_descent	decision	source_tokens_for_visible_pair	explanation_de
1	H1	f10r	E010	f10r.2	etyd	a6939862e33ece5a0483	H1-S001	5	S6_BEREIT_ABSCHLUSS	Wurzel und übrige Teile der abgebildeten Pflanze	E011	f10r.5	qokchy	9ad66e67803a12e745de	H1-S002	1	S5_ZIEL_ANWENDUNG	Wurzel und übrige Teile der abgebildeten Pflanze	NO	YES	NO	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
2	H2	f10r	E023	f10r.6	shy	b921a237be883a820352	H2-S001	4	S1_BEZUG_FOLGE	zweiter Arbeitsartikel unter demselben Pflanzenbild	E024	f10r.8	qotchor	10488b911aae52b3b334	H2-S002	1	S1_BEZUG_FOLGE	zweiter Arbeitsartikel unter demselben Pflanzenbild	NO	YES	NO	NO	NO	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
3	H2	f10r	E031	f10r.8	dar	4d4559019a961b834aa1	H2-S002	2	S1_BEZUG_FOLGE	zweiter Arbeitsartikel unter demselben Pflanzenbild	E032	f10r.9	oykchor	27d97af8c96eb056c2e6	H2-S003	1	S1_BEZUG_FOLGE	zweiter Arbeitsartikel unter demselben Pflanzenbild	NO	YES	NO	NO	NO	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
4	H3	f11r	E046	f11r.1	shoyty	577c03a928d674d420d7	H3-S002	1	S1_BEZUG_FOLGE	Blütenkraut der abgebildeten Pflanze	E047	f11r.4	dchol	d665560c8ff80799a82c	H3-S003	1	S1_BEZUG_FOLGE	Blütenkraut der abgebildeten Pflanze	NO	YES	NO	NO	NO	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
5	H3	f11r	E051	f11r.4	daiin	2f1c5e56e8f0ff459065	H3-S003	2	S2_MATERIAL_MASS	Blütenkraut der abgebildeten Pflanze	E052	f11r.7	qotchy	a48efd6c4491a046ba78	H3-S004	1	S1_BEZUG_FOLGE	Blütenkraut der abgebildeten Pflanze	NO	YES	NO	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
6	H4	f55v	E063	f55v.5	talam	e026af581c99322fbd46	H4-S002	1	S6_BEREIT_ABSCHLUSS	Blattmaterial der abgebildeten Pflanze	E064	f55v.11	ykaiin	f7dc90b2c31fd341f0a4	H4-S003	1	S2_MATERIAL_MASS	Blattmaterial der abgebildeten Pflanze	NO	YES	NO	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
7	H5	f56r	E077	f56r.5	daiin	2f1c5e56e8f0ff459065	H5-S001	2	S2_MATERIAL_MASS	Stängel-/Pflanzenteil der abgebildeten Pflanze	E078	f56r.7	sho	2cc054357a929df85f64	H5-S001	3	S1_BEZUG_FOLGE	Stängel-/Pflanzenteil der abgebildeten Pflanze	NO	YES	YES	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
8	H5	f56r	E082	f56r.7	dal	dd0ecaf5e27d81befffc	H5-S001	3	S5_ZIEL_ANWENDUNG	Stängel-/Pflanzenteil der abgebildeten Pflanze	E083	f56r.8	schol	d665560c8ff80799a82c	H5-S002	1	S1_BEZUG_FOLGE	Stängel-/Pflanzenteil der abgebildeten Pflanze	NO	YES	NO	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
9	H5	f56r	E086	f56r.8	cheeckhody	95987d6f198d6d247511	H5-S002	1	S6_BEREIT_ABSCHLUSS	Stängel-/Pflanzenteil der abgebildeten Pflanze	E087	f56r.12	sh	ad3581d3144f69a5912d	H5-S003	1	S1_BEZUG_FOLGE	Stängel-/Pflanzenteil der abgebildeten Pflanze	NO	YES	NO	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
10	H5	f56r	E090	f56r.12	qokokchy	1322bc176443fc2a8a86	H5-S003	2	S5_ZIEL_ANWENDUNG	Stängel-/Pflanzenteil der abgebildeten Pflanze	E091	f56r.13	okchy	9ad66e67803a12e745de	H5-S004	1	S5_ZIEL_ANWENDUNG	Stängel-/Pflanzenteil der abgebildeten Pflanze	NO	YES	NO	NO	NO	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
11	H5	f56r	E093	f56r.13	kchal	75a523fcf039b006f97b	H5-S004	2	S5_ZIEL_ANWENDUNG	Stängel-/Pflanzenteil der abgebildeten Pflanze	E094	f56r.18	sho	2cc054357a929df85f64	H5-S005	1	S1_BEZUG_FOLGE	Stängel-/Pflanzenteil der abgebildeten Pflanze	NO	YES	NO	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
12	H5	f56r	E097	f56r.18	sotodan	61a075bc54793c1c781f	H5-S005	2	S5_ZIEL_ANWENDUNG	Stängel-/Pflanzenteil der abgebildeten Pflanze	E098	f56r.19	otchey	faf321940aed922846a9	H5-S006	1	S1_BEZUG_FOLGE	Stängel-/Pflanzenteil der abgebildeten Pflanze	NO	YES	NO	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
13	B1	f81v	E112	f81v.2	dl	0f18de177ed7c878bf95	B1-S002	3	S2_MATERIAL_MASS	B1_SHARED_TWO_ROW_POOL	E113	f81v.7	olor	dec401773c1f0347793d	B1-S002	4	S1_BEZUG_FOLGE	B1_SHARED_TWO_ROW_POOL	NO	YES	YES	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
14	B1	f81v	E121	f81v.7	qol	dcda95c81a5460feb191	B1-S003	1	S1_BEZUG_FOLGE	B1_SHARED_TWO_ROW_POOL	E122	f81v.17	sshkchdy	54e32e9c1414b20640e9	B1-S003	1	S3_PROZESS_TRANSFER	B1_SHARED_TWO_ROW_POOL	NO	YES	YES	YES	NO	CONTINUE_ACROSS_LINE	2	Gleicher Besitzer und Mikrogang, verschiedene Karten, vorwärts laufender Slot.
15	B1	f81v	E130	f81v.17	ral	4da0f0f7b5fc7ac20067	B1-S006	2	S5_ZIEL_ANWENDUNG	B1_SHARED_TWO_ROW_POOL	E131	f81v.18	qokchdy	87411f84689b4f93a303	B1-S007	1	S5_ZIEL_ANWENDUNG	B1_SHARED_TWO_ROW_POOL	NO	YES	NO	NO	NO	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
16	B1	f81v	E140	f81v.18	qoky	276a7c2d74d1143446f4	B1-S011	1	S5_ZIEL_ANWENDUNG	B1_SHARED_TWO_ROW_POOL	E141	f81v.21	lsho	be0974b366c981dc1eef	B1-S012	1	S3_PROZESS_TRANSFER	B1_SHARED_TWO_ROW_POOL	NO	YES	NO	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
17	B1	f81v	E149	f81v.21	otar	b6b654722e55729cc947	B1-S014	3	S1_BEZUG_FOLGE	B1_SHARED_TWO_ROW_POOL	E150	f81v.24	ytey	a7af89ab31ce5e247395	B1-S015	1	S2_MATERIAL_MASS	B1_SHARED_TWO_ROW_POOL	NO	YES	NO	NO	NO	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
18	B1	f81v	E159	f81v.24	ly	b38d70daefd663d74625	B1-S018	1	S3_PROZESS_TRANSFER	B1_SHARED_TWO_ROW_POOL	E160	f81v.27	dsheol	74c76d589d44120f647b	B1-S018	1	S4_DAUER_ZUSTAND	B1_SHARED_TWO_ROW_POOL	NO	YES	YES	YES	NO	CONTINUE_ACROSS_LINE	2	Gleicher Besitzer und Mikrogang, verschiedene Karten, vorwärts laufender Slot.
19	B2	f82r	E174	f82r.2	lched	ba8142680851f24c9ff2	B2-S004	2	S3_PROZESS_TRANSFER	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	E175	f82r.3	qokeey	0275fbf14e07935b0a45	B2-S004	2	S4_DAUER_ZUSTAND	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	YES	YES	YES	NO	CONTINUE_ACROSS_LINE	2	Gleicher Besitzer und Mikrogang, verschiedene Karten, vorwärts laufender Slot.
20	B2	f82r	E180	f82r.3	qokaiin	b5fcea1eaed06b2f2291	B2-S005	3	S2_MATERIAL_MASS	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	E181	f82r.4	qokaiin	b5fcea1eaed06b2f2291	B2-S005	3	S2_MATERIAL_MASS	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	YES	YES	YES	YES	NO	READ_ONCE_CARRY	1	Exakte Karte am alten Rand und neuen Zeilenanfang; gleicher Besitzer und Mikrogang.
21	B2	f82r	E188	f82r.4	qoky	276a7c2d74d1143446f4	B2-S006	2	S5_ZIEL_ANWENDUNG	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	E189	f82r.7	dshedy	cbb42a4fe68068325d6b	B2-S007	1	S3_PROZESS_TRANSFER	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	NO	NO	NO	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
22	B2	f82r	E197	f82r.7	cheey	b5df9126607030b95175	B2-S010	2	S3_PROZESS_TRANSFER	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	E198	f82r.19	okain	1645e612504fcef59ced	B2-S011	1	S2_MATERIAL_MASS	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	NO	NO	NO	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
23	B2	f82r	E202	f82r.19	lchy	0ab57b7166de99db3a55	B2-S012	1	S3_PROZESS_TRANSFER	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	E203	f82r.23	cheey	b5df9126607030b95175	B2-S012	1	S3_PROZESS_TRANSFER	B2_LOWER_GREEN_MULTI_FIGURE_POOL	NO	NO	YES	YES	NO	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
24	B2	f82r	E211	f82r.23	lar	29e0eb222ef2fb99523a	B2-S014	1	S3_PROZESS_TRANSFER	B2_LOWER_GREEN_MULTI_FIGURE_POOL	E212	f82r.26	tshey	d4a31dbcf1ed6d9e5aa9	B2-S015	1	S1_BEZUG_FOLGE	B2_LOWER_POOL_EDGE_STATIONS	NO	NO	NO	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
