component	short_value_de	old10_atom_uses	new4_atom_uses	bridge_status	interpretation_de
Y	DIES	705	292	BRIDGES_BOTH	portabler Werkstattstamm
OK	ANSETZEN	282	166	BRIDGES_BOTH	portabler Werkstattstamm
E	KURZ	261	168	BRIDGES_BOTH	portabler Werkstattstamm
DY	SCHLIESSEN	230	138	BRIDGES_BOTH	portabler Werkstattstamm
O	AUSFÜHREN	229	112	BRIDGES_BOTH	portabler Werkstattstamm
OL	FORTSETZEN	196	129	BRIDGES_BOTH	portabler Werkstattstamm
EE	LÄNGER	176	88	BRIDGES_BOTH	portabler Werkstattstamm
OT	DANACH	128	111	BRIDGES_BOTH	portabler Werkstattstamm
AL	ZIEL	123	106	BRIDGES_BOTH	portabler Werkstattstamm
CH	ENTNEHMEN	171	51	BRIDGES_BOTH	portabler Werkstattstamm
D_ADDR	TEIL	164	58	BRIDGES_BOTH	portabler Werkstattstamm
SH	HALTEN	120	99	BRIDGES_BOTH	portabler Werkstattstamm
AR	QUELLE	112	89	BRIDGES_BOTH	portabler Werkstattstamm
K	ZUGEBEN	141	53	BRIDGES_BOTH	portabler Werkstattstamm
AIIN	SOLLMASS	154	37	BRIDGES_BOTH	portabler Werkstattstamm
S	AUSWÄHLEN	130	52	BRIDGES_BOTH	portabler Werkstattstamm
CHD	UMSETZEN	134	30	BRIDGES_BOTH	portabler Werkstattstamm
OR	ANSATZ	87	64	BRIDGES_BOTH	portabler Werkstattstamm
L	LEITEN	96	35	BRIDGES_BOTH	portabler Werkstattstamm
T	EINSTELLEN	90	37	BRIDGES_BOTH	portabler Werkstattstamm
AIN	PORTION	55	50	BRIDGES_BOTH	portabler Werkstattstamm
R	MARKIEREN	58	15	BRIDGES_BOTH	portabler Werkstattstamm
P	EINSETZEN	36	24	BRIDGES_BOTH	portabler Werkstattstamm
CTH	BEREIT	48	11	BRIDGES_BOTH	portabler Werkstattstamm
SHED	ABSETZEN	42	17	BRIDGES_BOTH	portabler Werkstattstamm
CKH	DURCHLASS	39	16	BRIDGES_BOTH	portabler Werkstattstamm
AM_ADDR	INNEN	16	31	BRIDGES_BOTH	portabler Werkstattstamm
CHEO	AUSZUG	25	20	BRIDGES_BOTH	portabler Werkstattstamm
DA	ZWEIT	27	11	BRIDGES_BOTH	portabler Werkstattstamm
CARRIER_Q	BEGINNEN	31	5	BRIDGES_BOTH	portabler Werkstattstamm
A_ADDR	ORT	26	9	BRIDGES_BOTH	portabler Werkstattstamm
AIR	LAUF	26	7	BRIDGES_BOTH	portabler Werkstattstamm
CHK	BEHANDELN	21	9	BRIDGES_BOTH	portabler Werkstattstamm
IIN	STUFE	19	7	BRIDGES_BOTH	portabler Werkstattstamm
S_ADDR	STERNORT	6	18	BRIDGES_BOTH	portabler Werkstattstamm
SOLK	AUFFANGEN	14	8	BRIDGES_BOTH	portabler Werkstattstamm
EEE	VOLL	13	5	BRIDGES_BOTH	portabler Werkstattstamm
LSH	SPÜLEN	15	2	BRIDGES_BOTH	portabler Werkstattstamm
LOCAL_CHAR_F	NEBENWEG	9	4	BRIDGES_BOTH	portabler Werkstattstamm
CPH	UMLEITEN	11	1	BRIDGES_BOTH	portabler Werkstattstamm
HO	TEILSTOFF	8	3	BRIDGES_BOTH	portabler Werkstattstamm
AN	ZUSATZ	6	3	BRIDGES_BOTH	portabler Werkstattstamm
G_LABEL	PRÜFEN	5	2	BRIDGES_BOTH	portabler Werkstattstamm
CFH	TRENNEN	4	1	BRIDGES_BOTH	portabler Werkstattstamm
LOCAL_CHAR_G	EINMAL	3	2	BRIDGES_BOTH	portabler Werkstattstamm
LOCAL_CHAR_I	UNTERSTUFE	5	0	OLD10_ONLY	seltener lokaler Randstamm
OS	DAZU	4	0	OLD10_ONLY	seltener lokaler Randstamm
D_LABEL	RAND	2	1	BRIDGES_BOTH	portabler Werkstattstamm
S_LABEL	RAHMEN	0	3	NEW4_ONLY	seltener lokaler Randstamm
LOCAL_CHAR_B	PAAR	1	1	BRIDGES_BOTH	portabler Werkstattstamm
M_LOCAL	MITTE	1	1	BRIDGES_BOTH	portabler Werkstattstamm
Z_ADDR	AUSSEN	0	2	NEW4_ONLY	seltener lokaler Randstamm
LD	BEFESTIGEN	1	0	OLD10_ONLY	seltener lokaler Randstamm
LOCAL_CHAR_J	VERBINDEN	0	1	NEW4_ONLY	seltener lokaler Randstamm
LOCAL_CHAR_Z	ZWISCHEN	1	0	OLD10_ONLY	seltener lokaler Randstamm
RESUME_CARD	WIEDER	1	0	OLD10_ONLY	seltener lokaler Randstamm
