formula_card_id	component_recipe	short_value_de	old10_events	new4_events	old10_pages	new4_pages	bridge_status
F001	CHD+Y	DIESEN POSTEN UMSETZEN	38	12	f55v|f56r|f81v|f82r|f83r	f75r	BRIDGES_BOTH
F002	SHED+DY	ABSETZEN; ENDE	30	16	f81v|f82r|f83r	f75r	BRIDGES_BOTH
F003	OK+E+DY	KURZ ANSETZEN; ENDE	28	16	f81v|f82r|f83r	f75r	BRIDGES_BOTH
F004	OK+EE+DY	LAENGER ANSETZEN; ENDE	26	18	f55v|f81v|f82r|f83r	f75r	BRIDGES_BOTH
F005	OK+Y	DIESEN POSTEN ANSETZEN	25	12	f10r|f55v|f56r|f81v|f82r|f83r	f13r|f75r|f88r	BRIDGES_BOTH
F006	OK+AIN	EINE PORTION ANSETZEN	13	22	f55v|f81v|f82r|f83r	f75r	BRIDGES_BOTH
F007	OK+EE+Y	LAENGER ANSETZEN	21	6	f56r|f68r1|f81v|f82r|f83r	f75r|f88r	BRIDGES_BOTH
F008	OK+AIIN	NACH SOLLMASS ANSETZEN	24	2	f55v|f56r|f81v|f82r|f83r	f75r|f88r	BRIDGES_BOTH
F009	OK+AL	AN DER ZIELSTELLE ANSETZEN	19	5	f55v|f68r1|f81v|f82r|f83r	f75r	BRIDGES_BOTH
F010	SH+E+Y	KURZ HALTEN	10	14	f11r|f68r1|f81v|f82r|f83r	f13r|f75r	BRIDGES_BOTH
F011	OT+Y	DANACH DIESER POSTEN	17	4	f10r|f11r|f56r|f67r2|f81v|f82r|f83r	f13r|f75r	BRIDGES_BOTH
F012	D_ADDR+AR	AUS DEM BEZEICHNETEN TEIL	7	12	f10r|f67r2|f81v|f82r|f83r	f13r|f75r|f88r	BRIDGES_BOTH
F013	OK+AR	AUS DER QUELLE ANSETZEN	8	9	f55v|f56r|f81v|f82r	f75r	BRIDGES_BOTH
F014	SH+EE+Y	LAENGER HALTEN	16	2	f68r1|f81v|f82r|f83r	f75r|f88r	BRIDGES_BOTH
F015	L+CHD+DY	WEITER UMSETZEN; ENDE	18	2	f81v|f82r|f83r	f75r	BRIDGES_BOTH
F016	OT+AR	DANACH AUS DER QUELLE	5	9	f10r|f55v|f81v|f83r	f75r	BRIDGES_BOTH
F017	OK+E+Y	KURZ ANSETZEN	6	6	f67r2|f81v|f82r|f83r	f75r	BRIDGES_BOTH
F018	OL+DY	DAMIT FORTFAHREN; ENDE	7	7	f55v|f67r2|f81v|f83r	f13r|f75r|f88r	BRIDGES_BOTH
F019	CHEO+L	DEN AUSZUG WEITERFUEHREN	7	6	f81v|f82r|f83r	f88r	BRIDGES_BOTH
F020	CKH+Y	DURCH DEN DURCHLASS FUEHREN	7	6	f10r|f55v|f81v|f82r	f13r|f75r	BRIDGES_BOTH
F021	OT+E+DY	NAECHSTEN SCHRITT KURZ; ENDE	9	4	f81v|f82r|f83r	f75r	BRIDGES_BOTH
F022	OT+EE+DY	NAECHSTEN SCHRITT LAENGER; ENDE	7	2	f82r|f83r	f75r	BRIDGES_BOTH
F023	OT+EE+Y	NAECHSTEN POSTEN LAENGER HALTEN	5	1	f82r	f75r	BRIDGES_BOTH
F024	S+AR	QUELLE WAEHLEN	6	3	f55v|f81v|f82r|f83r	f75r|f88r	BRIDGES_BOTH
F025	CTH+Y	BIS BEREIT FUEHREN	9	1	f10r|f11r|f56r|f83r	f75r	BRIDGES_BOTH
F026	OT+OR	DER NAECHSTE ANSATZ	7	0	f10r|f68r1|f83r	NONE	OLD10_ONLY
F027	S+AIIN	SOLLWERT WAEHLEN	7	2	f67r2|f81v|f83r	f75r|f88r	BRIDGES_BOTH
F028	CH+OR	VOM ANSATZ ENTNEHMEN	6	3	f10r|f56r	f13r|f88r	BRIDGES_BOTH
F029	S+AIN	EINHEIT WAEHLEN	4	5	f67r2|f82r|f83r	f75r	BRIDGES_BOTH
F030	CHK+E+Y	KURZ BEHANDELN	5	1	f55v|f81v|f83r	f75r	BRIDGES_BOTH
F031	S+AL	ZIELSTELLE WAEHLEN	3	1	f67r2|f81v|f82r	f75r	BRIDGES_BOTH
F032	SH+EE+DY	LAENGER HALTEN; ENDE	4	3	f81v|f82r|f83r	f75r	BRIDGES_BOTH
F033	SH+OL	WEITER HALTEN	4	2	f56r|f81v|f83r	f13r	BRIDGES_BOTH
F034	CHEO+R	AUSZUG MARKIEREN	3	2	f68r1|f82r	f88r	BRIDGES_BOTH
F035	OK+OL	ANSETZEN UND WEITERFÜHREN	6	7	f10r|f11r|f56r|f67r2|f83r	f88r	BRIDGES_BOTH
F036	OL+Y	MIT DIESEM POSTEN WEITER	7	5	f56r|f67r2|f81v|f82r|f83r	f75r	BRIDGES_BOTH
F037	OK+CHD+DY	ANSETZEN, UMSETZEN; ENDE	5	2	f81v|f83r	f75r	BRIDGES_BOTH
F038	OL+CHD+DY	WEITER UMSETZEN; ENDE	6	1	f81v|f82r|f83r	f75r	BRIDGES_BOTH
F039	OT+AL	ZUR NÄCHSTEN STELLE	7	0	f82r|f83r	NONE	OLD10_ONLY
F040	D_ADDR+OL	DEN BEZEICHNETEN TEIL WEITERFÜHREN	3	3	f11r|f81v|f82r	f13r|f88r	BRIDGES_BOTH
F041	LSH+E+DY	KURZ SPÜLEN; ENDE	5	1	f81v|f82r|f83r	f75r	BRIDGES_BOTH
F042	SH+E+DY	KURZ HALTEN; ENDE	3	3	f81v|f82r	f75r	BRIDGES_BOTH
F043	SH+E+OL	KURZ HALTEN UND WEITERFÜHREN	3	3	f81v|f82r|f83r	f75r|f88r	BRIDGES_BOTH
F044	CHK+EE+Y	DIESEN POSTEN LÄNGER BEHANDELN	4	1	f55v|f81v|f82r|f83r	f75r	BRIDGES_BOTH
F045	D_ADDR+OR	BEZEICHNETER TEILANSATZ	2	3	f11r|f83r	f13r|f75r	BRIDGES_BOTH
