surface	truth_recipe	candidate_is_truth	gdt517_compiler_rank	gdt519_rank	candidate_recipe	gdt518_base_score	anchor_cost	gdt519_score	alignment_trace
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	1	1	AIIN+CH+T+Y	0.764149776	2.501307208	3.265456984	aii=>aiin~AIIN@edit2+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	2	2	IIN+CH+T+Y	2.243862570	2.501307208	4.745169778	aii=>iin~IIN@edit2+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	3	3	AIIN+LOCAL_C+T+Y	3.579728202	2.250000000	5.829728202	aii=>aiin~AIIN@edit2+alias0.000 | c=>c~LOCAL_C@edit0+alias0.000 | thy=>thy~T+Y@edit0+alias0.250
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	7	4	A_ADDR+LOCAL_CHAR_I+CH+T+Y	4.837734447	1.501307208	6.339041655	a=>a~A_ADDR@edit0+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | icthy=>cthy~CH+T+Y@edit1+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	5	5	A_ADDR+IIN+CH+T+Y	4.610081495	2.034954432	6.645035927	a=>a~A_ADDR@edit0+alias0.000 | ii=>in~IIN@edit1+alias0.534 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	4	6	IIN+LOCAL_C+T+Y	4.653975888	2.250000000	6.903975888	aii=>iin~IIN@edit2+alias0.000 | c=>c~LOCAL_C@edit0+alias0.000 | thy=>thy~T+Y@edit0+alias0.250
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	10	7	AIN+LOCAL_CHAR_I+CH+T+Y	4.953887523	2.501307208	7.455194731	ai=>ain~AIN@edit2+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	YES	6	8	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	7.259543068	0.501307208	7.760850276	a=>a~A_ADDR@edit0+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	9	9	A_ADDR+AIIN+CH+T+Y	3.544411454	4.501307208	8.045718662	∅=>a~A_ADDR@edit2+alias0.000 | aii=>aiin~AIIN@edit2+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	8	10	A_ADDR+IIN+LOCAL_CHAR_I+CH+T+Y	5.655706443	3.034954432	8.690660875	a=>a~A_ADDR@edit0+alias0.000 | i=>in~IIN@edit2+alias0.534 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	19	11	A_ADDR+LOCAL_CHAR_I+LOCAL_C+T+Y	7.550567524	1.250000000	8.800567524	a=>a~A_ADDR@edit0+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | ic=>c~LOCAL_C@edit1+alias0.000 | thy=>thy~T+Y@edit0+alias0.250
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	17	12	A_ADDR+IIN+LOCAL_C+T+Y	7.548161174	1.783647224	9.331808397	a=>a~A_ADDR@edit0+alias0.000 | ii=>in~IIN@edit1+alias0.534 | c=>c~LOCAL_C@edit0+alias0.000 | thy=>thy~T+Y@edit0+alias0.250
chady	CH+A_ADDR+DY	NO	2	1	CH+DY	2.184939829	0.268232156	2.453171985	cha=>cha~CH@edit0+alias0.268 | dy=>dy~DY@edit0+alias0.000
chady	CH+A_ADDR+DY	NO	1	2	CH+A_ADDR+Y	2.570292810	1.000000000	3.570292810	ch=>ch~CH@edit0+alias0.000 | a=>a~A_ADDR@edit0+alias0.000 | dy=>y~Y@edit1+alias0.000
