scope	model_stage	anchor_weight	target_count	truth_generated_count	top1_exact_count	top2_exact_count	top3_exact_count	top5_exact_count	rank_sum	deepest_truth_rank
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	FOLD_COMPILER_ORDER	0	1558	1441	1000	1235	1334	1395	2609	69
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	FOLD_FORM_DECODER	0	1558	1441	1054	1304	1354	1395	2374	35
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	FOLD_ANCHOR_SELECTED	1.0	1558	1441	1082	1319	1377	1418	2152	23
FOUR_FOLD_OLD26_WEIGHT_LADDER	FORM_PLUS_MONOTONE_ANCHOR	0.0	1558	1441	1054	1304	1354	1395	2374	35
FOUR_FOLD_OLD26_WEIGHT_LADDER	FORM_PLUS_MONOTONE_ANCHOR	0.25	1558	1441	1063	1310	1363	1407	2264	25
FOUR_FOLD_OLD26_WEIGHT_LADDER	FORM_PLUS_MONOTONE_ANCHOR	0.5	1558	1441	1082	1310	1372	1412	2201	22
FOUR_FOLD_OLD26_WEIGHT_LADDER	FORM_PLUS_MONOTONE_ANCHOR	0.75	1558	1441	1082	1319	1377	1415	2168	21
FOUR_FOLD_OLD26_WEIGHT_LADDER	FORM_PLUS_MONOTONE_ANCHOR	1.0	1558	1441	1082	1319	1377	1418	2152	23
FOUR_FOLD_OLD26_WEIGHT_LADDER	FORM_PLUS_MONOTONE_ANCHOR	1.25	1558	1441	1080	1317	1378	1411	2171	27
CURRENT_159_OLD26_TO_NEW4	GDT518_PLUS_MONOTONE_ANCHOR	0.0	159	159	134	147	155	158	212	14
CURRENT_159_OLD26_TO_NEW4	GDT518_PLUS_MONOTONE_ANCHOR	0.25	159	159	133	148	155	158	209	12
CURRENT_159_OLD26_TO_NEW4	GDT518_PLUS_MONOTONE_ANCHOR	0.5	159	159	135	149	156	158	202	10
CURRENT_159_OLD26_TO_NEW4	GDT518_PLUS_MONOTONE_ANCHOR	0.75	159	159	138	152	156	158	195	9
CURRENT_159_OLD26_TO_NEW4	GDT518_PLUS_MONOTONE_ANCHOR	1.0	159	159	138	153	157	158	192	8
CURRENT_159_OLD26_TO_NEW4	GDT518_PLUS_MONOTONE_ANCHOR	1.25	159	159	136	153	157	158	193	7
